PS;GeneID
14;rna-XM_018019510.1
14;rna-XM_018019538.1
14;rna-XM_018019541.1
14;rna-XM_018019552.2
14;rna-XM_018019553.1
14;rna-XM_018019554.1
14;rna-XM_018019555.2
14;rna-XM_018019565.1
14;rna-XM_018019589.2
14;rna-XM_018019608.2
14;rna-XM_018019635.1
14;rna-XM_018019642.2
14;rna-XM_018019654.1
14;rna-XM_018019660.2
14;rna-XM_018019706.1
14;rna-XM_018019713.1
14;rna-XM_018019716.2
14;rna-XM_018019724.2
14;rna-XM_018019734.2
14;rna-XM_018019802.2
14;rna-XM_018019804.2
14;rna-XM_018019832.1
14;rna-XM_018019833.1
14;rna-XM_018019848.2
14;rna-XM_018019897.2
14;rna-XM_018019915.1
14;rna-XM_018019919.2
14;rna-XM_018019978.2
14;rna-XM_018020001.2
14;rna-XM_018020048.2
14;rna-XM_018020050.2
14;rna-XM_018020084.2
14;rna-XM_018020102.2
14;rna-XM_018020109.1
14;rna-XM_018020149.2
14;rna-XM_018020199.2
14;rna-XM_018020255.2
14;rna-XM_018020265.1
14;rna-XM_018020266.1
14;rna-XM_018020281.2
14;rna-XM_018020346.2
14;rna-XM_018020390.2
14;rna-XM_018020417.2
14;rna-XM_018020438.2
14;rna-XM_018020446.2
14;rna-XM_018020473.2
14;rna-XM_018020538.2
14;rna-XM_018020566.2
14;rna-XM_018020642.2
14;rna-XM_018020658.2
14;rna-XM_018020672.2
14;rna-XM_018020715.2
14;rna-XM_018020725.2
14;rna-XM_018020828.1
14;rna-XM_018020835.1
14;rna-XM_018020838.2
14;rna-XM_018020848.2
14;rna-XM_018020897.2
14;rna-XM_018020898.1
14;rna-XM_018020900.2
14;rna-XM_018020901.1
14;rna-XM_018020940.1
14;rna-XM_018020947.2
14;rna-XM_018020948.1
14;rna-XM_018020966.2
14;rna-XM_018020999.2
14;rna-XM_018021000.2
14;rna-XM_018021051.2
14;rna-XM_018021093.2
14;rna-XM_018021251.2
14;rna-XM_018021254.1
14;rna-XM_018021262.1
14;rna-XM_018021322.2
14;rna-XM_018021342.2
14;rna-XM_018021364.2
14;rna-XM_018021452.1
14;rna-XM_018021453.2
14;rna-XM_018021500.2
14;rna-XM_018021513.2
14;rna-XM_018021514.1
14;rna-XM_018021574.2
14;rna-XM_018021609.2
14;rna-XM_018021625.2
14;rna-XM_018021637.2
14;rna-XM_018021651.2
14;rna-XM_018021721.2
14;rna-XM_018021752.2
14;rna-XM_018021753.2
14;rna-XM_018021777.2
14;rna-XM_018021812.2
14;rna-XM_018021825.2
14;rna-XM_018021828.2
14;rna-XM_018021842.2
14;rna-XM_018021846.2
14;rna-XM_018021881.2
14;rna-XM_018021882.2
14;rna-XM_018021905.2
14;rna-XM_018021939.2
14;rna-XM_018022014.2
14;rna-XM_018022113.2
14;rna-XM_018022137.1
14;rna-XM_018022205.2
14;rna-XM_018022206.2
14;rna-XM_018022207.2
14;rna-XM_018022215.2
14;rna-XM_018022330.2
14;rna-XM_018022346.2
14;rna-XM_018022358.2
14;rna-XM_018022391.1
14;rna-XM_018022488.2
14;rna-XM_018022526.2
14;rna-XM_018022554.2
14;rna-XM_018022575.2
14;rna-XM_018022591.2
14;rna-XM_018022602.2
14;rna-XM_018022609.1
14;rna-XM_018022619.2
14;rna-XM_018022671.2
14;rna-XM_018022698.2
14;rna-XM_018022700.2
14;rna-XM_018022709.1
14;rna-XM_018022716.2
14;rna-XM_018022792.2
14;rna-XM_018022879.1
14;rna-XM_018022881.2
14;rna-XM_018022945.2
14;rna-XM_018022950.2
14;rna-XM_018022974.2
14;rna-XM_018022980.2
14;rna-XM_018023026.2
14;rna-XM_018023128.2
14;rna-XM_018023142.2
14;rna-XM_018023223.2
14;rna-XM_018023232.2
14;rna-XM_018023296.2
14;rna-XM_018023396.2
14;rna-XM_018023397.2
14;rna-XM_018023401.2
14;rna-XM_018023402.2
14;rna-XM_018023405.2
14;rna-XM_018023420.2
14;rna-XM_018023421.2
14;rna-XM_018023423.2
14;rna-XM_018023424.2
14;rna-XM_018023428.2
14;rna-XM_018023429.2
14;rna-XM_018023436.2
14;rna-XM_018023563.2
14;rna-XM_018023566.2
14;rna-XM_018023610.1
14;rna-XM_018023648.2
14;rna-XM_018023679.2
14;rna-XM_018023731.2
14;rna-XM_018023819.1
14;rna-XM_018023827.2
14;rna-XM_018023832.1
14;rna-XM_018023854.2
14;rna-XM_018023898.2
14;rna-XM_018023902.2
14;rna-XM_018023915.2
14;rna-XM_018023937.2
14;rna-XM_018023938.2
14;rna-XM_018023941.1
14;rna-XM_018023978.2
14;rna-XM_018023984.2
14;rna-XM_018023993.2
14;rna-XM_018024024.2
14;rna-XM_018024026.2
14;rna-XM_018024051.2
14;rna-XM_018024069.2
14;rna-XM_018024086.2
14;rna-XM_018024118.2
14;rna-XM_018024120.2
14;rna-XM_018024150.2
14;rna-XM_018024165.2
14;rna-XM_018024166.2
14;rna-XM_018024171.1
14;rna-XM_018024175.1
14;rna-XM_018024177.2
14;rna-XM_018024191.1
14;rna-XM_018024205.2
14;rna-XM_018024264.2
14;rna-XM_018024318.1
14;rna-XM_018024319.1
14;rna-XM_018024337.2
14;rna-XM_018024499.2
14;rna-XM_018024508.2
14;rna-XM_018024518.2
14;rna-XM_018024519.2
14;rna-XM_018024525.2
14;rna-XM_018024605.2
14;rna-XM_018024619.2
14;rna-XM_018024652.2
14;rna-XM_018024662.2
