PS;GeneID
14;NMEL_00001-RA
14;NMEL_00008-RA
14;NMEL_00011-RA
14;NMEL_00054-RA
14;NMEL_00079-RA
14;NMEL_00082-RA
14;NMEL_00110-RA
14;NMEL_00123-RA
14;NMEL_00128-RA
14;NMEL_00183-RA
14;NMEL_00189-RA
14;NMEL_00192-RA
14;NMEL_00232-RA
14;NMEL_00233-RA
14;NMEL_00267-RA
14;NMEL_00272-RA
14;NMEL_00284-RA
14;NMEL_00287-RA
14;NMEL_00345-RA
14;NMEL_00350-RA
14;NMEL_00364-RA
14;NMEL_00380-RA
14;NMEL_00385-RA
14;NMEL_00400-RA
14;NMEL_00415-RA
14;NMEL_00423-RA
14;NMEL_00424-RA
14;NMEL_00425-RA
14;NMEL_00426-RA
14;NMEL_00463-RA
14;NMEL_00466-RA
14;NMEL_00470-RA
14;NMEL_00475-RA
14;NMEL_00476-RA
14;NMEL_00477-RA
14;NMEL_00479-RA
14;NMEL_00490-RA
14;NMEL_00494-RA
14;NMEL_00499-RA
14;NMEL_00503-RA
14;NMEL_00504-RA
14;NMEL_00506-RA
14;NMEL_00516-RA
14;NMEL_00520-RA
14;NMEL_00538-RA
14;NMEL_00546-RA
14;NMEL_00547-RA
14;NMEL_00549-RA
14;NMEL_00578-RA
14;NMEL_00635-RA
14;NMEL_00636-RA
14;NMEL_00638-RA
14;NMEL_00650-RA
14;NMEL_00651-RA
14;NMEL_00655-RA
14;NMEL_00657-RA
14;NMEL_00662-RA
14;NMEL_00676-RA
14;NMEL_00702-RA
14;NMEL_00705-RA
14;NMEL_00718-RA
14;NMEL_00791-RA
14;NMEL_00793-RA
14;NMEL_00798-RA
14;NMEL_00799-RA
14;NMEL_00800-RA
14;NMEL_00801-RA
14;NMEL_00802-RA
14;NMEL_00809-RA
14;NMEL_00832-RA
14;NMEL_00835-RA
14;NMEL_00859-RA
14;NMEL_00860-RA
14;NMEL_00861-RA
14;NMEL_00862-RA
14;NMEL_00892-RA
14;NMEL_00894-RA
14;NMEL_00900-RA
14;NMEL_00932-RA
14;NMEL_00949-RA
14;NMEL_00969-RA
14;NMEL_00985-RA
14;NMEL_00988-RA
14;NMEL_00989-RA
14;NMEL_00991-RA
14;NMEL_00995-RA
14;NMEL_01000-RA
14;NMEL_01008-RA
14;NMEL_01068-RA
14;NMEL_01071-RA
14;NMEL_01092-RA
14;NMEL_01111-RA
14;NMEL_01114-RB
14;NMEL_01117-RA
14;NMEL_01118-RA
14;NMEL_01119-RA
14;NMEL_01120-RA
14;NMEL_01125-RA
14;NMEL_01127-RA
14;NMEL_01156-RA
14;NMEL_01171-RA
14;NMEL_01181-RA
14;NMEL_01198-RA
14;NMEL_01203-RA
14;NMEL_01217-RA
14;NMEL_01220-RA
14;NMEL_01225-RA
14;NMEL_01232-RA
14;NMEL_01233-RA
14;NMEL_01235-RA
14;NMEL_01242-RA
14;NMEL_01244-RA
14;NMEL_01245-RA
14;NMEL_01255-RA
14;NMEL_01256-RA
14;NMEL_01259-RA
14;NMEL_01267-RA
14;NMEL_01282-RA
14;NMEL_01298-RA
14;NMEL_01306-RA
14;NMEL_01312-RA
14;NMEL_01315-RA
14;NMEL_01316-RA
14;NMEL_01319-RA
14;NMEL_01320-RA
14;NMEL_01321-RA
14;NMEL_01325-RA
14;NMEL_01327-RB
14;NMEL_01336-RA
14;NMEL_01341-RA
14;NMEL_01343-RA
14;NMEL_01344-RA
14;NMEL_01345-RA
14;NMEL_01356-RA
14;NMEL_01359-RA
14;NMEL_01399-RA
14;NMEL_01415-RA
14;NMEL_01423-RA
14;NMEL_01425-RA
14;NMEL_01433-RA
14;NMEL_01440-RA
14;NMEL_01450-RA
14;NMEL_01478-RA
14;NMEL_01497-RA
14;NMEL_01500-RA
14;NMEL_01522-RA
14;NMEL_01524-RA
14;NMEL_01527-RA
14;NMEL_01538-RA
14;NMEL_01555-RA
14;NMEL_01571-RA
14;NMEL_01575-RA
14;NMEL_01578-RA
14;NMEL_01579-RA
14;NMEL_01580-RA
14;NMEL_01599-RA
14;NMEL_01615-RA
14;NMEL_01624-RA
14;NMEL_01628-RA
14;NMEL_01640-RA
14;NMEL_01661-RA
14;NMEL_01710-RA
14;NMEL_01714-RA
14;NMEL_01733-RA
14;NMEL_01753-RA
14;NMEL_01791-RA
14;NMEL_01792-RA
14;NMEL_01820-RA
14;NMEL_01828-RA
14;NMEL_01852-RA
14;NMEL_01867-RA
14;NMEL_01872-RA
14;NMEL_01886-RA
14;NMEL_01889-RA
14;NMEL_01918-RA
14;NMEL_01919-RA
14;NMEL_01920-RA
14;NMEL_01921-RA
14;NMEL_01922-RA
14;NMEL_01923-RA
14;NMEL_01928-RA
14;NMEL_01932-RA
14;NMEL_02001-RA
14;NMEL_02002-RA
14;NMEL_02016-RA
14;NMEL_02033-RA
14;NMEL_02037-RA
14;NMEL_02063-RA
14;NMEL_02069-RA
14;NMEL_02071-RA
14;NMEL_02089-RA
14;NMEL_02102-RA
14;NMEL_02103-RA
14;NMEL_02111-RA
14;NMEL_02119-RA
14;NMEL_02122-RA
14;NMEL_02125-RA
14;NMEL_02126-RB
14;NMEL_02128-RA
14;NMEL_02153-RA
14;NMEL_02165-RA
14;NMEL_02179-RA
14;NMEL_02180-RA
14;NMEL_02181-RA
14;NMEL_02225-RA
14;NMEL_02235-RA
14;NMEL_02236-RA
14;NMEL_02248-RA
14;NMEL_02259-RA
