PS;GeneID
14;HLIG_00012-RA
14;HLIG_00020-RA
14;HLIG_00035-RA
14;HLIG_00036-RA
14;HLIG_00044-RA
14;HLIG_00061-RA
14;HLIG_00065-RA
14;HLIG_00067-RA
14;HLIG_00074-RA
14;HLIG_00114-RA
14;HLIG_00115-RA
14;HLIG_00120-RA
14;HLIG_00136-RA
14;HLIG_00141-RA
14;HLIG_00152-RA
14;HLIG_00153-RA
14;HLIG_00193-RA
14;HLIG_00199-RA
14;HLIG_00203-RA
14;HLIG_00216-RA
14;HLIG_00228-RA
14;HLIG_00250-RB
14;HLIG_00254-RA
14;HLIG_00257-RA
14;HLIG_00264-RA
14;HLIG_00269-RA
14;HLIG_00285-RA
14;HLIG_00325-RA
14;HLIG_00326-RA
14;HLIG_00349-RA
14;HLIG_00350-RA
14;HLIG_00352-RA
14;HLIG_00353-RA
14;HLIG_00354-RA
14;HLIG_00356-RA
14;HLIG_00358-RA
14;HLIG_00360-RA
14;HLIG_00362-RA
14;HLIG_00457-RA
14;HLIG_00459-RA
14;HLIG_00467-RA
14;HLIG_00555-RA
14;HLIG_00567-RA
14;HLIG_00578-RA
14;HLIG_00587-RA
14;HLIG_00592-RA
14;HLIG_00594-RA
14;HLIG_00596-RA
14;HLIG_00604-RA
14;HLIG_00667-RA
14;HLIG_00668-RA
14;HLIG_00692-RA
14;HLIG_00714-RA
14;HLIG_00715-RA
14;HLIG_00720-RA
14;HLIG_00721-RA
14;HLIG_00733-RA
14;HLIG_00752-RA
14;HLIG_00759-RA
14;HLIG_00764-RA
14;HLIG_00786-RA
14;HLIG_00792-RA
14;HLIG_00798-RA
14;HLIG_00826-RA
14;HLIG_00871-RA
14;HLIG_00883-RA
14;HLIG_00889-RA
14;HLIG_00893-RA
14;HLIG_00905-RA
14;HLIG_00916-RA
14;HLIG_00927-RA
14;HLIG_00939-RA
14;HLIG_00947-RA
14;HLIG_00966-RA
14;HLIG_00978-RA
14;HLIG_00984-RA
14;HLIG_00988-RA
14;HLIG_00995-RA
14;HLIG_01004-RA
14;HLIG_01043-RA
14;HLIG_01046-RA
14;HLIG_01082-RA
14;HLIG_01083-RB
14;HLIG_01084-RA
14;HLIG_01101-RA
14;HLIG_01114-RA
14;HLIG_01151-RA
14;HLIG_01186-RA
14;HLIG_01188-RA
14;HLIG_01202-RB
14;HLIG_01203-RA
14;HLIG_01204-RA
14;HLIG_01205-RA
14;HLIG_01213-RA
14;HLIG_01216-RA
14;HLIG_01217-RA
14;HLIG_01219-RA
14;HLIG_01252-RA
14;HLIG_01260-RA
14;HLIG_01263-RA
14;HLIG_01268-RA
14;HLIG_01289-RA
14;HLIG_01290-RA
14;HLIG_01291-RA
14;HLIG_01292-RA
14;HLIG_01293-RA
14;HLIG_01294-RA
14;HLIG_01295-RA
14;HLIG_01296-RA
14;HLIG_01297-RA
14;HLIG_01298-RA
14;HLIG_01299-RA
14;HLIG_01300-RA
14;HLIG_01301-RA
14;HLIG_01303-RA
14;HLIG_01304-RA
14;HLIG_01305-RA
14;HLIG_01306-RA
14;HLIG_01307-RA
14;HLIG_01308-RA
14;HLIG_01309-RA
14;HLIG_01315-RA
14;HLIG_01317-RA
14;HLIG_01331-RA
14;HLIG_01357-RA
14;HLIG_01365-RA
14;HLIG_01382-RA
14;HLIG_01407-RB
14;HLIG_01409-RA
14;HLIG_01420-RA
14;HLIG_01431-RA
14;HLIG_01449-RA
14;HLIG_01465-RA
14;HLIG_01466-RA
14;HLIG_01467-RA
14;HLIG_01468-RA
14;HLIG_01469-RA
14;HLIG_01487-RA
14;HLIG_01515-RA
14;HLIG_01552-RA
14;HLIG_01558-RA
14;HLIG_01559-RA
14;HLIG_01560-RA
14;HLIG_01561-RA
14;HLIG_01562-RA
14;HLIG_01563-RA
14;HLIG_01574-RA
14;HLIG_01577-RA
14;HLIG_01601-RB
14;HLIG_01605-RA
14;HLIG_01616-RA
14;HLIG_01623-RB
14;HLIG_01651-RA
14;HLIG_01652-RA
14;HLIG_01659-RA
14;HLIG_01664-RA
14;HLIG_01676-RB
14;HLIG_01707-RA
14;HLIG_01755-RA
14;HLIG_01760-RA
14;HLIG_01768-RA
14;HLIG_01774-RA
14;HLIG_01779-RA
14;HLIG_01782-RA
14;HLIG_01784-RA
14;HLIG_01792-RA
14;HLIG_01794-RA
14;HLIG_01797-RA
14;HLIG_01803-RA
14;HLIG_01804-RA
14;HLIG_01809-RA
14;HLIG_01811-RA
14;HLIG_01821-RA
14;HLIG_01824-RA
14;HLIG_01826-RA
14;HLIG_01831-RA
14;HLIG_01847-RA
14;HLIG_01848-RA
14;HLIG_01866-RA
14;HLIG_01869-RA
14;HLIG_01887-RA
14;HLIG_01889-RA
14;HLIG_01929-RA
14;HLIG_01930-RA
14;HLIG_01939-RA
14;HLIG_01947-RA
14;HLIG_01950-RA
14;HLIG_01966-RA
14;HLIG_01993-RA
14;HLIG_01996-RA
14;HLIG_02014-RA
14;HLIG_02015-RA
14;HLIG_02086-RA
14;HLIG_02116-RA
14;HLIG_02120-RA
14;HLIG_02160-RB
14;HLIG_02163-RA
14;HLIG_02169-RA
14;HLIG_02192-RA
14;HLIG_02193-RA
14;HLIG_02195-RA
14;HLIG_02201-RA
14;HLIG_02202-RA
14;HLIG_02204-RA
14;HLIG_02210-RA
14;HLIG_02224-RA
14;HLIG_02279-RA
14;HLIG_02285-RA
14;HLIG_02292-RA
14;HLIG_02304-RA
14;HLIG_02368-RA
14;HLIG_02373-RA
14;HLIG_02385-RA
14;HLIG_02386-RA
14;HLIG_02416-RA
14;HLIG_02431-RA
14;HLIG_02436-RA
14;HLIG_02448-RA
14;HLIG_02457-RA
14;HLIG_02459-RA
14;HLIG_02466-RA
14;HLIG_02475-RA
14;HLIG_02476-RA
14;HLIG_02493-RA
14;HLIG_02507-RA
14;HLIG_02511-RA
14;HLIG_02520-RA
14;HLIG_02523-RA
14;HLIG_02535-RA
14;HLIG_02536-RA
14;HLIG_02540-RA
14;HLIG_02549-RB
14;HLIG_02560-RA
14;HLIG_02600-RA
14;HLIG_02624-RA
14;HLIG_02625-RA
14;HLIG_02632-RA
14;HLIG_02636-RA
14;HLIG_02644-RA
14;HLIG_02659-RA
14;HLIG_02665-RA
14;HLIG_02676-RA
14;HLIG_02705-RA
14;HLIG_02707-RA
14;HLIG_02719-RA
14;HLIG_02751-RA
14;HLIG_02755-RA
14;HLIG_02760-RA
14;HLIG_02762-RA
14;HLIG_02809-RA
14;HLIG_02810-RA
14;HLIG_02817-RA
14;HLIG_02826-RA
14;HLIG_02827-RA
14;HLIG_02836-RA
14;HLIG_02844-RA
14;HLIG_02853-RA
14;HLIG_02858-RA
14;HLIG_02860-RA
14;HLIG_02867-RA
14;HLIG_02885-RA
14;HLIG_02912-RA
14;HLIG_02940-RA
14;HLIG_02945-RA
14;HLIG_02979-RA
14;HLIG_02980-RA
14;HLIG_02982-RA
14;HLIG_02983-RA
14;HLIG_03007-RA
14;HLIG_03011-RA
14;HLIG_03032-RA
14;HLIG_03052-RA
14;HLIG_03056-RA
14;HLIG_03057-RA
14;HLIG_03058-RA
14;HLIG_03062-RA
14;HLIG_03080-RA
14;HLIG_03104-RA
14;HLIG_03183-RA
14;HLIG_03186-RA
14;HLIG_03187-RA
14;HLIG_03189-RA
14;HLIG_03190-RA
14;HLIG_03193-RA
14;HLIG_03195-RA
14;HLIG_03198-RA
14;HLIG_03199-RA
14;HLIG_03237-RA
14;HLIG_03250-RB
14;HLIG_03257-RA
14;HLIG_03304-RA
14;HLIG_03322-RA
14;HLIG_03347-RA
14;HLIG_03348-RA
14;HLIG_03359-RA
14;HLIG_03385-RA
14;HLIG_03389-RA
14;HLIG_03390-RA
14;HLIG_03391-RA
14;HLIG_03392-RA
14;HLIG_03397-RA
14;HLIG_03399-RA
14;HLIG_03413-RA
14;HLIG_03420-RA
14;HLIG_03424-RA
14;HLIG_03425-RA
14;HLIG_03430-RA
14;HLIG_03434-RA
14;HLIG_03458-RA
14;HLIG_03461-RA
14;HLIG_03507-RA
14;HLIG_03519-RA
14;HLIG_03533-RA
14;HLIG_03534-RA
14;HLIG_03557-RA
14;HLIG_03562-RA
14;HLIG_03567-RA
14;HLIG_03618-RA
14;HLIG_03620-RA
14;HLIG_03621-RA
14;HLIG_03624-RA
14;HLIG_03634-RA
14;HLIG_03662-RA
14;HLIG_03668-RA
14;HLIG_03671-RB
14;HLIG_03689-RA
