PS;GeneID
14;MROT_00004
14;MROT_00065
14;MROT_00073
14;MROT_00081
14;MROT_00129
14;MROT_00130
14;MROT_00161
14;MROT_00180
14;MROT_00192
14;MROT_00200
14;MROT_00201
14;MROT_00207
14;MROT_00226
14;MROT_00232
14;MROT_00236
14;MROT_00262
14;MROT_00264
14;MROT_00273
14;MROT_00297
14;MROT_00373
14;MROT_00391
14;MROT_00413
14;MROT_00436
14;MROT_00438
14;MROT_00443
14;MROT_00461
14;MROT_00489
14;MROT_00491
14;MROT_00493
14;MROT_00507
14;MROT_00514
14;MROT_00515
14;MROT_00516
14;MROT_00517
14;MROT_00518
14;MROT_00519
14;MROT_00520
14;MROT_00521
14;MROT_00523
14;MROT_00524
14;MROT_00537
14;MROT_00539
14;MROT_00622
14;MROT_00648
14;MROT_00649
14;MROT_00656
14;MROT_00659
14;MROT_00668
14;MROT_00675
14;MROT_00748
14;MROT_00759
14;MROT_00762
14;MROT_00773
14;MROT_00790
14;MROT_00803
14;MROT_00847
14;MROT_00848
14;MROT_00852
14;MROT_00887
14;MROT_00913
14;MROT_00917
14;MROT_00919
14;MROT_00920
14;MROT_00929
14;MROT_00934
14;MROT_00955
14;MROT_00958
14;MROT_00974
14;MROT_00993
14;MROT_01020
14;MROT_01025
14;MROT_01030
14;MROT_01034
14;MROT_01037
14;MROT_01042
14;MROT_01045
14;MROT_01047
14;MROT_01055
14;MROT_01058
14;MROT_01085
14;MROT_01101
14;MROT_01102
14;MROT_01106
14;MROT_01115
14;MROT_01117
14;MROT_01123
14;MROT_01130
14;MROT_01134
14;MROT_01135
14;MROT_01180
14;MROT_01182
14;MROT_01183
14;MROT_01198
14;MROT_01206
14;MROT_01208
14;MROT_01209
14;MROT_01210
14;MROT_01211
14;MROT_01212
14;MROT_01213
14;MROT_01214
14;MROT_01240
14;MROT_01247
14;MROT_01254
14;MROT_01255
14;MROT_01261
14;MROT_01265
14;MROT_01269
14;MROT_01280
14;MROT_01343
14;MROT_01351
14;MROT_01378
14;MROT_01380
14;MROT_01395
14;MROT_01396
14;MROT_01399
14;MROT_01401
14;MROT_01412
14;MROT_01414
14;MROT_01415
14;MROT_01417
14;MROT_01420
14;MROT_01430
14;MROT_01447
14;MROT_01463
14;MROT_01476
14;MROT_01532
14;MROT_01538
14;MROT_01541
14;MROT_01564
14;MROT_01571
14;MROT_01610
14;MROT_01611
14;MROT_01622
14;MROT_01635
14;MROT_01676
14;MROT_01680
14;MROT_01707
14;MROT_01730
14;MROT_01732
14;MROT_01734
14;MROT_01741
14;MROT_01742
14;MROT_01794
14;MROT_01795
14;MROT_01802
14;MROT_01810
14;MROT_01818
14;MROT_01824
14;MROT_01842
14;MROT_01849
14;MROT_01856
14;MROT_01884
14;MROT_01885
14;MROT_01895
14;MROT_01911
14;MROT_01913
14;MROT_01914
14;MROT_01916
14;MROT_01919
14;MROT_01920
14;MROT_01922
14;MROT_01929
14;MROT_01930
14;MROT_01933
14;MROT_01954
14;MROT_02022
14;MROT_02055
14;MROT_02066
14;MROT_02073
14;MROT_02086
14;MROT_02101
14;MROT_02104
14;MROT_02123
14;MROT_02142
14;MROT_02145
14;MROT_02158
14;MROT_02172
14;MROT_02173
14;MROT_02175
14;MROT_02179
14;MROT_02234
14;MROT_02236
14;MROT_02238
14;MROT_02240
14;MROT_02241
14;MROT_02246
14;MROT_02249
14;MROT_02250
14;MROT_02255
14;MROT_02277
14;MROT_02293
14;MROT_02294
14;MROT_02295
14;MROT_02307
14;MROT_02311
14;MROT_02361
14;MROT_02375
14;MROT_02386
14;MROT_02391
14;MROT_02392
14;MROT_02393
14;MROT_02404
14;MROT_02435
14;MROT_02436
14;MROT_02437
14;MROT_02446
14;MROT_02461
14;MROT_02468
14;MROT_02505
14;MROT_02506
14;MROT_02507
14;MROT_02511
14;MROT_02513
14;MROT_02537
14;MROT_02541
14;MROT_02544
14;MROT_02548
14;MROT_02610
14;MROT_02631
14;MROT_02649
14;MROT_02650
14;MROT_02652
14;MROT_02658
14;MROT_02666
14;MROT_02715
14;MROT_02717
14;MROT_02719
14;MROT_02724
14;MROT_02727
14;MROT_02759
14;MROT_02768
14;MROT_02802
14;MROT_02812
14;MROT_02843
14;MROT_02846
14;MROT_02863
14;MROT_02864
14;MROT_02875
14;MROT_02876
14;MROT_02907
14;MROT_02911
14;MROT_02913
14;MROT_02925
14;MROT_02985
14;MROT_03029
14;MROT_03036
14;MROT_03039
14;MROT_03057
14;MROT_03121
14;MROT_03124
14;MROT_03125
14;MROT_03159
14;MROT_03161
14;MROT_03244
14;MROT_03246
14;MROT_03273
14;MROT_03280
14;MROT_03309
14;MROT_03316
14;MROT_03334
14;MROT_03344
14;MROT_03347
14;MROT_03362
14;MROT_03374
14;MROT_03381
14;MROT_03410
14;MROT_03436
14;MROT_03437
14;MROT_03438
14;MROT_03440
14;MROT_03441
14;MROT_03455
14;MROT_03461
14;MROT_03462
14;MROT_03545
14;MROT_03560
14;MROT_03561
14;MROT_03562
14;MROT_03564
14;MROT_03565
14;MROT_03571
14;MROT_03578
14;MROT_03600
14;MROT_03612
14;MROT_03613
14;MROT_03618
14;MROT_03634
14;MROT_03651
14;MROT_03661
14;MROT_03717
14;MROT_03741
14;MROT_03745
14;MROT_03764
14;MROT_03781
14;MROT_03796
14;MROT_03806
14;MROT_03831
14;MROT_03842
14;MROT_03845
14;MROT_03857
14;MROT_03858
14;MROT_03864
14;MROT_03883
14;MROT_03942
14;MROT_03986
14;MROT_03987
14;MROT_04002
14;MROT_04020
14;MROT_04042
14;MROT_04075
14;MROT_04077
14;MROT_04090
14;MROT_04124
14;MROT_04130
14;MROT_04137
14;MROT_04160
14;MROT_04164
14;MROT_04167
14;MROT_04186
14;MROT_04218
14;MROT_04236
14;MROT_04282
14;MROT_04327
14;MROT_04330
14;MROT_04331
14;MROT_04336
14;MROT_04363
14;MROT_04371
14;MROT_04387
14;MROT_04430
14;MROT_04443
14;MROT_04461
14;MROT_04465
14;MROT_04483
14;MROT_04484
14;MROT_04490
14;MROT_04520
14;MROT_04524
14;MROT_04540
14;MROT_04566
14;MROT_04584
14;MROT_04588
14;MROT_04603
14;MROT_04621
14;MROT_04633
14;MROT_04635
14;MROT_04638
14;MROT_04639
14;MROT_04640
14;MROT_04652
14;MROT_04665
14;MROT_04684
14;MROT_04697
14;MROT_04704
14;MROT_04754
14;MROT_04755
14;MROT_04757
14;MROT_04758
14;MROT_04763
14;MROT_04794
14;MROT_04807
14;MROT_04841
14;MROT_04843
14;MROT_04877
14;MROT_04885
14;MROT_04899
14;MROT_04916
14;MROT_04943
14;MROT_04945
14;MROT_04952
14;MROT_04955
14;MROT_04969
14;MROT_05000
14;MROT_05007
14;MROT_05017
14;MROT_05018
14;MROT_05020
14;MROT_05025
14;MROT_05041
14;MROT_05053
14;MROT_05056
14;MROT_05071
14;MROT_05086
14;MROT_05141
14;MROT_05144
14;MROT_05169
14;MROT_05170
14;MROT_05179
14;MROT_05247
14;MROT_05273
14;MROT_05274
14;MROT_05296
14;MROT_05306
14;MROT_05313
14;MROT_05315
14;MROT_05345
14;MROT_05371
14;MROT_05392
14;MROT_05421
14;MROT_05422
14;MROT_05425
14;MROT_05440
14;MROT_05444
14;MROT_05459
14;MROT_05469
14;MROT_05471
14;MROT_05489
14;MROT_05518
14;MROT_05523
14;MROT_05579
14;MROT_05580
14;MROT_05597
14;MROT_05622
14;MROT_05637
14;MROT_05643
14;MROT_05651
14;MROT_05652
14;MROT_05665
14;MROT_05676
14;MROT_05699
14;MROT_05713
14;MROT_05718
14;MROT_05729
14;MROT_05731
14;MROT_05772
14;MROT_05788
14;MROT_05809
14;MROT_05815
14;MROT_05828
14;MROT_05866
14;MROT_05878
14;MROT_05879
14;MROT_05880
14;MROT_05954
14;MROT_05975
14;MROT_06003
14;MROT_06025
14;MROT_06060
14;MROT_06065
14;MROT_06102
14;MROT_06127
14;MROT_06128
14;MROT_06130
14;MROT_06137
14;MROT_06145
14;MROT_06155
14;MROT_06222
14;MROT_06223
14;MROT_06250
14;MROT_06262
14;MROT_06266
14;MROT_06314
14;MROT_06338
14;MROT_06354
14;MROT_06366
14;MROT_06367
14;MROT_06385
14;MROT_06389
14;MROT_06446
14;MROT_06484
14;MROT_06487
14;MROT_06489
14;MROT_06490
14;MROT_06494
14;MROT_06512
14;MROT_06549
14;MROT_06569
14;MROT_06613
14;MROT_06637
14;MROT_06645
14;MROT_06646
14;MROT_06684
14;MROT_06694
14;MROT_06697
14;MROT_06718
14;MROT_06721
14;MROT_06722
14;MROT_06725
14;MROT_06730
14;MROT_06737
14;MROT_06774
14;MROT_06778
14;MROT_06793
14;MROT_06824
14;MROT_06827
14;MROT_06841
14;MROT_06848
14;MROT_06859
14;MROT_06884
14;MROT_06904
14;MROT_06955
14;MROT_06957
14;MROT_06979
14;MROT_07024
14;MROT_07073
14;MROT_07080
14;MROT_07087
14;MROT_07089
14;MROT_07105
14;MROT_07144
14;MROT_07146
14;MROT_07167
14;MROT_07177
14;MROT_07178
14;MROT_07187
14;MROT_07195
14;MROT_07201
14;MROT_07204
14;MROT_07234
14;MROT_07259
14;MROT_07261
14;MROT_07263
14;MROT_07268
14;MROT_07269
14;MROT_07280
14;MROT_07283
14;MROT_07284
14;MROT_07299
14;MROT_07312
14;MROT_07326
14;MROT_07329
14;MROT_07343
14;MROT_07346
14;MROT_07350
14;MROT_07351
14;MROT_07379
14;MROT_07388
14;MROT_07410
14;MROT_07421
14;MROT_07430
14;MROT_07457
