PS;GeneID
14;LFIG_00003-RA
14;LFIG_00005-RA
14;LFIG_00007-RA
14;LFIG_00011-RA
14;LFIG_00012-RA
14;LFIG_00013-RA
14;LFIG_00015-RA
14;LFIG_00019-RA
14;LFIG_00024-RA
14;LFIG_00054-RA
14;LFIG_00056-RA
14;LFIG_00071-RA
14;LFIG_00092-RA
14;LFIG_00108-RA
14;LFIG_00124-RA
14;LFIG_00141-RA
14;LFIG_00142-RA
14;LFIG_00158-RA
14;LFIG_00167-RA
14;LFIG_00186-RA
14;LFIG_00232-RA
14;LFIG_00233-RA
14;LFIG_00237-RA
14;LFIG_00262-RA
14;LFIG_00275-RA
14;LFIG_00276-RA
14;LFIG_00279-RB
14;LFIG_00288-RA
14;LFIG_00311-RA
14;LFIG_00318-RB
14;LFIG_00325-RA
14;LFIG_00342-RA
14;LFIG_00372-RA
14;LFIG_00398-RA
14;LFIG_00416-RA
14;LFIG_00425-RA
14;LFIG_00427-RA
14;LFIG_00428-RA
14;LFIG_00431-RA
14;LFIG_00446-RA
14;LFIG_00454-RA
14;LFIG_00457-RA
14;LFIG_00467-RA
14;LFIG_00472-RA
14;LFIG_00503-RA
14;LFIG_00504-RA
14;LFIG_00528-RA
14;LFIG_00556-RA
14;LFIG_00568-RA
14;LFIG_00594-RA
14;LFIG_00601-RA
14;LFIG_00602-RA
14;LFIG_00610-RA
14;LFIG_00632-RB
14;LFIG_00657-RA
14;LFIG_00659-RA
14;LFIG_00666-RA
14;LFIG_00673-RA
14;LFIG_00713-RA
14;LFIG_00719-RA
14;LFIG_00721-RA
14;LFIG_00727-RA
14;LFIG_00728-RA
14;LFIG_00731-RA
14;LFIG_00758-RA
14;LFIG_00767-RA
14;LFIG_00790-RA
14;LFIG_00813-RA
14;LFIG_00830-RA
14;LFIG_00851-RA
14;LFIG_00878-RA
14;LFIG_00879-RA
14;LFIG_00881-RA
14;LFIG_00895-RA
14;LFIG_00949-RA
14;LFIG_00950-RA
14;LFIG_00955-RA
14;LFIG_00974-RA
14;LFIG_01001-RA
14;LFIG_01026-RB
14;LFIG_01040-RA
14;LFIG_01043-RA
14;LFIG_01046-RA
14;LFIG_01057-RA
14;LFIG_01058-RA
14;LFIG_01103-RA
14;LFIG_01109-RA
14;LFIG_01110-RA
14;LFIG_01114-RA
14;LFIG_01116-RA
14;LFIG_01150-RA
14;LFIG_01171-RA
14;LFIG_01196-RA
14;LFIG_01199-RA
14;LFIG_01200-RA
14;LFIG_01201-RA
14;LFIG_01209-RB
14;LFIG_01244-RA
14;LFIG_01259-RA
14;LFIG_01260-RA
14;LFIG_01261-RA
14;LFIG_01267-RA
14;LFIG_01334-RA
14;LFIG_01374-RA
14;LFIG_01380-RA
14;LFIG_01381-RA
14;LFIG_01402-RA
14;LFIG_01427-RA
14;LFIG_01451-RA
14;LFIG_01470-RA
14;LFIG_01479-RA
14;LFIG_01481-RA
14;LFIG_01493-RA
14;LFIG_01510-RA
14;LFIG_01528-RA
14;LFIG_01572-RA
14;LFIG_01576-RA
14;LFIG_01577-RA
14;LFIG_01582-RA
14;LFIG_01584-RA
14;LFIG_01588-RA
14;LFIG_01591-RA
14;LFIG_01592-RA
14;LFIG_01599-RA
14;LFIG_01623-RA
14;LFIG_01642-RA
14;LFIG_01643-RA
14;LFIG_01647-RA
14;LFIG_01678-RA
14;LFIG_01745-RA
14;LFIG_01775-RA
14;LFIG_01781-RA
14;LFIG_01798-RA
14;LFIG_01837-RA
14;LFIG_01870-RA
14;LFIG_01880-RA
14;LFIG_01892-RA
14;LFIG_01924-RA
14;LFIG_01926-RA
14;LFIG_01956-RA
14;LFIG_01963-RA
14;LFIG_01984-RA
14;LFIG_02001-RA
14;LFIG_02015-RA
14;LFIG_02059-RA
14;LFIG_02061-RA
14;LFIG_02076-RA
14;LFIG_02088-RA
14;LFIG_02103-RA
14;LFIG_02113-RA
14;LFIG_02134-RA
14;LFIG_02137-RA
14;LFIG_02148-RA
14;LFIG_02184-RA
14;LFIG_02204-RA
14;LFIG_02247-RA
14;LFIG_02256-RA
14;LFIG_02266-RA
14;LFIG_02298-RA
14;LFIG_02302-RA
14;LFIG_02303-RA
14;LFIG_02305-RA
14;LFIG_02306-RA
14;LFIG_02307-RA
14;LFIG_02318-RA
14;LFIG_02321-RA
14;LFIG_02339-RA
14;LFIG_02347-RA
14;LFIG_02349-RA
14;LFIG_02351-RA
14;LFIG_02361-RA
14;LFIG_02367-RA
14;LFIG_02408-RA
14;LFIG_02420-RC
14;LFIG_02425-RA
14;LFIG_02427-RA
14;LFIG_02432-RA
14;LFIG_02462-RA
14;LFIG_02465-RA
14;LFIG_02466-RA
14;LFIG_02495-RA
14;LFIG_02499-RA
14;LFIG_02501-RA
14;LFIG_02507-RA
14;LFIG_02512-RA
14;LFIG_02513-RA
14;LFIG_02517-RA
14;LFIG_02540-RA
14;LFIG_02542-RA
14;LFIG_02547-RA
14;LFIG_02548-RA
14;LFIG_02549-RA
14;LFIG_02550-RA
14;LFIG_02555-RA
14;LFIG_02583-RA
14;LFIG_02594-RB
14;LFIG_02622-RA
14;LFIG_02640-RA
14;LFIG_02666-RA
14;LFIG_02702-RA
14;LFIG_02708-RA
14;LFIG_02720-RA
14;LFIG_02722-RA
14;LFIG_02753-RA
14;LFIG_02759-RA
14;LFIG_02760-RA
14;LFIG_02761-RA
14;LFIG_02769-RA
14;LFIG_02779-RA
14;LFIG_02806-RA
14;LFIG_02823-RA
14;LFIG_02841-RA
14;LFIG_02851-RA
14;LFIG_02852-RA
14;LFIG_02873-RA
14;LFIG_02878-RB
14;LFIG_02882-RA
14;LFIG_02890-RA
14;LFIG_02907-RA
14;LFIG_02958-RA
14;LFIG_02978-RA
14;LFIG_02983-RA
14;LFIG_03001-RA
14;LFIG_03002-RA
14;LFIG_03005-RA
14;LFIG_03007-RA
14;LFIG_03008-RA
14;LFIG_03030-RA
14;LFIG_03031-RA
14;LFIG_03035-RA
14;LFIG_03047-RA
14;LFIG_03068-RA
14;LFIG_03092-RA
14;LFIG_03093-RA
14;LFIG_03102-RA
14;LFIG_03103-RA
14;LFIG_03104-RA
14;LFIG_03115-RA
14;LFIG_03120-RA
14;LFIG_03139-RA
14;LFIG_03143-RA
14;LFIG_03144-RA
14;LFIG_03160-RA
14;LFIG_03161-RA
14;LFIG_03176-RA
14;LFIG_03180-RA
14;LFIG_03184-RA
14;LFIG_03188-RA
14;LFIG_03189-RA
14;LFIG_03215-RA
14;LFIG_03219-RA
14;LFIG_03225-RA
14;LFIG_03228-RA
14;LFIG_03238-RA
14;LFIG_03244-RA
14;LFIG_03251-RA
14;LFIG_03266-RA
14;LFIG_03270-RA
14;LFIG_03274-RA
14;LFIG_03275-RA
14;LFIG_03276-RA
14;LFIG_03302-RA
14;LFIG_03303-RA
14;LFIG_03306-RA
14;LFIG_03318-RC
14;LFIG_03339-RB
14;LFIG_03345-RA
14;LFIG_03358-RA
14;LFIG_03361-RA
14;LFIG_03370-RA
14;LFIG_03372-RA
14;LFIG_03374-RA
14;LFIG_03395-RA
14;LFIG_03396-RA
14;LFIG_03424-RA
14;LFIG_03460-RA
14;LFIG_03464-RA
14;LFIG_03465-RA
14;LFIG_03477-RA
14;LFIG_03487-RA
14;LFIG_03495-RA
14;LFIG_03521-RA
14;LFIG_03540-RA
14;LFIG_03541-RA
14;LFIG_03612-RA
14;LFIG_03624-RA
14;LFIG_03636-RA
14;LFIG_03638-RA
14;LFIG_03647-RA
14;LFIG_03672-RA
14;LFIG_03673-RA
14;LFIG_03674-RA
14;LFIG_03718-RA
14;LFIG_03724-RA
14;LFIG_03731-RA
14;LFIG_03732-RA
14;LFIG_03734-RA
14;LFIG_03738-RA
14;LFIG_03739-RA
14;LFIG_03759-RA
14;LFIG_03764-RA
14;LFIG_03792-RA
14;LFIG_03795-RA
14;LFIG_03798-RA
14;LFIG_03799-RA
14;LFIG_03800-RA
14;LFIG_03801-RA
14;LFIG_03802-RA
14;LFIG_03803-RA
14;LFIG_03806-RA
14;LFIG_03844-RA
14;LFIG_03857-RA
14;LFIG_03858-RA
14;LFIG_03861-RA
14;LFIG_03907-RA
14;LFIG_03938-RA
14;LFIG_03952-RA
14;LFIG_03964-RB
14;LFIG_03972-RA
14;LFIG_03974-RA
14;LFIG_03976-RA
14;LFIG_03977-RA
14;LFIG_03989-RA
14;LFIG_03991-RA
14;LFIG_03992-RA
14;LFIG_04003-RA
14;LFIG_04008-RA
14;LFIG_04017-RA
14;LFIG_04023-RA
14;LFIG_04039-RA
14;LFIG_04042-RA
14;LFIG_04046-RA
14;LFIG_04047-RA
14;LFIG_04098-RA
14;LFIG_04101-RA
14;LFIG_04103-RA
14;LFIG_04107-RA
14;LFIG_04149-RA
14;LFIG_04150-RA
14;LFIG_04175-RA
14;LFIG_04198-RA
14;LFIG_04199-RA
14;LFIG_04215-RA
14;LFIG_04229-RA
14;LFIG_04239-RA
14;LFIG_04259-RA
14;LFIG_04270-RA
14;LFIG_04278-RA
14;LFIG_04279-RA
14;LFIG_04281-RA
14;LFIG_04283-RA
14;LFIG_04284-RB
14;LFIG_04290-RA
14;LFIG_04302-RA
14;LFIG_04304-RA
14;LFIG_04305-RA
14;LFIG_04308-RA
14;LFIG_04315-RA
14;LFIG_04316-RA
14;LFIG_04321-RA
14;LFIG_04322-RA
14;LFIG_04323-RA
14;LFIG_04339-RA
14;LFIG_04362-RA
14;LFIG_04394-RA
14;LFIG_04400-RA
14;LFIG_04412-RA
14;LFIG_04420-RA
14;LFIG_04433-RA
14;LFIG_04438-RA
14;LFIG_04459-RA
14;LFIG_04460-RA
14;LFIG_04470-RA
14;LFIG_04487-RA
14;LFIG_04501-RA
14;LFIG_04537-RA
14;LFIG_04550-RA
14;LFIG_04576-RA
14;LFIG_04587-RA
14;LFIG_04595-RA
14;LFIG_04604-RA
14;LFIG_04673-RA
14;LFIG_04684-RA
14;LFIG_04722-RB
14;LFIG_04723-RA
14;LFIG_04725-RA
14;LFIG_04726-RA
14;LFIG_04727-RA
14;LFIG_04729-RA
14;LFIG_04731-RA
14;LFIG_04734-RA
14;LFIG_04770-RA
14;LFIG_04779-RB
14;LFIG_04782-RA
14;LFIG_04819-RA
14;LFIG_04832-RA
14;LFIG_04896-RA
14;LFIG_04902-RA
14;LFIG_04905-RA
14;LFIG_04908-RA
14;LFIG_04910-RA
14;LFIG_04913-RA
14;LFIG_04914-RA
14;LFIG_04917-RA
14;LFIG_04921-RA
14;LFIG_04941-RA
14;LFIG_04944-RA
14;LFIG_04946-RA
14;LFIG_04949-RA
14;LFIG_04950-RA
14;LFIG_04958-RA
14;LFIG_04959-RA
14;LFIG_04960-RA
14;LFIG_04965-RA
14;LFIG_04972-RA
14;LFIG_04975-RA
14;LFIG_04981-RA
14;LFIG_04992-RA
14;LFIG_05070-RA
14;LFIG_05071-RA
14;LFIG_05072-RA
14;LFIG_05073-RA
14;LFIG_05074-RA
14;LFIG_05075-RA
14;LFIG_05095-RB
14;LFIG_05105-RA
14;LFIG_05113-RA
14;LFIG_05120-RA
14;LFIG_05141-RA
14;LFIG_05143-RA
14;LFIG_05144-RA
14;LFIG_05148-RA
14;LFIG_05172-RA
14;LFIG_05208-RA
14;LFIG_05209-RA
14;LFIG_05210-RA
14;LFIG_05211-RA
14;LFIG_05212-RA
14;LFIG_05213-RA
14;LFIG_05214-RA
14;LFIG_05215-RA
14;LFIG_05216-RA
14;LFIG_05217-RA
14;LFIG_05218-RA
14;LFIG_05219-RA
