PS;GeneID
14;transcript:ENSSSOT00015000097
14;transcript:ENSSSOT00015000102
14;transcript:ENSSSOT00015000116
14;transcript:ENSSSOT00015000130
14;transcript:ENSSSOT00015000179
14;transcript:ENSSSOT00015000199
14;transcript:ENSSSOT00015000204
14;transcript:ENSSSOT00015000207
14;transcript:ENSSSOT00015000229
14;transcript:ENSSSOT00015000230
14;transcript:ENSSSOT00015000260
14;transcript:ENSSSOT00015000269
14;transcript:ENSSSOT00015000296
14;transcript:ENSSSOT00015000373
14;transcript:ENSSSOT00015000385
14;transcript:ENSSSOT00015000423
14;transcript:ENSSSOT00015000430
14;transcript:ENSSSOT00015000450
14;transcript:ENSSSOT00015000477
14;transcript:ENSSSOT00015000497
14;transcript:ENSSSOT00015000501
14;transcript:ENSSSOT00015000540
14;transcript:ENSSSOT00015000553
14;transcript:ENSSSOT00015000579
14;transcript:ENSSSOT00015000605
14;transcript:ENSSSOT00015000645
14;transcript:ENSSSOT00015000650
14;transcript:ENSSSOT00015000671
14;transcript:ENSSSOT00015000692
14;transcript:ENSSSOT00015000789
14;transcript:ENSSSOT00015000798
14;transcript:ENSSSOT00015000808
14;transcript:ENSSSOT00015000816
14;transcript:ENSSSOT00015000823
14;transcript:ENSSSOT00015000862
14;transcript:ENSSSOT00015000877
14;transcript:ENSSSOT00015000911
14;transcript:ENSSSOT00015000915
14;transcript:ENSSSOT00015000931
14;transcript:ENSSSOT00015000932
14;transcript:ENSSSOT00015000944
14;transcript:ENSSSOT00015000949
14;transcript:ENSSSOT00015000952
14;transcript:ENSSSOT00015000973
14;transcript:ENSSSOT00015001055
14;transcript:ENSSSOT00015001117
14;transcript:ENSSSOT00015001140
14;transcript:ENSSSOT00015001149
14;transcript:ENSSSOT00015001205
14;transcript:ENSSSOT00015001211
14;transcript:ENSSSOT00015001214
14;transcript:ENSSSOT00015001252
14;transcript:ENSSSOT00015001282
14;transcript:ENSSSOT00015001299
14;transcript:ENSSSOT00015001314
14;transcript:ENSSSOT00015001331
14;transcript:ENSSSOT00015001335
14;transcript:ENSSSOT00015001343
14;transcript:ENSSSOT00015001360
14;transcript:ENSSSOT00015001378
14;transcript:ENSSSOT00015001396
14;transcript:ENSSSOT00015001409
14;transcript:ENSSSOT00015001416
14;transcript:ENSSSOT00015001495
14;transcript:ENSSSOT00015001502
14;transcript:ENSSSOT00015001544
14;transcript:ENSSSOT00015001550
14;transcript:ENSSSOT00015001558
14;transcript:ENSSSOT00015001564
14;transcript:ENSSSOT00015001591
14;transcript:ENSSSOT00015001604
14;transcript:ENSSSOT00015001607
14;transcript:ENSSSOT00015001635
14;transcript:ENSSSOT00015001662
14;transcript:ENSSSOT00015001691
14;transcript:ENSSSOT00015001713
14;transcript:ENSSSOT00015001719
14;transcript:ENSSSOT00015001747
14;transcript:ENSSSOT00015001749
14;transcript:ENSSSOT00015001765
14;transcript:ENSSSOT00015001773
14;transcript:ENSSSOT00015001801
14;transcript:ENSSSOT00015001807
14;transcript:ENSSSOT00015001822
14;transcript:ENSSSOT00015001830
14;transcript:ENSSSOT00015001854
14;transcript:ENSSSOT00015001862
14;transcript:ENSSSOT00015001865
14;transcript:ENSSSOT00015001878
14;transcript:ENSSSOT00015001879
14;transcript:ENSSSOT00015001952
14;transcript:ENSSSOT00015002007
14;transcript:ENSSSOT00015002041
14;transcript:ENSSSOT00015002051
14;transcript:ENSSSOT00015002053
14;transcript:ENSSSOT00015002200
14;transcript:ENSSSOT00015002211
14;transcript:ENSSSOT00015002233
14;transcript:ENSSSOT00015002240
14;transcript:ENSSSOT00015002254
14;transcript:ENSSSOT00015002261
14;transcript:ENSSSOT00015002284
14;transcript:ENSSSOT00015002294
14;transcript:ENSSSOT00015002311
14;transcript:ENSSSOT00015002394
14;transcript:ENSSSOT00015002410
14;transcript:ENSSSOT00015002426
14;transcript:ENSSSOT00015002431
14;transcript:ENSSSOT00015002474
14;transcript:ENSSSOT00015002492
14;transcript:ENSSSOT00015002514
14;transcript:ENSSSOT00015002530
14;transcript:ENSSSOT00015002537
14;transcript:ENSSSOT00015002570
