PS;GeneID
14;LMAR_00034-RA
14;LMAR_00060-RA
14;LMAR_00070-RA
14;LMAR_00072-RA
14;LMAR_00108-RA
14;LMAR_00112-RA
14;LMAR_00128-RA
14;LMAR_00143-RA
14;LMAR_00164-RA
14;LMAR_00170-RA
14;LMAR_00197-RA
14;LMAR_00199-RA
14;LMAR_00211-RA
14;LMAR_00227-RA
14;LMAR_00238-RA
14;LMAR_00247-RA
14;LMAR_00276-RA
14;LMAR_00303-RB
14;LMAR_00332-RA
14;LMAR_00337-RA
14;LMAR_00342-RA
14;LMAR_00405-RA
14;LMAR_00426-RA
14;LMAR_00433-RA
14;LMAR_00461-RA
14;LMAR_00465-RA
14;LMAR_00482-RB
14;LMAR_00506-RA
14;LMAR_00512-RA
14;LMAR_00513-RA
14;LMAR_00514-RA
14;LMAR_00515-RA
14;LMAR_00520-RA
14;LMAR_00525-RA
14;LMAR_00528-RA
14;LMAR_00529-RA
14;LMAR_00583-RA
14;LMAR_00619-RA
14;LMAR_00622-RA
14;LMAR_00656-RA
14;LMAR_00657-RA
14;LMAR_00670-RB
14;LMAR_00690-RB
14;LMAR_00709-RA
14;LMAR_00712-RA
14;LMAR_00721-RA
14;LMAR_00727-RA
14;LMAR_00742-RA
14;LMAR_00744-RB
14;LMAR_00745-RA
14;LMAR_00767-RA
14;LMAR_00774-RA
14;LMAR_00814-RA
14;LMAR_00815-RA
14;LMAR_00824-RA
14;LMAR_00833-RA
14;LMAR_00839-RA
14;LMAR_00868-RA
14;LMAR_00895-RA
14;LMAR_00908-RA
14;LMAR_00920-RA
14;LMAR_00953-RA
14;LMAR_00972-RA
14;LMAR_00974-RA
14;LMAR_00986-RA
14;LMAR_00987-RA
14;LMAR_00988-RA
14;LMAR_00991-RB
14;LMAR_00996-RA
14;LMAR_01009-RA
14;LMAR_01024-RA
14;LMAR_01032-RA
14;LMAR_01036-RA
14;LMAR_01039-RA
14;LMAR_01044-RA
14;LMAR_01046-RA
14;LMAR_01047-RA
14;LMAR_01048-RA
14;LMAR_01061-RA
14;LMAR_01066-RA
14;LMAR_01072-RA
14;LMAR_01080-RA
14;LMAR_01084-RA
14;LMAR_01090-RA
14;LMAR_01106-RA
14;LMAR_01111-RA
14;LMAR_01139-RA
14;LMAR_01142-RA
14;LMAR_01146-RA
14;LMAR_01147-RA
14;LMAR_01148-RA
14;LMAR_01149-RA
14;LMAR_01150-RA
14;LMAR_01152-RA
14;LMAR_01153-RA
14;LMAR_01155-RA
14;LMAR_01156-RA
14;LMAR_01215-RA
14;LMAR_01216-RA
14;LMAR_01219-RA
14;LMAR_01263-RA
14;LMAR_01269-RA
14;LMAR_01292-RA
14;LMAR_01307-RA
14;LMAR_01323-RA
14;LMAR_01327-RA
14;LMAR_01329-RA
14;LMAR_01330-RA
14;LMAR_01340-RA
14;LMAR_01341-RA
14;LMAR_01342-RA
14;LMAR_01343-RA
14;LMAR_01350-RA
14;LMAR_01374-RA
14;LMAR_01382-RA
14;LMAR_01403-RA
14;LMAR_01449-RA
14;LMAR_01466-RA
14;LMAR_01479-RA
14;LMAR_01486-RA
14;LMAR_01487-RA
14;LMAR_01489-RA
14;LMAR_01506-RA
14;LMAR_01518-RA
14;LMAR_01536-RA
14;LMAR_01548-RA
14;LMAR_01579-RA
14;LMAR_01596-RA
14;LMAR_01613-RA
14;LMAR_01621-RB
14;LMAR_01652-RA
14;LMAR_01660-RA
14;LMAR_01661-RA
14;LMAR_01662-RA
14;LMAR_01663-RA
14;LMAR_01664-RA
14;LMAR_01665-RA
14;LMAR_01666-RA
14;LMAR_01667-RA
14;LMAR_01669-RA
14;LMAR_01670-RA
14;LMAR_01671-RA
14;LMAR_01672-RA
14;LMAR_01673-RA
14;LMAR_01674-RA
14;LMAR_01675-RA
14;LMAR_01676-RA
14;LMAR_01677-RA
14;LMAR_01678-RA
14;LMAR_01679-RA
14;LMAR_01680-RA
14;LMAR_01681-RA
14;LMAR_01707-RA
14;LMAR_01720-RA
14;LMAR_01742-RA
14;LMAR_01745-RA
14;LMAR_01746-RA
14;LMAR_01748-RA
14;LMAR_01770-RA
14;LMAR_01771-RA
14;LMAR_01797-RA
