PS;GeneID
14;transcript:ENSolsT00005000002
14;transcript:ENSolsT00005000023
14;transcript:ENSolsT00005000031
14;transcript:ENSolsT00005000080
14;transcript:ENSolsT00005000092
14;transcript:ENSolsT00005000110
14;transcript:ENSolsT00005000158
14;transcript:ENSolsT00005000165
14;transcript:ENSolsT00005000180
14;transcript:ENSolsT00005000204
14;transcript:ENSolsT00005000253
14;transcript:ENSolsT00005000267
14;transcript:ENSolsT00005000295
14;transcript:ENSolsT00005000297
14;transcript:ENSolsT00005000305
14;transcript:ENSolsT00005000344
14;transcript:ENSolsT00005000437
14;transcript:ENSolsT00005000466
14;transcript:ENSolsT00005000504
14;transcript:ENSolsT00005000517
14;transcript:ENSolsT00005000570
14;transcript:ENSolsT00005000592
14;transcript:ENSolsT00005000594
14;transcript:ENSolsT00005000611
14;transcript:ENSolsT00005000633
14;transcript:ENSolsT00005000639
14;transcript:ENSolsT00005000646
14;transcript:ENSolsT00005000653
14;transcript:ENSolsT00005000698
14;transcript:ENSolsT00005000715
14;transcript:ENSolsT00005000732
14;transcript:ENSolsT00005000766
14;transcript:ENSolsT00005000782
14;transcript:ENSolsT00005000830
14;transcript:ENSolsT00005000834
14;transcript:ENSolsT00005000838
14;transcript:ENSolsT00005000875
14;transcript:ENSolsT00005000876
14;transcript:ENSolsT00005000877
14;transcript:ENSolsT00005000933
14;transcript:ENSolsT00005000974
14;transcript:ENSolsT00005000975
14;transcript:ENSolsT00005001014
14;transcript:ENSolsT00005001026
14;transcript:ENSolsT00005001031
14;transcript:ENSolsT00005001050
14;transcript:ENSolsT00005001082
14;transcript:ENSolsT00005001094
14;transcript:ENSolsT00005001140
14;transcript:ENSolsT00005001146
14;transcript:ENSolsT00005001148
14;transcript:ENSolsT00005001194
14;transcript:ENSolsT00005001257
14;transcript:ENSolsT00005001270
14;transcript:ENSolsT00005001290
14;transcript:ENSolsT00005001291
14;transcript:ENSolsT00005001302
14;transcript:ENSolsT00005001431
14;transcript:ENSolsT00005001438
14;transcript:ENSolsT00005001469
14;transcript:ENSolsT00005001474
14;transcript:ENSolsT00005001586
14;transcript:ENSolsT00005001597
14;transcript:ENSolsT00005001656
14;transcript:ENSolsT00005001668
14;transcript:ENSolsT00005001690
14;transcript:ENSolsT00005001718
14;transcript:ENSolsT00005001729
14;transcript:ENSolsT00005001742
14;transcript:ENSolsT00005001745
14;transcript:ENSolsT00005001755
14;transcript:ENSolsT00005001856
14;transcript:ENSolsT00005001870
14;transcript:ENSolsT00005001883
14;transcript:ENSolsT00005001924
14;transcript:ENSolsT00005001947
14;transcript:ENSolsT00005002000
14;transcript:ENSolsT00005002012
14;transcript:ENSolsT00005002067
14;transcript:ENSolsT00005002073
14;transcript:ENSolsT00005002099
14;transcript:ENSolsT00005002100
14;transcript:ENSolsT00005002150
14;transcript:ENSolsT00005002176
14;transcript:ENSolsT00005002195
14;transcript:ENSolsT00005002199
14;transcript:ENSolsT00005002206
14;transcript:ENSolsT00005002235
14;transcript:ENSolsT00005002282
14;transcript:ENSolsT00005002336
14;transcript:ENSolsT00005002354
14;transcript:ENSolsT00005002378
14;transcript:ENSolsT00005002384
14;transcript:ENSolsT00005002386
14;transcript:ENSolsT00005002392
14;transcript:ENSolsT00005002472
14;transcript:ENSolsT00005002487
14;transcript:ENSolsT00005002548
14;transcript:ENSolsT00005002558
14;transcript:ENSolsT00005002611
14;transcript:ENSolsT00005002635
14;transcript:ENSolsT00005002639
14;transcript:ENSolsT00005002648
14;transcript:ENSolsT00005002661
14;transcript:ENSolsT00005002669
14;transcript:ENSolsT00005002702
14;transcript:ENSolsT00005002738
14;transcript:ENSolsT00005002748
14;transcript:ENSolsT00005002765
14;transcript:ENSolsT00005002795
14;transcript:ENSolsT00005002798
14;transcript:ENSolsT00005002842
14;transcript:ENSolsT00005002877
14;transcript:ENSolsT00005002879
14;transcript:ENSolsT00005002885
14;transcript:ENSolsT00005002945
14;transcript:ENSolsT00005002972
14;transcript:ENSolsT00005003010
14;transcript:ENSolsT00005003012
14;transcript:ENSolsT00005003019
14;transcript:ENSolsT00005003034
14;transcript:ENSolsT00005003045
14;transcript:ENSolsT00005003054
14;transcript:ENSolsT00005003138
14;transcript:ENSolsT00005003146
14;transcript:ENSolsT00005003158
14;transcript:ENSolsT00005003172
14;transcript:ENSolsT00005003204
14;transcript:ENSolsT00005003274
14;transcript:ENSolsT00005003275
14;transcript:ENSolsT00005003285
14;transcript:ENSolsT00005003288
14;transcript:ENSolsT00005003290
14;transcript:ENSolsT00005003310
14;transcript:ENSolsT00005003317
14;transcript:ENSolsT00005003330
14;transcript:ENSolsT00005003341
14;transcript:ENSolsT00005003344
14;transcript:ENSolsT00005003350
14;transcript:ENSolsT00005003453
14;transcript:ENSolsT00005003479
14;transcript:ENSolsT00005003506
14;transcript:ENSolsT00005003538
14;transcript:ENSolsT00005003562
14;transcript:ENSolsT00005003584
14;transcript:ENSolsT00005003595
14;transcript:ENSolsT00005003602
14;transcript:ENSolsT00005003606
14;transcript:ENSolsT00005003664
14;transcript:ENSolsT00005003745
14;transcript:ENSolsT00005003749
14;transcript:ENSolsT00005003755
14;transcript:ENSolsT00005003805
14;transcript:ENSolsT00005003808
14;transcript:ENSolsT00005003810
14;transcript:ENSolsT00005003818
14;transcript:ENSolsT00005003833
14;transcript:ENSolsT00005003837
14;transcript:ENSolsT00005003838
14;transcript:ENSolsT00005003861
14;transcript:ENSolsT00005003922
14;transcript:ENSolsT00005003929
14;transcript:ENSolsT00005003934
14;transcript:ENSolsT00005003941
14;transcript:ENSolsT00005003962
14;transcript:ENSolsT00005003965
14;transcript:ENSolsT00005003971
14;transcript:ENSolsT00005004027
14;transcript:ENSolsT00005004131
14;transcript:ENSolsT00005004153
14;transcript:ENSolsT00005004157
14;transcript:ENSolsT00005004162
14;transcript:ENSolsT00005004163
14;transcript:ENSolsT00005004168
14;transcript:ENSolsT00005004188
14;transcript:ENSolsT00005004191
14;transcript:ENSolsT00005004203
14;transcript:ENSolsT00005004224
14;transcript:ENSolsT00005004260
14;transcript:ENSolsT00005004274
14;transcript:ENSolsT00005004381
14;transcript:ENSolsT00005004385
14;transcript:ENSolsT00005004389
14;transcript:ENSolsT00005004400
14;transcript:ENSolsT00005004401
14;transcript:ENSolsT00005004414
14;transcript:ENSolsT00005004435
14;transcript:ENSolsT00005004546
14;transcript:ENSolsT00005004572
14;transcript:ENSolsT00005004574
14;transcript:ENSolsT00005004652
14;transcript:ENSolsT00005004653
14;transcript:ENSolsT00005004681
14;transcript:ENSolsT00005004703
14;transcript:ENSolsT00005004714
14;transcript:ENSolsT00005004726
14;transcript:ENSolsT00005004844
14;transcript:ENSolsT00005004865
14;transcript:ENSolsT00005004914
14;transcript:ENSolsT00005004974
14;transcript:ENSolsT00005005001
14;transcript:ENSolsT00005005011
14;transcript:ENSolsT00005005024
14;transcript:ENSolsT00005005046
14;transcript:ENSolsT00005005054
14;transcript:ENSolsT00005005078
14;transcript:ENSolsT00005005123
14;transcript:ENSolsT00005005132
14;transcript:ENSolsT00005005146
