PS;GeneID
14;APUR_00006-RA
14;APUR_00013-RA
14;APUR_00035-RA
14;APUR_00036-RA
14;APUR_00043-RA
14;APUR_00047-RA
14;APUR_00084-RA
14;APUR_00085-RA
14;APUR_00088-RB
14;APUR_00089-RA
14;APUR_00109-RA
14;APUR_00115-RA
14;APUR_00116-RA
14;APUR_00117-RA
14;APUR_00118-RA
14;APUR_00119-RA
14;APUR_00163-RA
14;APUR_00184-RA
14;APUR_00194-RA
14;APUR_00216-RA
14;APUR_00218-RA
14;APUR_00221-RA
14;APUR_00226-RA
14;APUR_00234-RA
14;APUR_00236-RA
14;APUR_00251-RA
14;APUR_00264-RA
14;APUR_00270-RA
14;APUR_00276-RA
14;APUR_00277-RA
14;APUR_00301-RA
14;APUR_00302-RA
14;APUR_00303-RA
14;APUR_00304-RA
14;APUR_00317-RA
14;APUR_00320-RA
14;APUR_00353-RA
14;APUR_00354-RA
14;APUR_00383-RA
14;APUR_00391-RA
14;APUR_00393-RA
14;APUR_00449-RA
14;APUR_00452-RA
14;APUR_00471-RA
14;APUR_00478-RA
14;APUR_00509-RA
14;APUR_00526-RA
14;APUR_00548-RA
14;APUR_00555-RA
14;APUR_00567-RA
14;APUR_00570-RA
14;APUR_00573-RA
14;APUR_00574-RA
14;APUR_00575-RA
14;APUR_00615-RA
14;APUR_00616-RB
14;APUR_00619-RA
14;APUR_00623-RA
14;APUR_00626-RA
14;APUR_00628-RA
14;APUR_00653-RA
14;APUR_00659-RA
14;APUR_00660-RA
14;APUR_00662-RA
14;APUR_00664-RA
14;APUR_00665-RA
14;APUR_00710-RA
14;APUR_00714-RA
14;APUR_00756-RA
14;APUR_00762-RA
14;APUR_00778-RA
14;APUR_00789-RA
14;APUR_00790-RA
14;APUR_00816-RA
14;APUR_00817-RA
14;APUR_00818-RA
14;APUR_00819-RA
14;APUR_00831-RA
14;APUR_00844-RA
14;APUR_00864-RA
14;APUR_00874-RA
14;APUR_00875-RA
14;APUR_00876-RA
14;APUR_00905-RA
14;APUR_00907-RA
14;APUR_00926-RA
14;APUR_00940-RA
14;APUR_00943-RA
14;APUR_00944-RA
14;APUR_00954-RA
14;APUR_00958-RA
14;APUR_00967-RA
14;APUR_00971-RA
14;APUR_00976-RA
14;APUR_00979-RA
14;APUR_00981-RA
14;APUR_00982-RA
14;APUR_00985-RA
14;APUR_00986-RA
14;APUR_01025-RA
14;APUR_01034-RA
14;APUR_01035-RA
14;APUR_01058-RA
14;APUR_01060-RA
14;APUR_01073-RA
14;APUR_01077-RA
14;APUR_01079-RA
14;APUR_01081-RA
14;APUR_01082-RA
14;APUR_01091-RA
14;APUR_01106-RA
14;APUR_01107-RA
14;APUR_01108-RA
14;APUR_01111-RA
14;APUR_01128-RA
14;APUR_01132-RA
14;APUR_01147-RA
14;APUR_01174-RA
14;APUR_01181-RA
14;APUR_01201-RA
14;APUR_01211-RA
14;APUR_01216-RA
14;APUR_01220-RA
14;APUR_01235-RA
14;APUR_01238-RA
14;APUR_01239-RA
14;APUR_01243-RA
14;APUR_01244-RA
14;APUR_01245-RA
14;APUR_01246-RA
14;APUR_01250-RA
14;APUR_01278-RA
14;APUR_01288-RA
14;APUR_01290-RA
14;APUR_01314-RA
14;APUR_01332-RA
14;APUR_01333-RA
14;APUR_01337-RA
14;APUR_01360-RA
14;APUR_01367-RA
14;APUR_01385-RA
14;APUR_01399-RA
14;APUR_01429-RA
14;APUR_01454-RA
14;APUR_01488-RA
14;APUR_01506-RA
14;APUR_01515-RA
14;APUR_01547-RA
14;APUR_01555-RA
14;APUR_01578-RA
14;APUR_01604-RA
14;APUR_01638-RA
14;APUR_01649-RA
14;APUR_01653-RA
14;APUR_01657-RA
14;APUR_01669-RA
14;APUR_01676-RA
14;APUR_01696-RA
14;APUR_01701-RA
14;APUR_01702-RA
14;APUR_01703-RA
14;APUR_01704-RA
14;APUR_01705-RA
14;APUR_01706-RA
14;APUR_01707-RA
14;APUR_01709-RA
14;APUR_01710-RA
14;APUR_01721-RA
14;APUR_01800-RA
14;APUR_01816-RA
14;APUR_01820-RA
14;APUR_01821-RA
14;APUR_01822-RA
14;APUR_01823-RA
14;APUR_01826-RA
14;APUR_01831-RA
14;APUR_01834-RA
14;APUR_01839-RA
14;APUR_01842-RA
14;APUR_01847-RA
14;APUR_01848-RA
14;APUR_01863-RA
14;APUR_01864-RA
14;APUR_01865-RA
14;APUR_01867-RA
14;APUR_01868-RA
14;APUR_01869-RA
14;APUR_01894-RA
14;APUR_01903-RA
14;APUR_01906-RA
14;APUR_01923-RA
14;APUR_01939-RA
14;APUR_01963-RA
14;APUR_01972-RA
14;APUR_02002-RA
14;APUR_02012-RA
14;APUR_02032-RA
14;APUR_02033-RA
14;APUR_02046-RA
14;APUR_02068-RA
14;APUR_02087-RA
14;APUR_02114-RA
14;APUR_02163-RA
14;APUR_02186-RA
14;APUR_02200-RA
14;APUR_02201-RA
14;APUR_02202-RA
14;APUR_02225-RA
14;APUR_02226-RA
14;APUR_02236-RA
14;APUR_02246-RA
14;APUR_02249-RA
14;APUR_02250-RA
14;APUR_02252-RA
14;APUR_02253-RA
14;APUR_02254-RA
14;APUR_02255-RA
14;APUR_02264-RA
14;APUR_02269-RA
14;APUR_02270-RA
14;APUR_02273-RA
14;APUR_02288-RA
14;APUR_02316-RA
14;APUR_02317-RA
14;APUR_02318-RA
14;APUR_02323-RA
14;APUR_02325-RA
14;APUR_02337-RA
14;APUR_02343-RA
14;APUR_02345-RA
14;APUR_02347-RA
14;APUR_02348-RB
14;APUR_02367-RA
14;APUR_02381-RA
14;APUR_02394-RA
14;APUR_02415-RA
14;APUR_02432-RA
14;APUR_02436-RA
14;APUR_02438-RA
14;APUR_02446-RA
14;APUR_02452-RA
14;APUR_02458-RA
14;APUR_02464-RA
14;APUR_02466-RA
14;APUR_02477-RA
14;APUR_02498-RA
14;APUR_02503-RA
14;APUR_02510-RA
14;APUR_02523-RA
14;APUR_02524-RA
14;APUR_02526-RA
14;APUR_02528-RA
14;APUR_02530-RA
14;APUR_02547-RA
14;APUR_02562-RA
14;APUR_02566-RA
14;APUR_02568-RA
14;APUR_02570-RB
14;APUR_02599-RA
14;APUR_02607-RA
14;APUR_02613-RB
14;APUR_02614-RA
14;APUR_02619-RA
14;APUR_02620-RA
14;APUR_02622-RA
14;APUR_02672-RA
14;APUR_02677-RA
14;APUR_02687-RA
14;APUR_02692-RA
14;APUR_02701-RA
14;APUR_02720-RA
14;APUR_02755-RA
14;APUR_02805-RA
14;APUR_02819-RD
14;APUR_02825-RA
14;APUR_02839-RB
14;APUR_02844-RA
14;APUR_02845-RA
14;APUR_02852-RA
14;APUR_02860-RA
14;APUR_02894-RA
14;APUR_02898-RA
14;APUR_02901-RA
14;APUR_02902-RA
14;APUR_02947-RA
14;APUR_02948-RA
14;APUR_02953-RA
14;APUR_02956-RA
14;APUR_02973-RA
14;APUR_02975-RA
14;APUR_03007-RA
14;APUR_03013-RA
14;APUR_03016-RA
14;APUR_03022-RA
14;APUR_03027-RA
14;APUR_03048-RA
14;APUR_03124-RA
14;APUR_03136-RA
14;APUR_03139-RA
14;APUR_03140-RA
14;APUR_03168-RA
14;APUR_03178-RA
14;APUR_03211-RA
14;APUR_03234-RB
14;APUR_03246-RA
14;APUR_03254-RA
14;APUR_03255-RA
14;APUR_03260-RA
14;APUR_03281-RA
14;APUR_03284-RA
14;APUR_03285-RA
14;APUR_03286-RA
14;APUR_03288-RA
14;APUR_03293-RA
14;APUR_03297-RA
14;APUR_03299-RA
14;APUR_03309-RA
14;APUR_03336-RA
14;APUR_03337-RA
14;APUR_03361-RC
14;APUR_03373-RA
14;APUR_03374-RA
14;APUR_03380-RA
14;APUR_03386-RA
14;APUR_03391-RB
14;APUR_03392-RA
14;APUR_03402-RA
14;APUR_03403-RA
14;APUR_03415-RA
14;APUR_03416-RA
14;APUR_03460-RA
14;APUR_03496-RA
14;APUR_03499-RA
14;APUR_03503-RA
14;APUR_03504-RA
14;APUR_03512-RA
14;APUR_03524-RA
14;APUR_03530-RA
14;APUR_03531-RA
14;APUR_03534-RA
14;APUR_03542-RA
14;APUR_03543-RA
14;APUR_03544-RA
14;APUR_03547-RA
14;APUR_03549-RA
14;APUR_03551-RA
14;APUR_03552-RA
14;APUR_03564-RA
14;APUR_03565-RA
14;APUR_03566-RA
14;APUR_03567-RA
14;APUR_03576-RA
14;APUR_03580-RA
14;APUR_03616-RA
14;APUR_03620-RA
14;APUR_03621-RA
14;APUR_03623-RA
14;APUR_03627-RA
14;APUR_03656-RA
14;APUR_03683-RA
14;APUR_03692-RA
14;APUR_03694-RA
14;APUR_03698-RA
14;APUR_03702-RA
14;APUR_03735-RA
14;APUR_03749-RA
14;APUR_03766-RA
14;APUR_03768-RA
14;APUR_03792-RA
14;APUR_03794-RA
14;APUR_03797-RA
14;APUR_03801-RA
14;APUR_03811-RA
14;APUR_03812-RA
14;APUR_03816-RA
14;APUR_03817-RA
14;APUR_03843-RA
14;APUR_03875-RA
14;APUR_03888-RA
14;APUR_03899-RA
14;APUR_03941-RA
14;APUR_03947-RA
14;APUR_03965-RA
14;APUR_03974-RA
14;APUR_03978-RA
14;APUR_03980-RA
14;APUR_03985-RA
14;APUR_04003-RA
14;APUR_04021-RA
14;APUR_04022-RA
14;APUR_04024-RA
14;APUR_04025-RA
14;APUR_04026-RA
14;APUR_04028-RA
14;APUR_04030-RA
14;APUR_04032-RA
14;APUR_04060-RA
14;APUR_04061-RA
14;APUR_04095-RB
14;APUR_04098-RA
14;APUR_04141-RA
14;APUR_04162-RA
14;APUR_04194-RA
14;APUR_04196-RA
14;APUR_04206-RA
14;APUR_04230-RA
14;APUR_04231-RA
14;APUR_04254-RA
14;APUR_04270-RA
14;APUR_04275-RA
14;APUR_04280-RA
14;APUR_04288-RA
14;APUR_04303-RB
14;APUR_04306-RA
14;APUR_04325-RA
14;APUR_04366-RA
14;APUR_04370-RA
14;APUR_04372-RA
14;APUR_04387-RB
14;APUR_04450-RA
14;APUR_04471-RA
14;APUR_04535-RA
14;APUR_04538-RA
14;APUR_04570-RA
14;APUR_04587-RA
14;APUR_04591-RA
14;APUR_04598-RA
14;APUR_04640-RA
14;APUR_04657-RA
14;APUR_04659-RA
14;APUR_04666-RA
14;APUR_04699-RA
14;APUR_04714-RA
14;APUR_04726-RA
14;APUR_04727-RA
14;APUR_04775-RA
14;APUR_04779-RA
14;APUR_04784-RA
14;APUR_04787-RA
14;APUR_04789-RA
14;APUR_04790-RA
14;APUR_04791-RA
14;APUR_04797-RA
14;APUR_04851-RA
14;APUR_04890-RA
14;APUR_04908-RA
14;APUR_04922-RA
14;APUR_04946-RA
14;APUR_04951-RA
14;APUR_04961-RA
14;APUR_04965-RA
14;APUR_04978-RA
14;APUR_04979-RA
14;APUR_05018-RA
14;APUR_05029-RA
14;APUR_05039-RA
14;APUR_05048-RA
14;APUR_05053-RA
14;APUR_05068-RA
14;APUR_05069-RA
14;APUR_05071-RA
14;APUR_05084-RA
14;APUR_05113-RA
14;APUR_05121-RC
14;APUR_05122-RA
14;APUR_05143-RA
14;APUR_05206-RA
14;APUR_05236-RA
14;APUR_05240-RA
14;APUR_05242-RA
14;APUR_05252-RA
14;APUR_05268-RA
14;APUR_05305-RA
14;APUR_05329-RA
14;APUR_05337-RA
14;APUR_05339-RA
14;APUR_05353-RA
14;APUR_05388-RA
14;APUR_05487-RA
14;APUR_05489-RA
14;APUR_05490-RA
14;APUR_05492-RA
14;APUR_05496-RA
14;APUR_05499-RA
14;APUR_05500-RA
14;APUR_05501-RA
14;APUR_05504-RA
14;APUR_05509-RA
14;APUR_05546-RA
14;APUR_05600-RA
14;APUR_05611-RA
14;APUR_05616-RA
14;APUR_05619-RA
14;APUR_05624-RA
14;APUR_05628-RA
14;APUR_05629-RA
14;APUR_05635-RA
14;APUR_05656-RA
14;APUR_05657-RA
14;APUR_05689-RA
14;APUR_05726-RA
14;APUR_05731-RA
14;APUR_05733-RA
14;APUR_05752-RA
14;APUR_05753-RA
14;APUR_05761-RA
14;APUR_05772-RA
14;APUR_05787-RA
14;APUR_05788-RA
