PS;GeneID
14;rna-XM_034314934.1
14;rna-XM_034314941.1
14;rna-XM_034314942.1
14;rna-XM_034314945.1
14;rna-XM_034314948.1
14;rna-XM_034315043.1
14;rna-XM_034315054.1
14;rna-XM_034315067.1
14;rna-XM_034315070.1
14;rna-XM_034315091.1
14;rna-XM_034315121.1
14;rna-XM_034315126.1
14;rna-XM_034315145.1
14;rna-XM_034315146.1
14;rna-XM_034315236.1
14;rna-XM_034315241.1
14;rna-XM_034315247.1
14;rna-XM_034315259.1
14;rna-XM_034315273.1
14;rna-XM_034315303.1
14;rna-XM_034315363.1
14;rna-XM_034315372.1
14;rna-XM_034315413.1
14;rna-XM_034315418.1
14;rna-XM_034315468.1
14;rna-XM_034315469.1
14;rna-XM_034315644.1
14;rna-XM_034315692.1
14;rna-XM_034315703.1
14;rna-XM_034315859.1
14;rna-XM_034315930.1
14;rna-XM_034315932.1
14;rna-XM_034315963.1
14;rna-XM_034315973.1
14;rna-XM_034316036.1
14;rna-XM_034316037.1
14;rna-XM_034316040.1
14;rna-XM_034316042.1
14;rna-XM_034316045.1
14;rna-XM_034316071.1
14;rna-XM_034316073.1
14;rna-XM_034316199.1
14;rna-XM_034316201.1
14;rna-XM_034316234.1
14;rna-XM_034316287.1
14;rna-XM_034316299.1
14;rna-XM_034316425.1
14;rna-XM_034316440.1
14;rna-XM_034316455.1
14;rna-XM_034316464.1
14;rna-XM_034316559.1
14;rna-XM_034316568.1
14;rna-XM_034316569.1
14;rna-XM_034316570.1
14;rna-XM_034316577.1
14;rna-XM_034316581.1
14;rna-XM_034316648.1
14;rna-XM_034316677.1
14;rna-XM_034316694.1
14;rna-XM_034316732.1
14;rna-XM_034316746.1
14;rna-XM_034316750.1
14;rna-XM_034316751.1
14;rna-XM_034316752.1
14;rna-XM_034316753.1
14;rna-XM_034316766.1
14;rna-XM_034316833.1
14;rna-XM_034316835.1
14;rna-XM_034316841.1
14;rna-XM_034316884.1
14;rna-XM_034316935.1
14;rna-XM_034316948.1
14;rna-XM_034316979.1
14;rna-XM_034317031.1
14;rna-XM_034317239.1
14;rna-XM_034317447.1
14;rna-XM_034317451.1
14;rna-XM_034317454.1
14;rna-XM_034317469.1
14;rna-XM_034317603.1
14;rna-XM_034317614.1
14;rna-XM_034317680.1
14;rna-XM_034317695.1
14;rna-XM_034317759.1
14;rna-XM_034317760.1
14;rna-XM_034317811.1
14;rna-XM_034317815.1
14;rna-XM_034317831.1
14;rna-XM_034317841.1
14;rna-XM_034317914.1
14;rna-XM_034317919.1
14;rna-XM_034317932.1
14;rna-XM_034317951.1
14;rna-XM_034318002.1
