PS;GeneID
14;rna-XM_029176027.2
14;rna-XM_029176032.2
14;rna-XM_029176082.1
14;rna-XM_029176135.2
14;rna-XM_029176136.1
14;rna-XM_029176152.2
14;rna-XM_029176229.2
14;rna-XM_029176246.2
14;rna-XM_029176260.2
14;rna-XM_029176312.2
14;rna-XM_029176408.2
14;rna-XM_029176470.2
14;rna-XM_029176493.2
14;rna-XM_029176503.2
14;rna-XM_029176664.2
14;rna-XM_029176754.2
14;rna-XM_029176758.2
14;rna-XM_029176774.2
14;rna-XM_029176776.2
14;rna-XM_029176815.2
14;rna-XM_029176832.1
14;rna-XM_029176914.2
14;rna-XM_029176918.2
14;rna-XM_029176925.2
14;rna-XM_029176927.2
14;rna-XM_029176933.2
14;rna-XM_029176935.2
14;rna-XM_029176988.2
14;rna-XM_029177001.2
14;rna-XM_029177078.2
14;rna-XM_029177083.2
14;rna-XM_029177084.2
14;rna-XM_029177090.2
14;rna-XM_029177104.2
14;rna-XM_029177132.2
14;rna-XM_029177176.2
14;rna-XM_029177308.2
14;rna-XM_029177351.2
14;rna-XM_029177353.2
14;rna-XM_029177410.2
14;rna-XM_029177411.2
14;rna-XM_029177413.2
14;rna-XM_029177463.2
14;rna-XM_029177507.2
14;rna-XM_029177596.2
14;rna-XM_029177597.2
14;rna-XM_029177708.2
14;rna-XM_029177813.2
14;rna-XM_029177822.2
14;rna-XM_029178041.2
14;rna-XM_029178177.2
14;rna-XM_029178212.2
14;rna-XM_029178289.2
14;rna-XM_029178295.2
14;rna-XM_029178309.2
14;rna-XM_029178311.2
14;rna-XM_029178406.2
14;rna-XM_029178444.1
14;rna-XM_029178449.2
14;rna-XM_029178451.2
14;rna-XM_029178452.2
14;rna-XM_029178463.1
14;rna-XM_029178465.2
14;rna-XM_029178469.2
14;rna-XM_029178516.2
14;rna-XM_029178556.2
14;rna-XM_029178593.2
14;rna-XM_029178605.2
14;rna-XM_029178746.2
14;rna-XM_029178747.2
14;rna-XM_029178848.2
14;rna-XM_029178948.2
14;rna-XM_029178949.2
14;rna-XM_029178960.2
14;rna-XM_029179197.2
14;rna-XM_029179201.2
14;rna-XM_029179223.2
14;rna-XM_029179254.2
14;rna-XM_029179280.2
14;rna-XM_029179307.2
14;rna-XM_029179314.2
14;rna-XM_029179330.2
14;rna-XM_029179383.2
14;rna-XM_029179418.2
14;rna-XM_029179441.2
14;rna-XM_029179476.2
14;rna-XM_029179498.2
14;rna-XM_029179524.2
14;rna-XM_029179526.2
14;rna-XM_029179528.2
14;rna-XM_029179539.2
14;rna-XM_029179554.2
14;rna-XM_029179684.2
14;rna-XM_029179698.2
14;rna-XM_029179731.2
14;rna-XM_029179758.2
14;rna-XM_029179766.2
14;rna-XM_029179833.2
14;rna-XM_029179845.2
14;rna-XM_029179860.2
14;rna-XM_029179885.2
14;rna-XM_029179948.2
14;rna-XM_029180067.2
14;rna-XM_029180090.2
14;rna-XM_029180110.2
14;rna-XM_029180281.2
14;rna-XM_029180326.2
14;rna-XM_029180341.2
14;rna-XM_029180343.2
14;rna-XM_029180381.2
14;rna-XM_029180510.2
14;rna-XM_029180543.2
14;rna-XM_029180552.2
14;rna-XM_029180604.2
14;rna-XM_029180615.2
14;rna-XM_029180619.2
14;rna-XM_029180651.2
14;rna-XM_029180667.2
14;rna-XM_029180683.2
14;rna-XM_029180688.2
14;rna-XM_029180714.2
14;rna-XM_029180745.2
14;rna-XM_029180889.2
14;rna-XM_029180925.2
14;rna-XM_029180930.2
14;rna-XM_029180994.2
14;rna-XM_029180995.2
14;rna-XM_029181033.2
14;rna-XM_029181043.2
14;rna-XM_029181047.2
14;rna-XM_029181124.2
14;rna-XM_029181173.2
14;rna-XM_029181197.2
14;rna-XM_029181348.2
14;rna-XM_029181357.2
14;rna-XM_029181361.2
14;rna-XM_029181365.2
14;rna-XM_029181366.2
14;rna-XM_029181369.2
14;rna-XM_029181370.2
14;rna-XM_029181374.2
14;rna-XM_029181384.2
14;rna-XM_029181420.2
14;rna-XM_029181429.2
14;rna-XM_029181442.2
14;rna-XM_029181459.2
14;rna-XM_029181482.2
14;rna-XM_029181485.2
14;rna-XM_029181498.2
14;rna-XM_029181578.2
14;rna-XM_029181593.2
14;rna-XM_029181705.2
14;rna-XM_029181746.2
14;rna-XM_029181774.2
14;rna-XM_029181804.2
14;rna-XM_029181814.2
14;rna-XM_029181837.2
14;rna-XM_029181878.2
14;rna-XM_029181934.2
14;rna-XM_029181950.2
14;rna-XM_029182008.1
14;rna-XM_029182110.2
14;rna-XM_029182130.2
14;rna-XM_029182132.2
14;rna-XM_029182142.2
14;rna-XM_029182166.2
14;rna-XM_029182185.2
14;rna-XM_029182222.2
14;rna-XM_029182293.2
14;rna-XM_029182294.2
14;rna-XM_029182380.2
14;rna-XM_029182425.2
14;rna-XM_029182444.2
14;rna-XM_029182502.1
14;rna-XM_029182515.1
14;rna-XM_029182562.2
14;rna-XM_029182565.2
14;rna-XM_029182573.2
14;rna-XM_029182584.2
14;rna-XM_029182585.2
14;rna-XM_029182591.2
14;rna-XM_029182592.2
14;rna-XM_029182593.2
14;rna-XM_029182595.2
14;rna-XM_029182596.2
14;rna-XM_029182624.2
14;rna-XM_029182665.2
14;rna-XM_029182673.1
14;rna-XM_029182688.2
14;rna-XM_029182689.2
14;rna-XM_029182696.2
14;rna-XM_029182727.2
14;rna-XM_029182736.2
14;rna-XM_029182760.2
14;rna-XM_029182795.2
14;rna-XM_029182850.2
14;rna-XM_029182906.2
14;rna-XM_029182911.2
14;rna-XM_029182914.2
14;rna-XM_029182953.1
14;rna-XM_029182954.2
14;rna-XM_029182955.2
14;rna-XM_029183009.2
14;rna-XM_029183039.2
14;rna-XM_029183064.2
14;rna-XM_029183076.2
14;rna-XM_029183090.2
14;rna-XM_029183096.2
14;rna-XM_029183100.2
14;rna-XM_029183159.2
14;rna-XM_029183164.2
14;rna-XM_029183166.2
14;rna-XM_029183284.2
14;rna-XM_029183335.2
14;rna-XM_029183350.2
14;rna-XM_029183384.2
14;rna-XM_029183387.2
14;rna-XM_029183425.2
14;rna-XM_029183443.2
14;rna-XM_029183455.2
14;rna-XM_029183464.2
14;rna-XM_029183466.2
14;rna-XM_029183467.2
14;rna-XM_029183471.2
14;rna-XM_029183493.2
14;rna-XM_029183510.2
14;rna-XM_029183547.2
14;rna-XM_029183577.2
14;rna-XM_029183578.2
14;rna-XM_029183616.2
14;rna-XM_029183632.2
14;rna-XM_029183635.1
14;rna-XM_029183642.1
14;rna-XM_029183674.2
14;rna-XM_029183676.2
14;rna-XM_029183677.2
14;rna-XM_029183839.2
14;rna-XM_029183840.2
14;rna-XM_029183851.2
14;rna-XM_029183858.2
14;rna-XM_029183860.2
14;rna-XM_029183863.2
14;rna-XM_029183874.2
14;rna-XM_029183888.2
14;rna-XM_029183902.2
14;rna-XM_029183910.2
14;rna-XM_029183919.1
14;rna-XM_029183924.2
14;rna-XM_029183967.2
14;rna-XM_029183990.2
14;rna-XM_029184006.2
14;rna-XM_029184034.2
14;rna-XM_029184159.2
14;rna-XM_029184326.2
14;rna-XM_029184331.2
14;rna-XM_029184333.1
14;rna-XM_029184338.2
14;rna-XM_029184340.2
14;rna-XM_029184341.2
14;rna-XM_029184342.2
14;rna-XM_029184343.2
14;rna-XM_029184381.2
14;rna-XM_029184389.2
14;rna-XM_029184407.2
14;rna-XM_029184513.2
14;rna-XM_029184539.2
14;rna-XM_029184551.2
14;rna-XM_029184553.2
14;rna-XM_029184597.2
14;rna-XM_029184643.2
14;rna-XM_029184667.2
14;rna-XM_029184677.2
14;rna-XM_029184733.2
14;rna-XM_029184795.2
14;rna-XM_029184796.2
14;rna-XM_029184812.2
14;rna-XM_029184821.2
14;rna-XM_029184835.2
14;rna-XM_029184909.2
14;rna-XM_029184998.2
14;rna-XM_029185057.2
14;rna-XM_029185085.2
14;rna-XM_029185087.2
14;rna-XM_029185092.2
14;rna-XM_029185152.2
14;rna-XM_029185163.1
14;rna-XM_029185316.2
14;rna-XM_029185321.2
14;rna-XM_029185325.2
14;rna-XM_029185338.2
14;rna-XM_029185341.2
14;rna-XM_029185429.2
14;rna-XM_029185500.2
14;rna-XM_029185560.2
14;rna-XM_029185573.2
14;rna-XM_029185674.2
14;rna-XM_029185707.2
14;rna-XM_029185712.2
14;rna-XM_029185812.2
14;rna-XM_029185814.2
14;rna-XM_029185850.2
14;rna-XM_029185911.2
14;rna-XM_029185919.2
14;rna-XM_029185962.2
14;rna-XM_029186105.2
14;rna-XM_029186106.2
14;rna-XM_029186177.2
14;rna-XM_029186230.2
14;rna-XM_029186281.2
14;rna-XM_029186302.2
14;rna-XM_029186310.2
14;rna-XM_029186311.2
14;rna-XM_029186354.2
14;rna-XM_029186359.2
14;rna-XM_029186505.2
14;rna-XM_029186506.2
14;rna-XM_029186598.2
14;rna-XM_029186738.2
14;rna-XM_029186809.2
14;rna-XM_029186926.2
14;rna-XM_029186940.2
14;rna-XM_029186973.2
14;rna-XM_029187026.2
14;rna-XM_029187027.2
14;rna-XM_029187048.2
14;rna-XM_029187136.2
14;rna-XM_029187156.2
14;rna-XM_029187168.2
14;rna-XM_029187185.2
14;rna-XM_029187198.2
14;rna-XM_029187207.1
14;rna-XM_029187516.2
14;rna-XM_029187561.2
14;rna-XM_029187567.2
14;rna-XM_029187611.2
14;rna-XM_029187635.2
14;rna-XM_029187667.2
14;rna-XM_029187766.2
14;rna-XM_029187775.2
14;rna-XM_029188143.2
14;rna-XM_029188259.2
14;rna-XM_029188317.2
14;rna-XM_029188319.2
14;rna-XM_029188348.2
14;rna-XM_029188350.2
14;rna-XM_029188356.2
14;rna-XM_029188397.2
14;rna-XM_029188448.2
14;rna-XM_029188501.2
14;rna-XM_029188518.2
14;rna-XM_029188531.2
14;rna-XM_029188589.2
14;rna-XM_029188625.2
14;rna-XM_029188633.2
14;rna-XM_029188656.2
14;rna-XM_029188711.2
14;rna-XM_029188742.2
14;rna-XM_029188762.2
14;rna-XM_029188804.2
14;rna-XM_029188811.2
14;rna-XM_029188860.2
14;rna-XM_029188914.2
14;rna-XM_029188947.2
14;rna-XM_029188979.2
14;rna-XM_029188981.2
14;rna-XM_029188982.2
14;rna-XM_029188986.2
14;rna-XM_029188987.2
14;rna-XM_029188988.2
14;rna-XM_029189031.2
14;rna-XM_029189036.2
14;rna-XM_029189038.2
14;rna-XM_029189110.2
14;rna-XM_029189177.2
14;rna-XM_029189236.2
14;rna-XM_029189238.2
14;rna-XM_029189271.2
14;rna-XM_029189291.2
14;rna-XM_029189367.2
14;rna-XM_029189501.2
14;rna-XM_029189566.2
14;rna-XM_029189628.2
14;rna-XM_029189722.2
14;rna-XM_029189776.2
14;rna-XM_029189875.2
14;rna-XM_029189950.2
14;rna-XM_029190162.2
14;rna-XM_029190163.2
14;rna-XM_029190169.2
14;rna-XM_029190243.2
14;rna-XM_029190291.2
14;rna-XM_029190396.2
14;rna-XM_029190506.2
14;rna-XM_029190576.2
14;rna-XM_029190613.2
14;rna-XM_029190708.2
14;rna-XM_029190709.2
14;rna-XM_029190716.2
14;rna-XM_029190728.2
14;rna-XM_029190743.2
14;rna-XM_029190862.2
14;rna-XM_029190883.2
14;rna-XM_029190898.2
14;rna-XM_029191000.2
14;rna-XM_029191008.2
14;rna-XM_029191021.2
14;rna-XM_029191022.2
14;rna-XM_029191029.2
14;rna-XM_029191032.2
14;rna-XM_029191035.2
14;rna-XM_029191040.2
14;rna-XM_029191152.2
14;rna-XM_029191162.2
14;rna-XM_029191164.2
14;rna-XM_029191193.2
14;rna-XM_029191209.2
14;rna-XM_029191213.2
14;rna-XM_029191224.2
14;rna-XM_029191235.2
14;rna-XM_029191432.2
14;rna-XM_029191556.2
14;rna-XM_029191576.2
14;rna-XM_029191592.2
14;rna-XM_029191610.2
14;rna-XM_029191703.2
14;rna-XM_029191802.2
14;rna-XM_029191810.2
14;rna-XM_029191811.2
14;rna-XM_029191842.2
14;rna-XM_029191890.2
14;rna-XM_029191900.2
14;rna-XM_029191952.2
14;rna-XM_029191981.1
14;rna-XM_029192061.2
14;rna-XM_029192116.2
14;rna-XM_029192304.2
14;rna-XM_029192317.2
14;rna-XM_029192324.2
14;rna-XM_029192326.2
14;rna-XM_029192352.2
14;rna-XM_029192380.2
14;rna-XM_029192381.2
14;rna-XM_029192441.1
14;rna-XM_029192473.2
14;rna-XM_029192475.2
14;rna-XM_029192476.2
14;rna-XM_029192523.2
14;rna-XM_029192558.2
14;rna-XM_029192599.2
14;rna-XM_029192615.2
14;rna-XM_029192633.2
14;rna-XM_029192641.2
14;rna-XM_029192642.2
14;rna-XM_029192643.2
14;rna-XM_029192649.2
14;rna-XM_029192687.2
14;rna-XM_029192690.2
14;rna-XM_029192733.2
14;rna-XM_029192758.2
14;rna-XM_029192828.1
14;rna-XM_029192871.2
14;rna-XM_029193025.2
14;rna-XM_029193033.2
14;rna-XM_029193051.2
14;rna-XM_029193056.2
14;rna-XM_029193119.2
14;rna-XM_029193122.2
14;rna-XM_029193154.2
14;rna-XM_029193295.2
14;rna-XM_029193344.2
14;rna-XM_029193379.2
14;rna-XM_029193398.2
14;rna-XM_029193451.2
14;rna-XM_029193455.2
14;rna-XM_029193456.2
14;rna-XM_029193457.2
14;rna-XM_029193458.2
14;rna-XM_029193476.2
14;rna-XM_029193504.2
14;rna-XM_029193515.2
14;rna-XM_029193581.2
