PS;GeneID
14;rna-XM_054114274.1
14;rna-XM_054114312.1
14;rna-XM_054114313.1
14;rna-XM_054114363.1
14;rna-XM_054114400.1
14;rna-XM_054114418.1
14;rna-XM_054114430.1
14;rna-XM_054114550.1
14;rna-XM_054114572.1
14;rna-XM_054114661.1
14;rna-XM_054114662.1
14;rna-XM_054114663.1
14;rna-XM_054114664.1
14;rna-XM_054114788.1
14;rna-XM_054114846.1
14;rna-XM_054114855.1
14;rna-XM_054114881.1
14;rna-XM_054114891.1
14;rna-XM_054114900.1
14;rna-XM_054114964.1
14;rna-XM_054115028.1
14;rna-XM_054115109.1
14;rna-XM_054115138.1
14;rna-XM_054115148.1
14;rna-XM_054115176.1
14;rna-XM_054115203.1
14;rna-XM_054115240.1
14;rna-XM_054115375.1
14;rna-XM_054115395.1
14;rna-XM_054115396.1
14;rna-XM_054115398.1
14;rna-XM_054115403.1
14;rna-XM_054115431.1
14;rna-XM_054115432.1
14;rna-XM_054115433.1
14;rna-XM_054115475.1
14;rna-XM_054115514.1
14;rna-XM_054115515.1
14;rna-XM_054115517.1
14;rna-XM_054115579.1
14;rna-XM_054115589.1
14;rna-XM_054115593.1
14;rna-XM_054115609.1
14;rna-XM_054115658.1
14;rna-XM_054115669.1
14;rna-XM_054115700.1
14;rna-XM_054115726.1
14;rna-XM_054115828.1
14;rna-XM_054115831.1
14;rna-XM_054115887.1
14;rna-XM_054115893.1
14;rna-XM_054115908.1
14;rna-XM_054115926.1
14;rna-XM_054115934.1
14;rna-XM_054115970.1
14;rna-XM_054115975.1
14;rna-XM_054115992.1
14;rna-XM_054116007.1
14;rna-XM_054116015.1
14;rna-XM_054116109.1
14;rna-XM_054116205.1
14;rna-XM_054116209.1
14;rna-XM_054116226.1
14;rna-XM_054116373.1
14;rna-XM_054116393.1
14;rna-XM_054116438.1
14;rna-XM_054116448.1
14;rna-XM_054116457.1
14;rna-XM_054116480.1
14;rna-XM_054116495.1
14;rna-XM_054116550.1
14;rna-XM_054116551.1
14;rna-XM_054116552.1
14;rna-XM_054116553.1
14;rna-XM_054116556.1
14;rna-XM_054116558.1
14;rna-XM_054116559.1
14;rna-XM_054116562.1
14;rna-XM_054116606.1
14;rna-XM_054116643.1
14;rna-XM_054116651.1
14;rna-XM_054116659.1
