PS;GeneID
14;LLEU_00014-RA
14;LLEU_00018-RA
14;LLEU_00019-RA
14;LLEU_00030-RB
14;LLEU_00034-RA
14;LLEU_00036-RA
14;LLEU_00038-RA
14;LLEU_00040-RA
14;LLEU_00041-RA
14;LLEU_00051-RA
14;LLEU_00052-RA
14;LLEU_00053-RA
14;LLEU_00054-RA
14;LLEU_00059-RA
14;LLEU_00063-RA
14;LLEU_00089-RA
14;LLEU_00119-RA
14;LLEU_00132-RA
14;LLEU_00135-RA
14;LLEU_00136-RA
14;LLEU_00155-RA
14;LLEU_00186-RA
14;LLEU_00209-RA
14;LLEU_00217-RA
14;LLEU_00238-RA
14;LLEU_00239-RA
14;LLEU_00240-RA
14;LLEU_00264-RA
14;LLEU_00266-RA
14;LLEU_00272-RA
14;LLEU_00273-RA
14;LLEU_00274-RA
14;LLEU_00275-RA
14;LLEU_00276-RA
14;LLEU_00277-RA
14;LLEU_00282-RA
14;LLEU_00297-RA
14;LLEU_00314-RA
14;LLEU_00334-RA
14;LLEU_00345-RA
14;LLEU_00346-RA
14;LLEU_00368-RA
14;LLEU_00405-RA
14;LLEU_00423-RA
14;LLEU_00460-RA
14;LLEU_00475-RA
14;LLEU_00476-RA
14;LLEU_00485-RA
14;LLEU_00489-RA
14;LLEU_00501-RA
14;LLEU_00502-RA
14;LLEU_00548-RA
14;LLEU_00562-RA
14;LLEU_00564-RA
14;LLEU_00568-RA
14;LLEU_00572-RA
14;LLEU_00586-RA
14;LLEU_00590-RA
14;LLEU_00591-RA
14;LLEU_00592-RA
14;LLEU_00603-RA
14;LLEU_00651-RA
14;LLEU_00665-RA
14;LLEU_00668-RA
14;LLEU_00674-RA
14;LLEU_00683-RA
14;LLEU_00684-RA
14;LLEU_00688-RA
14;LLEU_00698-RA
14;LLEU_00721-RA
14;LLEU_00761-RA
14;LLEU_00767-RA
14;LLEU_00773-RA
14;LLEU_00774-RA
14;LLEU_00791-RA
14;LLEU_00801-RA
14;LLEU_00810-RA
14;LLEU_00811-RA
14;LLEU_00812-RA
14;LLEU_00813-RA
14;LLEU_00814-RA
14;LLEU_00817-RA
14;LLEU_00872-RA
14;LLEU_00879-RA
14;LLEU_00901-RA
14;LLEU_00904-RA
14;LLEU_00906-RA
14;LLEU_00911-RA
14;LLEU_00925-RA
14;LLEU_00929-RA
14;LLEU_00930-RA
14;LLEU_00939-RA
14;LLEU_00944-RA
14;LLEU_00947-RA
14;LLEU_00981-RA
14;LLEU_00986-RC
14;LLEU_00989-RA
14;LLEU_00993-RA
14;LLEU_01037-RA
14;LLEU_01038-RA
14;LLEU_01039-RA
14;LLEU_01042-RB
14;LLEU_01043-RA
14;LLEU_01059-RA
14;LLEU_01063-RA
14;LLEU_01078-RA
14;LLEU_01106-RA
14;LLEU_01111-RA
14;LLEU_01112-RA
14;LLEU_01121-RA
14;LLEU_01145-RA
14;LLEU_01149-RA
14;LLEU_01154-RA
14;LLEU_01158-RA
14;LLEU_01161-RA
14;LLEU_01166-RA
14;LLEU_01177-RA
14;LLEU_01197-RA
14;LLEU_01218-RA
14;LLEU_01222-RA
14;LLEU_01223-RA
14;LLEU_01245-RA
14;LLEU_01258-RA
14;LLEU_01266-RA
14;LLEU_01268-RA
14;LLEU_01333-RA
14;LLEU_01341-RA
14;LLEU_01375-RB
14;LLEU_01401-RA
14;LLEU_01409-RA
14;LLEU_01416-RA
14;LLEU_01420-RA
14;LLEU_01438-RA
14;LLEU_01454-RA
14;LLEU_01465-RA
14;LLEU_01466-RA
14;LLEU_01475-RA
14;LLEU_01492-RA
14;LLEU_01494-RA
14;LLEU_01498-RA
14;LLEU_01525-RA
14;LLEU_01528-RB
14;LLEU_01537-RA
14;LLEU_01578-RA
14;LLEU_01587-RA
14;LLEU_01598-RA
14;LLEU_01610-RA
14;LLEU_01641-RA
14;LLEU_01671-RA
14;LLEU_01673-RA
14;LLEU_01688-RA
14;LLEU_01691-RA
14;LLEU_01692-RA
14;LLEU_01696-RA
14;LLEU_01767-RA
14;LLEU_01797-RA
14;LLEU_01821-RA
14;LLEU_01861-RA
14;LLEU_01867-RA
14;LLEU_01869-RA
14;LLEU_01882-RB
14;LLEU_01883-RA
14;LLEU_01885-RA
14;LLEU_01889-RA
14;LLEU_01902-RA
14;LLEU_01908-RA
14;LLEU_01912-RA
14;LLEU_01914-RA
14;LLEU_01916-RA
14;LLEU_01919-RA
14;LLEU_01920-RA
14;LLEU_01923-RA
14;LLEU_01925-RA
14;LLEU_01928-RA
14;LLEU_01929-RA
14;LLEU_01934-RA
14;LLEU_01935-RA
14;LLEU_01936-RA
14;LLEU_01939-RA
14;LLEU_01943-RA
14;LLEU_01945-RA
14;LLEU_01946-RA
14;LLEU_01950-RA
14;LLEU_01956-RA
14;LLEU_01959-RA
14;LLEU_01960-RA
14;LLEU_01962-RA
14;LLEU_01968-RA
14;LLEU_01978-RA
14;LLEU_02010-RB
14;LLEU_02011-RA
14;LLEU_02020-RA
14;LLEU_02024-RA
14;LLEU_02032-RA
14;LLEU_02057-RA
14;LLEU_02065-RA
14;LLEU_02073-RA
14;LLEU_02079-RA
14;LLEU_02094-RA
14;LLEU_02095-RA
14;LLEU_02116-RA
14;LLEU_02117-RA
14;LLEU_02118-RA
14;LLEU_02122-RA
14;LLEU_02129-RA
14;LLEU_02144-RA
14;LLEU_02145-RA
14;LLEU_02164-RA
14;LLEU_02191-RA
14;LLEU_02195-RA
14;LLEU_02201-RA
14;LLEU_02221-RA
14;LLEU_02222-RA
14;LLEU_02223-RA
14;LLEU_02234-RA
14;LLEU_02261-RA
14;LLEU_02263-RA
14;LLEU_02275-RA
14;LLEU_02283-RA
14;LLEU_02284-RA
14;LLEU_02285-RA
14;LLEU_02292-RA
14;LLEU_02301-RA
14;LLEU_02340-RA
14;LLEU_02341-RA
14;LLEU_02357-RA
14;LLEU_02393-RA
14;LLEU_02419-RA
14;LLEU_02439-RA
14;LLEU_02465-RB
14;LLEU_02466-RA
14;LLEU_02477-RA
14;LLEU_02506-RA
14;LLEU_02509-RA
14;LLEU_02510-RA
14;LLEU_02511-RA
14;LLEU_02512-RA
14;LLEU_02516-RA
14;LLEU_02517-RA
14;LLEU_02519-RA
14;LLEU_02533-RA
14;LLEU_02540-RA
14;LLEU_02548-RA
14;LLEU_02550-RA
14;LLEU_02553-RA
14;LLEU_02554-RA
14;LLEU_02556-RA
14;LLEU_02557-RA
14;LLEU_02585-RA
14;LLEU_02588-RA
14;LLEU_02612-RA
14;LLEU_02621-RA
14;LLEU_02626-RA
14;LLEU_02631-RA
14;LLEU_02650-RA
14;LLEU_02703-RA
14;LLEU_02718-RA
14;LLEU_02722-RB
14;LLEU_02760-RA
14;LLEU_02782-RA
14;LLEU_02783-RA
14;LLEU_02788-RA
14;LLEU_02790-RA
14;LLEU_02791-RA
14;LLEU_02797-RA
