PS;GeneID
14;LVIE_00015-RA
14;LVIE_00027-RA
14;LVIE_00050-RA
14;LVIE_00052-RA
14;LVIE_00056-RA
14;LVIE_00059-RA
14;LVIE_00065-RA
14;LVIE_00073-RA
14;LVIE_00087-RA
14;LVIE_00088-RA
14;LVIE_00091-RA
14;LVIE_00092-RA
14;LVIE_00094-RA
14;LVIE_00095-RA
14;LVIE_00108-RA
14;LVIE_00112-RA
14;LVIE_00131-RA
14;LVIE_00133-RA
14;LVIE_00139-RA
14;LVIE_00143-RA
14;LVIE_00160-RA
14;LVIE_00192-RA
14;LVIE_00193-RA
14;LVIE_00194-RA
14;LVIE_00195-RA
14;LVIE_00197-RA
14;LVIE_00219-RA
14;LVIE_00221-RA
14;LVIE_00223-RA
14;LVIE_00244-RA
14;LVIE_00275-RA
14;LVIE_00284-RA
14;LVIE_00288-RA
14;LVIE_00307-RA
14;LVIE_00308-RA
14;LVIE_00339-RA
14;LVIE_00363-RA
14;LVIE_00388-RA
14;LVIE_00389-RA
14;LVIE_00390-RA
14;LVIE_00407-RA
14;LVIE_00415-RA
14;LVIE_00423-RA
14;LVIE_00445-RA
14;LVIE_00463-RA
14;LVIE_00471-RA
14;LVIE_00507-RA
14;LVIE_00520-RA
14;LVIE_00521-RA
14;LVIE_00531-RA
14;LVIE_00561-RA
14;LVIE_00589-RA
14;LVIE_00628-RA
14;LVIE_00631-RA
14;LVIE_00637-RA
14;LVIE_00656-RA
14;LVIE_00696-RA
14;LVIE_00697-RA
14;LVIE_00698-RA
14;LVIE_00700-RA
14;LVIE_00701-RA
14;LVIE_00702-RA
14;LVIE_00725-RA
14;LVIE_00748-RA
14;LVIE_00751-RA
14;LVIE_00755-RA
14;LVIE_00756-RA
14;LVIE_00757-RA
14;LVIE_00758-RA
14;LVIE_00761-RA
14;LVIE_00794-RA
14;LVIE_00797-RA
14;LVIE_00831-RA
14;LVIE_00835-RA
14;LVIE_00871-RA
14;LVIE_00872-RB
14;LVIE_00873-RA
14;LVIE_00884-RA
14;LVIE_00885-RB
14;LVIE_00888-RA
14;LVIE_00896-RA
14;LVIE_00907-RA
14;LVIE_00908-RA
14;LVIE_00909-RA
14;LVIE_00910-RA
14;LVIE_00911-RA
14;LVIE_00912-RA
14;LVIE_00913-RA
14;LVIE_00914-RA
14;LVIE_00915-RA
14;LVIE_00916-RA
14;LVIE_00917-RA
14;LVIE_00918-RA
14;LVIE_00920-RA
14;LVIE_00921-RA
14;LVIE_00922-RA
14;LVIE_00923-RA
14;LVIE_00925-RA
14;LVIE_00926-RA
14;LVIE_00927-RA
14;LVIE_00928-RA
14;LVIE_00933-RA
14;LVIE_00968-RA
14;LVIE_00975-RA
14;LVIE_00993-RA
14;LVIE_01038-RA
14;LVIE_01047-RA
14;LVIE_01051-RA
14;LVIE_01070-RA
14;LVIE_01106-RA
14;LVIE_01154-RA
14;LVIE_01176-RA
14;LVIE_01179-RA
14;LVIE_01180-RA
14;LVIE_01182-RA
14;LVIE_01196-RA
14;LVIE_01208-RA
14;LVIE_01210-RA
14;LVIE_01220-RA
14;LVIE_01221-RA
14;LVIE_01225-RA
14;LVIE_01226-RA
14;LVIE_01227-RA
14;LVIE_01228-RA
14;LVIE_01229-RA
14;LVIE_01231-RA
14;LVIE_01259-RA
14;LVIE_01260-RA
14;LVIE_01270-RA
14;LVIE_01280-RA
14;LVIE_01282-RA
14;LVIE_01284-RA
14;LVIE_01286-RA
14;LVIE_01287-RB
14;LVIE_01299-RA
14;LVIE_01304-RA
14;LVIE_01312-RA
14;LVIE_01313-RA
14;LVIE_01320-RA
14;LVIE_01339-RA
14;LVIE_01350-RA
14;LVIE_01393-RA
14;LVIE_01394-RA
14;LVIE_01396-RA
14;LVIE_01402-RA
14;LVIE_01405-RA
14;LVIE_01406-RA
14;LVIE_01408-RA
14;LVIE_01417-RA
14;LVIE_01426-RA
14;LVIE_01440-RA
14;LVIE_01443-RA
14;LVIE_01451-RA
14;LVIE_01457-RA
14;LVIE_01461-RA
14;LVIE_01466-RA
14;LVIE_01476-RA
