PS;GeneID
14;rna-XM_003392820.4
14;rna-XM_003392950.4
14;rna-XM_003392967.4
14;rna-XM_003392994.4
14;rna-XM_003393117.4
14;rna-XM_003393138.4
14;rna-XM_003393159.4
14;rna-XM_003393208.4
14;rna-XM_003393230.4
14;rna-XM_003393285.4
14;rna-XM_003393293.4
14;rna-XM_003393295.4
14;rna-XM_003393305.4
14;rna-XM_003393307.4
14;rna-XM_003393366.4
14;rna-XM_003393369.3
14;rna-XM_003393371.3
14;rna-XM_003393372.3
14;rna-XM_003393385.4
14;rna-XM_003393407.4
14;rna-XM_003393451.4
14;rna-XM_003393607.4
14;rna-XM_003393608.4
14;rna-XM_003393609.3
14;rna-XM_003393610.4
14;rna-XM_003393614.3
14;rna-XM_003393620.4
14;rna-XM_003393670.4
14;rna-XM_003393680.4
14;rna-XM_003393781.4
14;rna-XM_003393794.4
14;rna-XM_003393825.4
14;rna-XM_003393853.2
14;rna-XM_003393869.2
14;rna-XM_003393872.3
14;rna-XM_003393873.2
14;rna-XM_003393909.4
14;rna-XM_003393911.4
14;rna-XM_003393940.3
14;rna-XM_003393946.2
14;rna-XM_003393950.3
14;rna-XM_003393963.4
14;rna-XM_003393997.4
14;rna-XM_003394007.3
14;rna-XM_003394010.4
14;rna-XM_003394030.4
14;rna-XM_003394047.3
14;rna-XM_003394066.4
14;rna-XM_003394075.4
14;rna-XM_003394082.4
14;rna-XM_003394083.4
14;rna-XM_003394110.4
14;rna-XM_003394276.4
14;rna-XM_003394277.4
14;rna-XM_003394285.4
14;rna-XM_003394359.4
14;rna-XM_003394403.4
14;rna-XM_003394452.4
14;rna-XM_003394462.4
14;rna-XM_003394483.4
14;rna-XM_003394543.4
14;rna-XM_003394556.4
14;rna-XM_003394577.3
14;rna-XM_003394650.4
14;rna-XM_003394672.4
14;rna-XM_003394681.3
14;rna-XM_003394686.4
14;rna-XM_003394687.4
14;rna-XM_003394713.4
14;rna-XM_003394813.4
14;rna-XM_003394968.4
14;rna-XM_003394970.4
14;rna-XM_003394973.4
14;rna-XM_003394986.4
14;rna-XM_003395011.4
14;rna-XM_003395046.4
14;rna-XM_003395082.3
14;rna-XM_003395206.4
14;rna-XM_003395214.4
14;rna-XM_003395338.4
14;rna-XM_003395478.4
14;rna-XM_003395521.4
14;rna-XM_003395571.4
14;rna-XM_003395934.4
14;rna-XM_003395951.4
14;rna-XM_003395977.4
14;rna-XM_003395992.4
14;rna-XM_003396161.4
14;rna-XM_003396162.4
14;rna-XM_003396180.4
14;rna-XM_003396303.4
14;rna-XM_003396337.4
14;rna-XM_003396338.4
14;rna-XM_003396351.4
14;rna-XM_003396367.4
14;rna-XM_003396397.4
14;rna-XM_003396409.4
14;rna-XM_003396455.4
14;rna-XM_003396469.3
14;rna-XM_003396523.4
14;rna-XM_003396567.4
14;rna-XM_003396568.4
14;rna-XM_003396617.4
14;rna-XM_003396658.4
14;rna-XM_003396675.4
14;rna-XM_003396737.3
14;rna-XM_003396745.4
14;rna-XM_003396770.4
14;rna-XM_003396773.4
14;rna-XM_003396776.4
14;rna-XM_003396792.4
14;rna-XM_003396801.4
14;rna-XM_003396847.4
14;rna-XM_003396886.4
14;rna-XM_003396946.3
14;rna-XM_003396956.4
14;rna-XM_003397243.3
14;rna-XM_003397266.4
14;rna-XM_003397269.4
14;rna-XM_003397287.4
14;rna-XM_003397298.4
14;rna-XM_003397378.4
14;rna-XM_003397427.4
14;rna-XM_003397467.3
14;rna-XM_003397519.4
14;rna-XM_003397525.4
14;rna-XM_003397552.4
14;rna-XM_003397553.4
14;rna-XM_003397572.4
14;rna-XM_003397579.4
14;rna-XM_003397613.4
14;rna-XM_003397657.4
14;rna-XM_003397743.4
14;rna-XM_003397744.4
14;rna-XM_003397748.4
14;rna-XM_003397753.3
14;rna-XM_003397775.3
14;rna-XM_003397779.4
14;rna-XM_003397873.3
14;rna-XM_003397894.4
14;rna-XM_003397903.4
14;rna-XM_003397910.4
14;rna-XM_003397960.4
14;rna-XM_003397981.4
14;rna-XM_003397982.4
14;rna-XM_003397984.4
14;rna-XM_003397986.4
14;rna-XM_003397987.4
14;rna-XM_003397988.4
14;rna-XM_003397998.4
14;rna-XM_003398195.4
14;rna-XM_003398227.4
14;rna-XM_003398240.4
14;rna-XM_003398255.4
14;rna-XM_003398299.4
14;rna-XM_003398304.4
14;rna-XM_003398327.4
14;rna-XM_003398361.4
14;rna-XM_003398431.4
14;rna-XM_003398469.4
14;rna-XM_003398500.4
14;rna-XM_003398501.4
14;rna-XM_003398544.4
14;rna-XM_003398551.4
14;rna-XM_003398578.4
14;rna-XM_003398589.4
14;rna-XM_003398599.4
14;rna-XM_003398608.4
14;rna-XM_003398611.4
14;rna-XM_003398669.4
14;rna-XM_003398680.4
14;rna-XM_003398708.4
14;rna-XM_003398735.4
14;rna-XM_003398784.4
14;rna-XM_003398819.4
14;rna-XM_003398837.4
14;rna-XM_003398853.4
14;rna-XM_003398984.4
14;rna-XM_003399090.4
14;rna-XM_003399104.4
14;rna-XM_003399109.4
14;rna-XM_003399137.4
14;rna-XM_003399151.4
14;rna-XM_003399316.4
14;rna-XM_003399318.4
14;rna-XM_003399428.4
14;rna-XM_003399482.4
14;rna-XM_003399569.4
14;rna-XM_003399580.4
14;rna-XM_003399626.4
14;rna-XM_003399634.4
14;rna-XM_003399635.4
14;rna-XM_003399637.4
14;rna-XM_003399683.4
14;rna-XM_003399764.4
14;rna-XM_003399822.4
14;rna-XM_003399900.4
14;rna-XM_003399975.4
14;rna-XM_003399996.4
14;rna-XM_003400005.4
14;rna-XM_003400045.4
14;rna-XM_003400136.4
14;rna-XM_003400165.4
14;rna-XM_003400247.4
14;rna-XM_003400262.3
14;rna-XM_003400314.4
14;rna-XM_003400379.4
14;rna-XM_003400387.4
14;rna-XM_003400390.3
14;rna-XM_003400400.4
14;rna-XM_003400411.3
14;rna-XM_003400416.4
14;rna-XM_003400534.4
14;rna-XM_003400539.4
14;rna-XM_003400552.4
