PS;GeneID
14;transcript:ENSLMRT00010000006
14;transcript:ENSLMRT00010000026
14;transcript:ENSLMRT00010000044
14;transcript:ENSLMRT00010000066
14;transcript:ENSLMRT00010000076
14;transcript:ENSLMRT00010000118
14;transcript:ENSLMRT00010000125
14;transcript:ENSLMRT00010000139
14;transcript:ENSLMRT00010000167
14;transcript:ENSLMRT00010000267
14;transcript:ENSLMRT00010000288
14;transcript:ENSLMRT00010000291
14;transcript:ENSLMRT00010000350
14;transcript:ENSLMRT00010000363
14;transcript:ENSLMRT00010000364
14;transcript:ENSLMRT00010000368
14;transcript:ENSLMRT00010000414
14;transcript:ENSLMRT00010000467
14;transcript:ENSLMRT00010000475
14;transcript:ENSLMRT00010000530
14;transcript:ENSLMRT00010000564
14;transcript:ENSLMRT00010000607
14;transcript:ENSLMRT00010000616
14;transcript:ENSLMRT00010000765
14;transcript:ENSLMRT00010000978
14;transcript:ENSLMRT00010000999
14;transcript:ENSLMRT00010001109
14;transcript:ENSLMRT00010001138
14;transcript:ENSLMRT00010001192
14;transcript:ENSLMRT00010001202
14;transcript:ENSLMRT00010001359
14;transcript:ENSLMRT00010001360
14;transcript:ENSLMRT00010001422
14;transcript:ENSLMRT00010001455
14;transcript:ENSLMRT00010001465
14;transcript:ENSLMRT00010001483
14;transcript:ENSLMRT00010001499
14;transcript:ENSLMRT00010001519
14;transcript:ENSLMRT00010001530
14;transcript:ENSLMRT00010001549
14;transcript:ENSLMRT00010001579
14;transcript:ENSLMRT00010001584
14;transcript:ENSLMRT00010001608
14;transcript:ENSLMRT00010001632
14;transcript:ENSLMRT00010001692
14;transcript:ENSLMRT00010001741
14;transcript:ENSLMRT00010001825
14;transcript:ENSLMRT00010001868
14;transcript:ENSLMRT00010001891
14;transcript:ENSLMRT00010001940
14;transcript:ENSLMRT00010001987
14;transcript:ENSLMRT00010002027
14;transcript:ENSLMRT00010002031
14;transcript:ENSLMRT00010002039
14;transcript:ENSLMRT00010002079
14;transcript:ENSLMRT00010002170
14;transcript:ENSLMRT00010002200
14;transcript:ENSLMRT00010002243
14;transcript:ENSLMRT00010002412
14;transcript:ENSLMRT00010002476
14;transcript:ENSLMRT00010002503
14;transcript:ENSLMRT00010002526
14;transcript:ENSLMRT00010002529
14;transcript:ENSLMRT00010002541
14;transcript:ENSLMRT00010002546
14;transcript:ENSLMRT00010002549
14;transcript:ENSLMRT00010002580
14;transcript:ENSLMRT00010002641
14;transcript:ENSLMRT00010002672
14;transcript:ENSLMRT00010002676
14;transcript:ENSLMRT00010002689
14;transcript:ENSLMRT00010002714
14;transcript:ENSLMRT00010002787
14;transcript:ENSLMRT00010002807
14;transcript:ENSLMRT00010002811
14;transcript:ENSLMRT00010002820
14;transcript:ENSLMRT00010002850
14;transcript:ENSLMRT00010002859
14;transcript:ENSLMRT00010002895
14;transcript:ENSLMRT00010002896
14;transcript:ENSLMRT00010002915
14;transcript:ENSLMRT00010002928
14;transcript:ENSLMRT00010002940
14;transcript:ENSLMRT00010002960
14;transcript:ENSLMRT00010002988
14;transcript:ENSLMRT00010003035
14;transcript:ENSLMRT00010003046
14;transcript:ENSLMRT00010003132
14;transcript:ENSLMRT00010003149
14;transcript:ENSLMRT00010003153
14;transcript:ENSLMRT00010003165
14;transcript:ENSLMRT00010003179
14;transcript:ENSLMRT00010003267
14;transcript:ENSLMRT00010003271
14;transcript:ENSLMRT00010003314
14;transcript:ENSLMRT00010003320
14;transcript:ENSLMRT00010003462
14;transcript:ENSLMRT00010003481
14;transcript:ENSLMRT00010003506
14;transcript:ENSLMRT00010003544
14;transcript:ENSLMRT00010003547
14;transcript:ENSLMRT00010003554
14;transcript:ENSLMRT00010003569
14;transcript:ENSLMRT00010003587
14;transcript:ENSLMRT00010003591
14;transcript:ENSLMRT00010003602
14;transcript:ENSLMRT00010003645
14;transcript:ENSLMRT00010003656
14;transcript:ENSLMRT00010003660
14;transcript:ENSLMRT00010003750
14;transcript:ENSLMRT00010003843
14;transcript:ENSLMRT00010003877
14;transcript:ENSLMRT00010003878
14;transcript:ENSLMRT00010003882
14;transcript:ENSLMRT00010003941
14;transcript:ENSLMRT00010003988
14;transcript:ENSLMRT00010003991
14;transcript:ENSLMRT00010003996
14;transcript:ENSLMRT00010004027
14;transcript:ENSLMRT00010004033
14;transcript:ENSLMRT00010004034
14;transcript:ENSLMRT00010004070
14;transcript:ENSLMRT00010004103
14;transcript:ENSLMRT00010004137
14;transcript:ENSLMRT00010004196
14;transcript:ENSLMRT00010004233
14;transcript:ENSLMRT00010004235
14;transcript:ENSLMRT00010004247
14;transcript:ENSLMRT00010004275
14;transcript:ENSLMRT00010004306
14;transcript:ENSLMRT00010004313
14;transcript:ENSLMRT00010004352
14;transcript:ENSLMRT00010004415
14;transcript:ENSLMRT00010004425
14;transcript:ENSLMRT00010004464
14;transcript:ENSLMRT00010004474
14;transcript:ENSLMRT00010004492
14;transcript:ENSLMRT00010004494
14;transcript:ENSLMRT00010004516
14;transcript:ENSLMRT00010004530
14;transcript:ENSLMRT00010004558
14;transcript:ENSLMRT00010004582
14;transcript:ENSLMRT00010004588
14;transcript:ENSLMRT00010004603
14;transcript:ENSLMRT00010004674
14;transcript:ENSLMRT00010004687
14;transcript:ENSLMRT00010004696
14;transcript:ENSLMRT00010004726
14;transcript:ENSLMRT00010004736
14;transcript:ENSLMRT00010004777
14;transcript:ENSLMRT00010004788
14;transcript:ENSLMRT00010004810
14;transcript:ENSLMRT00010004852
14;transcript:ENSLMRT00010004858
14;transcript:ENSLMRT00010004876
14;transcript:ENSLMRT00010004896
14;transcript:ENSLMRT00010004931
14;transcript:ENSLMRT00010004966
14;transcript:ENSLMRT00010005046
14;transcript:ENSLMRT00010005062
14;transcript:ENSLMRT00010005089
14;transcript:ENSLMRT00010005099
14;transcript:ENSLMRT00010005142
14;transcript:ENSLMRT00010005236
14;transcript:ENSLMRT00010005283
14;transcript:ENSLMRT00010005316
14;transcript:ENSLMRT00010005402
14;transcript:ENSLMRT00010005405
14;transcript:ENSLMRT00010005414
14;transcript:ENSLMRT00010005432
14;transcript:ENSLMRT00010005443
14;transcript:ENSLMRT00010005448
14;transcript:ENSLMRT00010005456
14;transcript:ENSLMRT00010005463
14;transcript:ENSLMRT00010005469
14;transcript:ENSLMRT00010005503
14;transcript:ENSLMRT00010005504
14;transcript:ENSLMRT00010005507
14;transcript:ENSLMRT00010005532
14;transcript:ENSLMRT00010005656
14;transcript:ENSLMRT00010005660
14;transcript:ENSLMRT00010005665
14;transcript:ENSLMRT00010005688
14;transcript:ENSLMRT00010005701
14;transcript:ENSLMRT00010005759
14;transcript:ENSLMRT00010005775
14;transcript:ENSLMRT00010005786
14;transcript:ENSLMRT00010005794
14;transcript:ENSLMRT00010005799
14;transcript:ENSLMRT00010005810
14;transcript:ENSLMRT00010005879
14;transcript:ENSLMRT00010005925
14;transcript:ENSLMRT00010005941
14;transcript:ENSLMRT00010005942
14;transcript:ENSLMRT00010005966
14;transcript:ENSLMRT00010006007
14;transcript:ENSLMRT00010006031
14;transcript:ENSLMRT00010006049
14;transcript:ENSLMRT00010006060
14;transcript:ENSLMRT00010006149
14;transcript:ENSLMRT00010006170
14;transcript:ENSLMRT00010006192
14;transcript:ENSLMRT00010006205
14;transcript:ENSLMRT00010006228
14;transcript:ENSLMRT00010006267
14;transcript:ENSLMRT00010006318
14;transcript:ENSLMRT00010006330
14;transcript:ENSLMRT00010006350
14;transcript:ENSLMRT00010006419
14;transcript:ENSLMRT00010006453
14;transcript:ENSLMRT00010006461
14;transcript:ENSLMRT00010006479
14;transcript:ENSLMRT00010006480
14;transcript:ENSLMRT00010006482
14;transcript:ENSLMRT00010006528
14;transcript:ENSLMRT00010006576
14;transcript:ENSLMRT00010006653
14;transcript:ENSLMRT00010006666
14;transcript:ENSLMRT00010006686
14;transcript:ENSLMRT00010006699
14;transcript:ENSLMRT00010006705
14;transcript:ENSLMRT00010006718
14;transcript:ENSLMRT00010006720
14;transcript:ENSLMRT00010006745
14;transcript:ENSLMRT00010006765
14;transcript:ENSLMRT00010006769
14;transcript:ENSLMRT00010006779
14;transcript:ENSLMRT00010006783
14;transcript:ENSLMRT00010006793
14;transcript:ENSLMRT00010006813
14;transcript:ENSLMRT00010006820
14;transcript:ENSLMRT00010006824
14;transcript:ENSLMRT00010006873
14;transcript:ENSLMRT00010006888
14;transcript:ENSLMRT00010006930
14;transcript:ENSLMRT00010006955
14;transcript:ENSLMRT00010007006
14;transcript:ENSLMRT00010007107
14;transcript:ENSLMRT00010007121
14;transcript:ENSLMRT00010007176
14;transcript:ENSLMRT00010007184
14;transcript:ENSLMRT00010007203
14;transcript:ENSLMRT00010007217
14;transcript:ENSLMRT00010007251
14;transcript:ENSLMRT00010007265
14;transcript:ENSLMRT00010007266
14;transcript:ENSLMRT00010007272
14;transcript:ENSLMRT00010007279
14;transcript:ENSLMRT00010007322
14;transcript:ENSLMRT00010007365
14;transcript:ENSLMRT00010007378
14;transcript:ENSLMRT00010007382
14;transcript:ENSLMRT00010007402
14;transcript:ENSLMRT00010007436
14;transcript:ENSLMRT00010007450
14;transcript:ENSLMRT00010007475
14;transcript:ENSLMRT00010007501
14;transcript:ENSLMRT00010007503
14;transcript:ENSLMRT00010007514
14;transcript:ENSLMRT00010007516
14;transcript:ENSLMRT00010007533
14;transcript:ENSLMRT00010007548
14;transcript:ENSLMRT00010007550
14;transcript:ENSLMRT00010007559
14;transcript:ENSLMRT00010007563
14;transcript:ENSLMRT00010007564
14;transcript:ENSLMRT00010007581
14;transcript:ENSLMRT00010007604
14;transcript:ENSLMRT00010007618
14;transcript:ENSLMRT00010007629
14;transcript:ENSLMRT00010007644
14;transcript:ENSLMRT00010007738
14;transcript:ENSLMRT00010007743
14;transcript:ENSLMRT00010007757
14;transcript:ENSLMRT00010007766
14;transcript:ENSLMRT00010007768
14;transcript:ENSLMRT00010007769
14;transcript:ENSLMRT00010007773
14;transcript:ENSLMRT00010007801
14;transcript:ENSLMRT00010007812
14;transcript:ENSLMRT00010007814
14;transcript:ENSLMRT00010007817
14;transcript:ENSLMRT00010007826
14;transcript:ENSLMRT00010007827
14;transcript:ENSLMRT00010007848
14;transcript:ENSLMRT00010007893
14;transcript:ENSLMRT00010007942
14;transcript:ENSLMRT00010007949
14;transcript:ENSLMRT00010007997
14;transcript:ENSLMRT00010008024
14;transcript:ENSLMRT00010008038
14;transcript:ENSLMRT00010008040
14;transcript:ENSLMRT00010008091
14;transcript:ENSLMRT00010008175
14;transcript:ENSLMRT00010008177
14;transcript:ENSLMRT00010008181
14;transcript:ENSLMRT00010008193
14;transcript:ENSLMRT00010008202
14;transcript:ENSLMRT00010008212
14;transcript:ENSLMRT00010008255
14;transcript:ENSLMRT00010008275
14;transcript:ENSLMRT00010008313
14;transcript:ENSLMRT00010008353
14;transcript:ENSLMRT00010008380
14;transcript:ENSLMRT00010008388
14;transcript:ENSLMRT00010008421
14;transcript:ENSLMRT00010008448
14;transcript:ENSLMRT00010008459
14;transcript:ENSLMRT00010008460
14;transcript:ENSLMRT00010008480
14;transcript:ENSLMRT00010008501
14;transcript:ENSLMRT00010008532
14;transcript:ENSLMRT00010008566
14;transcript:ENSLMRT00010008579
14;transcript:ENSLMRT00010008643
14;transcript:ENSLMRT00010008656
14;transcript:ENSLMRT00010008680
14;transcript:ENSLMRT00010008733
14;transcript:ENSLMRT00010008811
14;transcript:ENSLMRT00010008849
14;transcript:ENSLMRT00010008865
14;transcript:ENSLMRT00010008898
14;transcript:ENSLMRT00010008978
14;transcript:ENSLMRT00010009046
14;transcript:ENSLMRT00010009156
14;transcript:ENSLMRT00010009197
14;transcript:ENSLMRT00010009230
14;transcript:ENSLMRT00010009277
14;transcript:ENSLMRT00010009334
14;transcript:ENSLMRT00010009345
14;transcript:ENSLMRT00010009403
14;transcript:ENSLMRT00010009430
14;transcript:ENSLMRT00010009521
14;transcript:ENSLMRT00010009615
14;transcript:ENSLMRT00010009629
14;transcript:ENSLMRT00010009724
14;transcript:ENSLMRT00010009758
14;transcript:ENSLMRT00010009769
14;transcript:ENSLMRT00010009825
14;transcript:ENSLMRT00010009848
14;transcript:ENSLMRT00010009885
14;transcript:ENSLMRT00010010012
14;transcript:ENSLMRT00010010028
14;transcript:ENSLMRT00010010074
14;transcript:ENSLMRT00010010120
14;transcript:ENSLMRT00010010170
14;transcript:ENSLMRT00010010173
14;transcript:ENSLMRT00010010238
14;transcript:ENSLMRT00010010257
14;transcript:ENSLMRT00010010324
14;transcript:ENSLMRT00010010348
14;transcript:ENSLMRT00010010398
14;transcript:ENSLMRT00010010430
14;transcript:ENSLMRT00010010508
14;transcript:ENSLMRT00010010571
14;transcript:ENSLMRT00010010652
14;transcript:ENSLMRT00010010719
14;transcript:ENSLMRT00010010806
14;transcript:ENSLMRT00010010861
14;transcript:ENSLMRT00010010879
14;transcript:ENSLMRT00010010896
14;transcript:ENSLMRT00010010938
14;transcript:ENSLMRT00010011021
14;transcript:ENSLMRT00010011041
14;transcript:ENSLMRT00010011095
14;transcript:ENSLMRT00010011103
14;transcript:ENSLMRT00010011115
14;transcript:ENSLMRT00010011126
14;transcript:ENSLMRT00010011185
14;transcript:ENSLMRT00010011206
14;transcript:ENSLMRT00010011244
14;transcript:ENSLMRT00010011254
14;transcript:ENSLMRT00010011267
14;transcript:ENSLMRT00010011274
14;transcript:ENSLMRT00010011379
14;transcript:ENSLMRT00010011403
14;transcript:ENSLMRT00010011425
14;transcript:ENSLMRT00010011439
14;transcript:ENSLMRT00010011463
14;transcript:ENSLMRT00010011475
14;transcript:ENSLMRT00010011489
14;transcript:ENSLMRT00010011494
14;transcript:ENSLMRT00010011521
