PS;GeneID
14;transcript:BRAKERSTMT00015000025
14;transcript:BRAKERSTMT00015000043
14;transcript:BRAKERSTMT00015000050
14;transcript:BRAKERSTMT00015000052
14;transcript:BRAKERSTMT00015000071
14;transcript:BRAKERSTMT00015000075
14;transcript:BRAKERSTMT00015000084
14;transcript:BRAKERSTMT00015000090
14;transcript:BRAKERSTMT00015000094
14;transcript:BRAKERSTMT00015000102
14;transcript:BRAKERSTMT00015000107
14;transcript:BRAKERSTMT00015000111
14;transcript:BRAKERSTMT00015000140
14;transcript:BRAKERSTMT00015000141
14;transcript:BRAKERSTMT00015000145
14;transcript:BRAKERSTMT00015000153
14;transcript:BRAKERSTMT00015000164
14;transcript:BRAKERSTMT00015000195
14;transcript:BRAKERSTMT00015000199
14;transcript:BRAKERSTMT00015000200
14;transcript:BRAKERSTMT00015000251
14;transcript:BRAKERSTMT00015000264
14;transcript:BRAKERSTMT00015000266
14;transcript:BRAKERSTMT00015000273
14;transcript:BRAKERSTMT00015000291
14;transcript:BRAKERSTMT00015000294
14;transcript:BRAKERSTMT00015000297
14;transcript:BRAKERSTMT00015000342
14;transcript:BRAKERSTMT00015000351
14;transcript:BRAKERSTMT00015000354
14;transcript:BRAKERSTMT00015000378
14;transcript:BRAKERSTMT00015000379
14;transcript:BRAKERSTMT00015000384
14;transcript:BRAKERSTMT00015000413
14;transcript:BRAKERSTMT00015000427
14;transcript:BRAKERSTMT00015000440
14;transcript:BRAKERSTMT00015000482
14;transcript:BRAKERSTMT00015000532
14;transcript:BRAKERSTMT00015000580
14;transcript:BRAKERSTMT00015000609
14;transcript:BRAKERSTMT00015000619
14;transcript:BRAKERSTMT00015000627
14;transcript:BRAKERSTMT00015000636
14;transcript:BRAKERSTMT00015000647
14;transcript:BRAKERSTMT00015000655
14;transcript:BRAKERSTMT00015000659
14;transcript:BRAKERSTMT00015000669
14;transcript:BRAKERSTMT00015000676
14;transcript:BRAKERSTMT00015000684
14;transcript:BRAKERSTMT00015000703
14;transcript:BRAKERSTMT00015000708
14;transcript:BRAKERSTMT00015000725
14;transcript:BRAKERSTMT00015000729
