PS;GeneID
14;transcript:ENSLLVT00000000043
14;transcript:ENSLLVT00000000089
14;transcript:ENSLLVT00000000157
14;transcript:ENSLLVT00000000228
14;transcript:ENSLLVT00000000229
14;transcript:ENSLLVT00000000236
14;transcript:ENSLLVT00000000258
14;transcript:ENSLLVT00000000282
14;transcript:ENSLLVT00000000314
14;transcript:ENSLLVT00000000327
14;transcript:ENSLLVT00000000348
14;transcript:ENSLLVT00000000392
14;transcript:ENSLLVT00000000417
14;transcript:ENSLLVT00000000421
14;transcript:ENSLLVT00000000444
14;transcript:ENSLLVT00000000461
14;transcript:ENSLLVT00000000470
14;transcript:ENSLLVT00000000480
14;transcript:ENSLLVT00000000499
14;transcript:ENSLLVT00000000503
14;transcript:ENSLLVT00000000638
14;transcript:ENSLLVT00000000662
14;transcript:ENSLLVT00000000663
14;transcript:ENSLLVT00000000684
14;transcript:ENSLLVT00000000694
14;transcript:ENSLLVT00000000708
14;transcript:ENSLLVT00000000768
14;transcript:ENSLLVT00000000796
14;transcript:ENSLLVT00000000855
14;transcript:ENSLLVT00000000891
14;transcript:ENSLLVT00000000905
14;transcript:ENSLLVT00000000949
14;transcript:ENSLLVT00000000982
14;transcript:ENSLLVT00000001076
14;transcript:ENSLLVT00000001200
14;transcript:ENSLLVT00000001208
14;transcript:ENSLLVT00000001223
14;transcript:ENSLLVT00000001232
14;transcript:ENSLLVT00000001258
14;transcript:ENSLLVT00000001284
14;transcript:ENSLLVT00000001285
14;transcript:ENSLLVT00000001368
14;transcript:ENSLLVT00000001377
14;transcript:ENSLLVT00000001378
14;transcript:ENSLLVT00000001447
14;transcript:ENSLLVT00000001450
14;transcript:ENSLLVT00000001462
14;transcript:ENSLLVT00000001490
14;transcript:ENSLLVT00000001499
14;transcript:ENSLLVT00000001603
14;transcript:ENSLLVT00000001609
14;transcript:ENSLLVT00000001643
14;transcript:ENSLLVT00000001644
14;transcript:ENSLLVT00000001731
14;transcript:ENSLLVT00000001780
14;transcript:ENSLLVT00000001784
14;transcript:ENSLLVT00000001790
14;transcript:ENSLLVT00000001955
14;transcript:ENSLLVT00000001963
14;transcript:ENSLLVT00000001966
14;transcript:ENSLLVT00000001967
14;transcript:ENSLLVT00000002002
14;transcript:ENSLLVT00000002012
14;transcript:ENSLLVT00000002047
14;transcript:ENSLLVT00000002074
14;transcript:ENSLLVT00000002082
14;transcript:ENSLLVT00000002096
14;transcript:ENSLLVT00000002114
14;transcript:ENSLLVT00000002126
14;transcript:ENSLLVT00000002170
14;transcript:ENSLLVT00000002181
14;transcript:ENSLLVT00000002214
14;transcript:ENSLLVT00000002289
14;transcript:ENSLLVT00000002290
14;transcript:ENSLLVT00000002309
14;transcript:ENSLLVT00000002311
14;transcript:ENSLLVT00000002322
14;transcript:ENSLLVT00000002338
14;transcript:ENSLLVT00000002377
14;transcript:ENSLLVT00000002381
14;transcript:ENSLLVT00000002386
14;transcript:ENSLLVT00000002430
14;transcript:ENSLLVT00000002506
14;transcript:ENSLLVT00000002511
14;transcript:ENSLLVT00000002533
14;transcript:ENSLLVT00000002540
14;transcript:ENSLLVT00000002548
14;transcript:ENSLLVT00000002568
14;transcript:ENSLLVT00000002630
14;transcript:ENSLLVT00000002646
14;transcript:ENSLLVT00000002656
14;transcript:ENSLLVT00000002665
14;transcript:ENSLLVT00000002678
14;transcript:ENSLLVT00000002690
14;transcript:ENSLLVT00000002723
14;transcript:ENSLLVT00000002738
14;transcript:ENSLLVT00000002742
14;transcript:ENSLLVT00000002856
14;transcript:ENSLLVT00000002910
14;transcript:ENSLLVT00000002922
14;transcript:ENSLLVT00000002937
14;transcript:ENSLLVT00000002980
14;transcript:ENSLLVT00000003010
14;transcript:ENSLLVT00000003039
14;transcript:ENSLLVT00000003047
14;transcript:ENSLLVT00000003058
14;transcript:ENSLLVT00000003093
14;transcript:ENSLLVT00000003094
14;transcript:ENSLLVT00000003109
14;transcript:ENSLLVT00000003127
14;transcript:ENSLLVT00000003175
14;transcript:ENSLLVT00000003228
14;transcript:ENSLLVT00000003241
14;transcript:ENSLLVT00000003252
14;transcript:ENSLLVT00000003293
14;transcript:ENSLLVT00000003311
14;transcript:ENSLLVT00000003319
14;transcript:ENSLLVT00000003322
14;transcript:ENSLLVT00000003359
14;transcript:ENSLLVT00000003364
14;transcript:ENSLLVT00000003394
14;transcript:ENSLLVT00000003409
14;transcript:ENSLLVT00000003421
14;transcript:ENSLLVT00000003425
14;transcript:ENSLLVT00000003461
14;transcript:ENSLLVT00000003462
14;transcript:ENSLLVT00000003465
14;transcript:ENSLLVT00000003480
14;transcript:ENSLLVT00000003540
14;transcript:ENSLLVT00000003553
14;transcript:ENSLLVT00000003569
14;transcript:ENSLLVT00000003571
14;transcript:ENSLLVT00000003589
14;transcript:ENSLLVT00000003623
14;transcript:ENSLLVT00000003624
14;transcript:ENSLLVT00000003631
14;transcript:ENSLLVT00000003636
14;transcript:ENSLLVT00000003637
14;transcript:ENSLLVT00000003745
14;transcript:ENSLLVT00000003769
14;transcript:ENSLLVT00000003773
14;transcript:ENSLLVT00000003795
14;transcript:ENSLLVT00000003799
14;transcript:ENSLLVT00000003831
14;transcript:ENSLLVT00000003851
14;transcript:ENSLLVT00000003864
14;transcript:ENSLLVT00000003926
14;transcript:ENSLLVT00000003936
14;transcript:ENSLLVT00000003937
14;transcript:ENSLLVT00000003951
14;transcript:ENSLLVT00000003958
14;transcript:ENSLLVT00000003961
14;transcript:ENSLLVT00000003966
14;transcript:ENSLLVT00000003995
14;transcript:ENSLLVT00000004014
14;transcript:ENSLLVT00000004017
14;transcript:ENSLLVT00000004027
14;transcript:ENSLLVT00000004073
14;transcript:ENSLLVT00000004103
14;transcript:ENSLLVT00000004117
14;transcript:ENSLLVT00000004123
14;transcript:ENSLLVT00000004124
14;transcript:ENSLLVT00000004150
14;transcript:ENSLLVT00000004215
14;transcript:ENSLLVT00000004227
14;transcript:ENSLLVT00000004234
14;transcript:ENSLLVT00000004244
14;transcript:ENSLLVT00000004263
14;transcript:ENSLLVT00000004274
14;transcript:ENSLLVT00000004310
14;transcript:ENSLLVT00000004317
14;transcript:ENSLLVT00000004342
14;transcript:ENSLLVT00000004354
14;transcript:ENSLLVT00000004378
14;transcript:ENSLLVT00000004380
14;transcript:ENSLLVT00000004388
14;transcript:ENSLLVT00000004394
14;transcript:ENSLLVT00000004395
14;transcript:ENSLLVT00000004397
14;transcript:ENSLLVT00000004401
14;transcript:ENSLLVT00000004404
14;transcript:ENSLLVT00000004422
14;transcript:ENSLLVT00000004505
14;transcript:ENSLLVT00000004507
14;transcript:ENSLLVT00000004508
14;transcript:ENSLLVT00000004541
14;transcript:ENSLLVT00000004559
14;transcript:ENSLLVT00000004668
14;transcript:ENSLLVT00000004683
14;transcript:ENSLLVT00000004733
14;transcript:ENSLLVT00000004753
14;transcript:ENSLLVT00000004773
14;transcript:ENSLLVT00000004792
14;transcript:ENSLLVT00000004819
14;transcript:ENSLLVT00000004840
14;transcript:ENSLLVT00000004860
14;transcript:ENSLLVT00000004867
14;transcript:ENSLLVT00000004924
14;transcript:ENSLLVT00000004941
14;transcript:ENSLLVT00000004949
14;transcript:ENSLLVT00000004958
14;transcript:ENSLLVT00000004992
14;transcript:ENSLLVT00000005010
14;transcript:ENSLLVT00000005021
14;transcript:ENSLLVT00000005045
14;transcript:ENSLLVT00000005047
14;transcript:ENSLLVT00000005109
14;transcript:ENSLLVT00000005140
14;transcript:ENSLLVT00000005171
14;transcript:ENSLLVT00000005200
14;transcript:ENSLLVT00000005222
14;transcript:ENSLLVT00000005246
14;transcript:ENSLLVT00000005260
14;transcript:ENSLLVT00000005265
14;transcript:ENSLLVT00000005305
14;transcript:ENSLLVT00000005312
14;transcript:ENSLLVT00000005332
14;transcript:ENSLLVT00000005347
14;transcript:ENSLLVT00000005368
14;transcript:ENSLLVT00000005429
14;transcript:ENSLLVT00000005442
14;transcript:ENSLLVT00000005471
14;transcript:ENSLLVT00000005492
14;transcript:ENSLLVT00000005519
14;transcript:ENSLLVT00000005537
