PS;GeneID
14;LOEN_00002-RA
14;LOEN_00026-RA
14;LOEN_00027-RA
14;LOEN_00058-RA
14;LOEN_00060-RA
14;LOEN_00065-RA
14;LOEN_00074-RA
14;LOEN_00083-RA
14;LOEN_00144-RB
14;LOEN_00145-RA
14;LOEN_00146-RA
14;LOEN_00152-RA
14;LOEN_00162-RA
14;LOEN_00163-RA
14;LOEN_00164-RA
14;LOEN_00187-RA
14;LOEN_00201-RA
14;LOEN_00213-RA
14;LOEN_00226-RA
14;LOEN_00249-RA
14;LOEN_00265-RA
14;LOEN_00273-RA
14;LOEN_00276-RA
14;LOEN_00340-RA
14;LOEN_00342-RA
14;LOEN_00344-RA
14;LOEN_00347-RA
14;LOEN_00348-RA
14;LOEN_00349-RA
14;LOEN_00350-RA
14;LOEN_00351-RA
14;LOEN_00352-RA
14;LOEN_00375-RB
14;LOEN_00376-RA
14;LOEN_00382-RA
14;LOEN_00383-RA
14;LOEN_00388-RA
14;LOEN_00389-RA
14;LOEN_00390-RA
14;LOEN_00399-RA
14;LOEN_00404-RA
14;LOEN_00406-RA
14;LOEN_00408-RA
14;LOEN_00414-RA
14;LOEN_00421-RA
14;LOEN_00425-RA
14;LOEN_00432-RA
14;LOEN_00434-RA
14;LOEN_00436-RA
14;LOEN_00439-RA
14;LOEN_00443-RA
14;LOEN_00444-RA
14;LOEN_00445-RA
14;LOEN_00446-RA
14;LOEN_00449-RA
14;LOEN_00451-RA
14;LOEN_00453-RA
14;LOEN_00454-RA
14;LOEN_00457-RA
14;LOEN_00458-RA
14;LOEN_00459-RA
14;LOEN_00488-RA
14;LOEN_00495-RA
14;LOEN_00498-RA
14;LOEN_00499-RA
14;LOEN_00500-RA
14;LOEN_00523-RA
14;LOEN_00551-RA
14;LOEN_00552-RA
14;LOEN_00559-RA
14;LOEN_00566-RA
14;LOEN_00572-RA
14;LOEN_00579-RA
14;LOEN_00583-RA
14;LOEN_00586-RA
14;LOEN_00600-RA
14;LOEN_00602-RA
14;LOEN_00636-RA
14;LOEN_00640-RA
14;LOEN_00685-RB
14;LOEN_00710-RA
14;LOEN_00719-RB
14;LOEN_00724-RA
14;LOEN_00725-RA
14;LOEN_00738-RA
14;LOEN_00748-RA
14;LOEN_00771-RA
14;LOEN_00774-RA
14;LOEN_00775-RA
14;LOEN_00776-RA
14;LOEN_00781-RA
14;LOEN_00785-RA
14;LOEN_00794-RA
14;LOEN_00821-RA
14;LOEN_00822-RA
14;LOEN_00844-RA
14;LOEN_00845-RA
14;LOEN_00846-RA
14;LOEN_00860-RA
14;LOEN_00874-RA
14;LOEN_00876-RA
14;LOEN_00920-RA
14;LOEN_00927-RA
14;LOEN_00938-RA
14;LOEN_00942-RA
14;LOEN_00964-RA
14;LOEN_00968-RA
14;LOEN_01007-RA
14;LOEN_01041-RA
14;LOEN_01056-RA
