PS;GeneID
14;AAUR_00001-RA
14;AAUR_00009-RA
14;AAUR_00010-RA
14;AAUR_00017-RA
14;AAUR_00019-RA
14;AAUR_00020-RA
14;AAUR_00021-RA
14;AAUR_00023-RA
14;AAUR_00024-RA
14;AAUR_00042-RA
14;AAUR_00047-RA
14;AAUR_00053-RA
14;AAUR_00054-RA
14;AAUR_00055-RA
14;AAUR_00059-RA
14;AAUR_00075-RA
14;AAUR_00080-RA
14;AAUR_00082-RA
14;AAUR_00084-RA
14;AAUR_00085-RA
14;AAUR_00096-RA
14;AAUR_00097-RA
14;AAUR_00098-RA
14;AAUR_00099-RA
14;AAUR_00111-RA
14;AAUR_00127-RA
14;AAUR_00157-RA
14;AAUR_00162-RA
14;AAUR_00163-RA
14;AAUR_00170-RA
14;AAUR_00181-RA
14;AAUR_00187-RA
14;AAUR_00188-RA
14;AAUR_00189-RA
14;AAUR_00192-RA
14;AAUR_00284-RA
14;AAUR_00294-RA
14;AAUR_00295-RA
14;AAUR_00305-RA
14;AAUR_00311-RA
14;AAUR_00312-RA
14;AAUR_00321-RA
14;AAUR_00327-RA
14;AAUR_00350-RA
14;AAUR_00351-RA
14;AAUR_00379-RA
14;AAUR_00384-RA
14;AAUR_00393-RA
14;AAUR_00397-RA
14;AAUR_00399-RA
14;AAUR_00416-RA
14;AAUR_00418-RA
14;AAUR_00420-RA
14;AAUR_00425-RA
14;AAUR_00427-RA
14;AAUR_00430-RA
14;AAUR_00432-RA
14;AAUR_00436-RA
14;AAUR_00474-RA
14;AAUR_00477-RA
14;AAUR_00535-RA
14;AAUR_00538-RA
14;AAUR_00546-RA
14;AAUR_00548-RA
14;AAUR_00549-RA
14;AAUR_00565-RA
14;AAUR_00567-RA
14;AAUR_00589-RA
14;AAUR_00632-RA
14;AAUR_00633-RA
14;AAUR_00634-RA
14;AAUR_00635-RA
14;AAUR_00639-RA
14;AAUR_00641-RA
14;AAUR_00653-RB
14;AAUR_00657-RA
14;AAUR_00663-RA
14;AAUR_00665-RA
14;AAUR_00666-RA
14;AAUR_00667-RA
14;AAUR_00670-RA
14;AAUR_00686-RA
14;AAUR_00690-RA
14;AAUR_00691-RA
14;AAUR_00693-RA
14;AAUR_00697-RA
14;AAUR_00698-RA
14;AAUR_00705-RA
14;AAUR_00716-RA
14;AAUR_00725-RA
14;AAUR_00735-RA
14;AAUR_00749-RA
14;AAUR_00750-RA
14;AAUR_00777-RA
14;AAUR_00787-RA
14;AAUR_00795-RA
14;AAUR_00807-RA
14;AAUR_00852-RA
14;AAUR_00885-RA
14;AAUR_00910-RA
14;AAUR_00921-RA
14;AAUR_00922-RA
14;AAUR_00923-RA
14;AAUR_00927-RA
14;AAUR_00940-RA
14;AAUR_00947-RA
14;AAUR_00953-RA
14;AAUR_00961-RA
14;AAUR_00962-RA
14;AAUR_00985-RA
14;AAUR_01017-RA
14;AAUR_01034-RA
14;AAUR_01039-RA
14;AAUR_01041-RA
14;AAUR_01051-RA
14;AAUR_01067-RA
14;AAUR_01093-RA
14;AAUR_01099-RA
14;AAUR_01134-RA
14;AAUR_01161-RA
14;AAUR_01168-RA
14;AAUR_01169-RA
14;AAUR_01170-RA
14;AAUR_01171-RA
14;AAUR_01174-RA
14;AAUR_01179-RA
14;AAUR_01182-RA
14;AAUR_01226-RA
14;AAUR_01227-RA
14;AAUR_01228-RA
14;AAUR_01240-RA
14;AAUR_01247-RA
14;AAUR_01286-RA
14;AAUR_01295-RA
14;AAUR_01309-RA
14;AAUR_01323-RA
14;AAUR_01345-RA
14;AAUR_01374-RA
14;AAUR_01376-RA
14;AAUR_01379-RA
14;AAUR_01387-RA
14;AAUR_01391-RA
14;AAUR_01415-RA
14;AAUR_01467-RA
14;AAUR_01554-RA
14;AAUR_01555-RB
14;AAUR_01564-RA
14;AAUR_01586-RA
14;AAUR_01609-RA
14;AAUR_01612-RB
14;AAUR_01618-RA
14;AAUR_01634-RA
14;AAUR_01676-RA
14;AAUR_01683-RA
14;AAUR_01698-RA
14;AAUR_01720-RA
14;AAUR_01728-RA
14;AAUR_01739-RA
14;AAUR_01752-RA
14;AAUR_01767-RA
14;AAUR_01792-RA
14;AAUR_01801-RA
14;AAUR_01810-RA
14;AAUR_01812-RA
14;AAUR_01828-RA
14;AAUR_01851-RA
14;AAUR_01872-RA
14;AAUR_01890-RA
14;AAUR_01906-RA
14;AAUR_01919-RA
14;AAUR_01939-RA
14;AAUR_01942-RA
14;AAUR_01958-RA
14;AAUR_01975-RA
14;AAUR_01978-RA
14;AAUR_01992-RA
14;AAUR_02005-RA
14;AAUR_02053-RA
14;AAUR_02066-RA
14;AAUR_02070-RA
14;AAUR_02075-RA
14;AAUR_02076-RA
14;AAUR_02077-RA
14;AAUR_02078-RA
14;AAUR_02079-RA
14;AAUR_02080-RA
14;AAUR_02081-RA
14;AAUR_02083-RA
14;AAUR_02084-RA
14;AAUR_02101-RA
14;AAUR_02186-RA
14;AAUR_02188-RA
14;AAUR_02198-RA
14;AAUR_02218-RA
14;AAUR_02226-RA
14;AAUR_02230-RA
14;AAUR_02247-RA
14;AAUR_02252-RA
14;AAUR_02254-RA
14;AAUR_02300-RA
14;AAUR_02318-RA
14;AAUR_02333-RA
14;AAUR_02389-RA
14;AAUR_02398-RA
14;AAUR_02400-RA
14;AAUR_02401-RA
14;AAUR_02404-RA
14;AAUR_02409-RA
14;AAUR_02412-RA
14;AAUR_02414-RA
14;AAUR_02428-RA
14;AAUR_02433-RA
14;AAUR_02446-RA
14;AAUR_02460-RA
14;AAUR_02477-RA
14;AAUR_02488-RA
14;AAUR_02489-RA
14;AAUR_02491-RA
14;AAUR_02492-RA
14;AAUR_02493-RA
14;AAUR_02509-RA
14;AAUR_02510-RA
14;AAUR_02511-RA
14;AAUR_02516-RA
14;AAUR_02521-RA
14;AAUR_02522-RA
14;AAUR_02527-RA
14;AAUR_02536-RA
14;AAUR_02541-RA
14;AAUR_02542-RA
14;AAUR_02543-RA
14;AAUR_02553-RA
14;AAUR_02562-RA
14;AAUR_02570-RA
14;AAUR_02589-RA
14;AAUR_02595-RA
14;AAUR_02600-RA
14;AAUR_02613-RA
14;AAUR_02615-RA
14;AAUR_02635-RA
