PS;GeneID
14;rna-gnl|WGS:JAHYIQ|K0M31_000011-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000071-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000075-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000084-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000093-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000094-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000095-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000096-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000097-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000110-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000125-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000171-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000173-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000207-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000233-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000265-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000345-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000351-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000452-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000454-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000457-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000463-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000510-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000545-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000547-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000552-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000553-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000598-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000601-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000605-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000637-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000648-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000659-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000672-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000678-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000689-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000716-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000717-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000718-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000724-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000886-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000892-T2_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000911-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000912-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000956-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_000999-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001005-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001018-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001053-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001054-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001057-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001060-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001069-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001074-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001077-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001087-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001106-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001119-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001127-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001128-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001150-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001163-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001193-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001200-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001202-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001204-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001213-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001222-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001225-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001238-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001254-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001281-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001313-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001381-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001386-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001394-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001424-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001435-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001445-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001449-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001493-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001527-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001573-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001602-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001604-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001605-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001607-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001609-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001620-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001622-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001637-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001646-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001647-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001671-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001700-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001704-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001715-T2_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001717-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001729-T1_mrna
14;rna-gnl|WGS:JAHYIQ|K0M31_001755-T1_mrna
