PS;GeneID
14;transcript:ENSMEOT00010000014
14;transcript:ENSMEOT00010000020
14;transcript:ENSMEOT00010000031
14;transcript:ENSMEOT00010000075
14;transcript:ENSMEOT00010000109
14;transcript:ENSMEOT00010000120
14;transcript:ENSMEOT00010000139
14;transcript:ENSMEOT00010000149
14;transcript:ENSMEOT00010000155
14;transcript:ENSMEOT00010000159
14;transcript:ENSMEOT00010000225
14;transcript:ENSMEOT00010000251
14;transcript:ENSMEOT00010000274
14;transcript:ENSMEOT00010000297
14;transcript:ENSMEOT00010000303
14;transcript:ENSMEOT00010000340
14;transcript:ENSMEOT00010000370
14;transcript:ENSMEOT00010000393
14;transcript:ENSMEOT00010000405
14;transcript:ENSMEOT00010000415
14;transcript:ENSMEOT00010000480
14;transcript:ENSMEOT00010000505
14;transcript:ENSMEOT00010000521
14;transcript:ENSMEOT00010000551
14;transcript:ENSMEOT00010000563
14;transcript:ENSMEOT00010000581
14;transcript:ENSMEOT00010000640
14;transcript:ENSMEOT00010000645
14;transcript:ENSMEOT00010000655
14;transcript:ENSMEOT00010000662
14;transcript:ENSMEOT00010000663
14;transcript:ENSMEOT00010000678
14;transcript:ENSMEOT00010000693
14;transcript:ENSMEOT00010000734
14;transcript:ENSMEOT00010000742
14;transcript:ENSMEOT00010000761
14;transcript:ENSMEOT00010000765
14;transcript:ENSMEOT00010000872
14;transcript:ENSMEOT00010000875
14;transcript:ENSMEOT00010000902
14;transcript:ENSMEOT00010000952
14;transcript:ENSMEOT00010001026
14;transcript:ENSMEOT00010001027
14;transcript:ENSMEOT00010001050
14;transcript:ENSMEOT00010001110
14;transcript:ENSMEOT00010001133
14;transcript:ENSMEOT00010001139
14;transcript:ENSMEOT00010001170
14;transcript:ENSMEOT00010001181
14;transcript:ENSMEOT00010001187
14;transcript:ENSMEOT00010001198
14;transcript:ENSMEOT00010001218
14;transcript:ENSMEOT00010001224
14;transcript:ENSMEOT00010001229
14;transcript:ENSMEOT00010001236
14;transcript:ENSMEOT00010001250
14;transcript:ENSMEOT00010001251
14;transcript:ENSMEOT00010001260
14;transcript:ENSMEOT00010001318
14;transcript:ENSMEOT00010001337
14;transcript:ENSMEOT00010001343
14;transcript:ENSMEOT00010001362
14;transcript:ENSMEOT00010001384
14;transcript:ENSMEOT00010001386
14;transcript:ENSMEOT00010001423
14;transcript:ENSMEOT00010001429
14;transcript:ENSMEOT00010001454
14;transcript:ENSMEOT00010001475
14;transcript:ENSMEOT00010001479
14;transcript:ENSMEOT00010001519
14;transcript:ENSMEOT00010001526
14;transcript:ENSMEOT00010001548
14;transcript:ENSMEOT00010001563
14;transcript:ENSMEOT00010001588
14;transcript:ENSMEOT00010001590
14;transcript:ENSMEOT00010001601
14;transcript:ENSMEOT00010001620
14;transcript:ENSMEOT00010001633
14;transcript:ENSMEOT00010001634
14;transcript:ENSMEOT00010001647
14;transcript:ENSMEOT00010001673
14;transcript:ENSMEOT00010001677
14;transcript:ENSMEOT00010001688
14;transcript:ENSMEOT00010001711
14;transcript:ENSMEOT00010001729
14;transcript:ENSMEOT00010001730
14;transcript:ENSMEOT00010001733
14;transcript:ENSMEOT00010001763
14;transcript:ENSMEOT00010001764
14;transcript:ENSMEOT00010001810
14;transcript:ENSMEOT00010001818
14;transcript:ENSMEOT00010001844
14;transcript:ENSMEOT00010001845
14;transcript:ENSMEOT00010001850
14;transcript:ENSMEOT00010001869
14;transcript:ENSMEOT00010001871
14;transcript:ENSMEOT00010001886
14;transcript:ENSMEOT00010001900
14;transcript:ENSMEOT00010001946
14;transcript:ENSMEOT00010001978
14;transcript:ENSMEOT00010001983
14;transcript:ENSMEOT00010001986
14;transcript:ENSMEOT00010002017
14;transcript:ENSMEOT00010002033
14;transcript:ENSMEOT00010002044
14;transcript:ENSMEOT00010002069
14;transcript:ENSMEOT00010002079
14;transcript:ENSMEOT00010002080
14;transcript:ENSMEOT00010002102
14;transcript:ENSMEOT00010002193
14;transcript:ENSMEOT00010002217
14;transcript:ENSMEOT00010002235
14;transcript:ENSMEOT00010002279
14;transcript:ENSMEOT00010002313
14;transcript:ENSMEOT00010002320
14;transcript:ENSMEOT00010002355
14;transcript:ENSMEOT00010002357
14;transcript:ENSMEOT00010002360
14;transcript:ENSMEOT00010002398
14;transcript:ENSMEOT00010002403
14;transcript:ENSMEOT00010002449
14;transcript:ENSMEOT00010002465
14;transcript:ENSMEOT00010002468
14;transcript:ENSMEOT00010002469
14;transcript:ENSMEOT00010002500
14;transcript:ENSMEOT00010002503
14;transcript:ENSMEOT00010002508
14;transcript:ENSMEOT00010002519
14;transcript:ENSMEOT00010002548
14;transcript:ENSMEOT00010002559
14;transcript:ENSMEOT00010002570
14;transcript:ENSMEOT00010002571
14;transcript:ENSMEOT00010002642
14;transcript:ENSMEOT00010002662
14;transcript:ENSMEOT00010002669
14;transcript:ENSMEOT00010002673
14;transcript:ENSMEOT00010002675
14;transcript:ENSMEOT00010002683
14;transcript:ENSMEOT00010002702
14;transcript:ENSMEOT00010002734
14;transcript:ENSMEOT00010002820
14;transcript:ENSMEOT00010002840
14;transcript:ENSMEOT00010002883
14;transcript:ENSMEOT00010002911
14;transcript:ENSMEOT00010002914
14;transcript:ENSMEOT00010002917
14;transcript:ENSMEOT00010002924
14;transcript:ENSMEOT00010002926
14;transcript:ENSMEOT00010002963
14;transcript:ENSMEOT00010003022
14;transcript:ENSMEOT00010003026
14;transcript:ENSMEOT00010003053
14;transcript:ENSMEOT00010003111
14;transcript:ENSMEOT00010003114
14;transcript:ENSMEOT00010003153
14;transcript:ENSMEOT00010003199
14;transcript:ENSMEOT00010003217
14;transcript:ENSMEOT00010003229
14;transcript:ENSMEOT00010003234
14;transcript:ENSMEOT00010003246
14;transcript:ENSMEOT00010003273
14;transcript:ENSMEOT00010003323
14;transcript:ENSMEOT00010003324
14;transcript:ENSMEOT00010003342
14;transcript:ENSMEOT00010003359
14;transcript:ENSMEOT00010003366
14;transcript:ENSMEOT00010003374
14;transcript:ENSMEOT00010003419
14;transcript:ENSMEOT00010003429
14;transcript:ENSMEOT00010003438
14;transcript:ENSMEOT00010003454
14;transcript:ENSMEOT00010003458
14;transcript:ENSMEOT00010003477
14;transcript:ENSMEOT00010003561
14;transcript:ENSMEOT00010003582
14;transcript:ENSMEOT00010003589
14;transcript:ENSMEOT00010003592
14;transcript:ENSMEOT00010003605
14;transcript:ENSMEOT00010003617
14;transcript:ENSMEOT00010003649
14;transcript:ENSMEOT00010003714
14;transcript:ENSMEOT00010003733
14;transcript:ENSMEOT00010003750
14;transcript:ENSMEOT00010003753
14;transcript:ENSMEOT00010003756
14;transcript:ENSMEOT00010003771
14;transcript:ENSMEOT00010003776
14;transcript:ENSMEOT00010003778
14;transcript:ENSMEOT00010003807
14;transcript:ENSMEOT00010003810
14;transcript:ENSMEOT00010003840
14;transcript:ENSMEOT00010003851
14;transcript:ENSMEOT00010003890
14;transcript:ENSMEOT00010003893
14;transcript:ENSMEOT00010003913
14;transcript:ENSMEOT00010003914
14;transcript:ENSMEOT00010003937
14;transcript:ENSMEOT00010003949
14;transcript:ENSMEOT00010003966
14;transcript:ENSMEOT00010004023
14;transcript:ENSMEOT00010004024
14;transcript:ENSMEOT00010004074
14;transcript:ENSMEOT00010004113
14;transcript:ENSMEOT00010004139
14;transcript:ENSMEOT00010004147
