PS;GeneID
14;rna-XM_050717040.1
14;rna-XM_050717047.1
14;rna-XM_050717076.1
14;rna-XM_050717084.1
14;rna-XM_050717092.1
14;rna-XM_050717161.1
14;rna-XM_050717249.1
14;rna-XM_050717422.1
14;rna-XM_050717436.1
14;rna-XM_050717482.1
14;rna-XM_050717549.1
14;rna-XM_050717554.1
14;rna-XM_050717563.1
14;rna-XM_050717656.1
14;rna-XM_050717868.1
14;rna-XM_050717884.1
14;rna-XM_050717900.1
14;rna-XM_050717901.1
14;rna-XM_050717968.1
14;rna-XM_050718047.1
14;rna-XM_050718055.1
14;rna-XM_050718196.1
14;rna-XM_050718198.1
14;rna-XM_050718359.1
14;rna-XM_050718360.1
14;rna-XM_050718407.1
14;rna-XM_050718495.1
14;rna-XM_050718594.1
14;rna-XM_050718608.1
14;rna-XM_050718621.1
14;rna-XM_050718728.1
14;rna-XM_050718729.1
14;rna-XM_050718733.1
14;rna-XM_050718762.1
14;rna-XM_050718770.1
14;rna-XM_050718791.1
14;rna-XM_050718831.1
14;rna-XM_050718862.1
14;rna-XM_050718938.1
14;rna-XM_050718977.1
14;rna-XM_050719003.1
14;rna-XM_050719088.1
14;rna-XM_050719176.1
14;rna-XM_050719177.1
14;rna-XM_050719178.1
14;rna-XM_050719179.1
14;rna-XM_050719184.1
14;rna-XM_050719187.1
14;rna-XM_050719189.1
14;rna-XM_050719192.1
14;rna-XM_050719193.1
14;rna-XM_050719194.1
14;rna-XM_050719205.1
14;rna-XM_050719207.1
14;rna-XM_050719208.1
14;rna-XM_050719209.1
14;rna-XM_050719210.1
14;rna-XM_050719211.1
14;rna-XM_050719228.1
14;rna-XM_050719245.1
14;rna-XM_050719285.1
14;rna-XM_050719287.1
14;rna-XM_050719317.1
14;rna-XM_050719334.1
14;rna-XM_050719420.1
14;rna-XM_050719422.1
14;rna-XM_050719437.1
14;rna-XM_050719515.1
14;rna-XM_050719519.1
14;rna-XM_050719528.1
14;rna-XM_050719554.1
14;rna-XM_050719566.1
14;rna-XM_050719567.1
14;rna-XM_050719573.1
14;rna-XM_050719683.1
14;rna-XM_050719704.1
14;rna-XM_050719914.1
14;rna-XM_050719960.1
14;rna-XM_050719961.1
14;rna-XM_050719977.1
14;rna-XM_050719978.1
14;rna-XM_050719993.1
14;rna-XM_050720034.1
14;rna-XM_050720060.1
14;rna-XM_050720086.1
14;rna-XM_050720088.1
14;rna-XM_050720093.1
14;rna-XM_050720122.1
14;rna-XM_050720123.1
14;rna-XM_050720127.1
14;rna-XM_050720198.1
14;rna-XM_050720199.1
14;rna-XM_050720200.1
14;rna-XM_050720201.1
14;rna-XM_050720242.1
14;rna-XM_050720247.1
14;rna-XM_050720260.1
14;rna-XM_050720269.1
14;rna-XM_050720302.1
14;rna-XM_050720358.1
14;rna-XM_050720414.1
14;rna-XM_050720471.1
14;rna-XM_050720476.1
14;rna-XM_050720564.1
14;rna-XM_050720693.1
14;rna-XM_050720713.1
14;rna-XM_050720739.1
14;rna-XM_050720743.1
14;rna-XM_050720795.1
14;rna-XM_050720802.1
14;rna-XM_050720889.1
14;rna-XM_050720940.1
14;rna-XM_050720957.1
14;rna-XM_050720958.1
14;rna-XM_050721072.1
14;rna-XM_050721318.1
14;rna-XM_050721339.1
14;rna-XM_050721395.1
14;rna-XM_050721411.1
14;rna-XM_050721452.1
14;rna-XM_050721506.1
14;rna-XM_050721536.1
14;rna-XM_050721581.1
14;rna-XM_050721660.1
14;rna-XM_050721722.1
14;rna-XM_050721754.1
14;rna-XM_050721973.1
14;rna-XM_050722047.1
14;rna-XM_050722054.1
14;rna-XM_050722061.1
14;rna-XM_050722116.1
14;rna-XM_050722168.1
14;rna-XM_050722212.1
14;rna-XM_050722242.1
14;rna-XM_050722253.1
14;rna-XM_050722292.1
14;rna-XM_050722294.1
14;rna-XM_050722295.1
14;rna-XM_050722296.1
14;rna-XM_050722298.1
14;rna-XM_050722344.1
14;rna-XM_050722346.1
14;rna-XM_050722353.1
14;rna-XM_050722462.1
14;rna-XM_050722491.1
14;rna-XM_050722505.1
14;rna-XM_050722544.1
14;rna-XM_050722630.1
14;rna-XM_050722762.1
14;rna-XM_050722768.1
14;rna-XM_050722829.1
14;rna-XM_050722852.1
14;rna-XM_050722915.1
14;rna-XM_050722917.1
14;rna-XM_050722935.1
14;rna-XM_050722952.1
14;rna-XM_050722960.1
14;rna-XM_050722962.1
14;rna-XM_050723038.1
14;rna-XM_050723074.1
14;rna-XM_050723076.1
14;rna-XM_050723166.1
14;rna-XM_050723174.1
14;rna-XM_050723317.1
14;rna-XM_050723343.1
14;rna-XM_050723380.1
14;rna-XM_050723422.1
14;rna-XM_050723496.1
14;rna-XM_050723532.1
14;rna-XM_050723541.1
14;rna-XM_050723695.1
14;rna-XM_050723729.1
14;rna-XM_050723736.1
14;rna-XM_050723740.1
14;rna-XM_050723745.1
14;rna-XM_050723754.1
14;rna-XM_050723862.1
14;rna-XM_050724024.1
14;rna-XM_050724077.1
14;rna-XM_050724106.1
14;rna-XM_050724111.1
14;rna-XM_050724112.1
14;rna-XM_050724189.1
14;rna-XM_050724196.1
14;rna-XM_050724230.1
14;rna-XM_050724239.1
14;rna-XM_050724245.1
14;rna-XM_050724275.1
14;rna-XM_050724283.1
14;rna-XM_050724290.1
14;rna-XM_050724326.1
14;rna-XM_050724357.1
14;rna-XM_050724385.1
14;rna-XM_050724406.1
14;rna-XM_050724450.1
14;rna-XM_050724490.1
14;rna-XM_050724501.1
14;rna-XM_050724507.1
14;rna-XM_050724524.1
14;rna-XM_050724572.1
14;rna-XM_050724584.1
14;rna-XM_050724587.1
14;rna-XM_050724642.1
14;rna-XM_050724762.1
14;rna-XM_050724793.1
14;rna-XM_050724915.1
14;rna-XM_050725024.1
14;rna-XM_050725026.1
14;rna-XM_050725033.1
14;rna-XM_050725102.1
14;rna-XM_050725143.1
14;rna-XM_050725146.1
14;rna-XM_050725147.1
14;rna-XM_050725153.1
14;rna-XM_050725155.1
14;rna-XM_050725159.1
14;rna-XM_050725192.1
14;rna-XM_050725233.1
14;rna-XM_050725364.1
14;rna-XM_050725469.1
14;rna-XM_050725471.1
14;rna-XM_050725479.1
14;rna-XM_050725518.1
14;rna-XM_050725580.1
14;rna-XM_050725674.1
14;rna-XM_050725681.1
14;rna-XM_050725708.1
14;rna-XM_050725724.1
14;rna-XM_050725734.1
14;rna-XM_050725743.1
14;rna-XM_050725771.1
14;rna-XM_050725792.1
14;rna-XM_050725794.1
14;rna-XM_050725798.1
14;rna-XM_050725801.1
14;rna-XM_050725802.1
14;rna-XM_050725815.1
14;rna-XM_050725816.1
14;rna-XM_050725904.1
14;rna-XM_050725915.1
14;rna-XM_050725931.1
14;rna-XM_050725932.1
14;rna-XM_050725949.1
14;rna-XM_050725956.1
14;rna-XM_050725963.1
14;rna-XM_050725964.1
14;rna-XM_050725981.1
14;rna-XM_050725999.1
14;rna-XM_050726072.1
14;rna-XM_050726074.1
14;rna-XM_050726274.1
14;rna-XM_050726363.1
14;rna-XM_050726397.1
14;rna-XM_050726440.1
14;rna-XM_050726517.1
14;rna-XM_050726584.1
14;rna-XM_050726623.1
14;rna-XM_050726627.1
14;rna-XM_050726628.1
14;rna-XM_050726630.1
14;rna-XM_050726631.1
14;rna-XM_050726632.1
14;rna-XM_050726795.1
14;rna-XM_050726798.1
14;rna-XM_050726812.1
14;rna-XM_050726851.1
14;rna-XM_050727134.1
14;rna-XM_050727174.1
14;rna-XM_050727234.1
14;rna-XM_050727238.1
14;rna-XM_050727245.1
14;rna-XM_050727249.1
14;rna-XM_050727250.1
14;rna-XM_050727299.1
14;rna-XM_050727303.1
14;rna-XM_050727304.1
14;rna-XM_050727324.1
14;rna-XM_050727467.1
14;rna-XM_050727505.1
14;rna-XM_050727525.1
14;rna-XM_050727552.1
14;rna-XM_050727586.1
14;rna-XM_050727618.1
14;rna-XM_050727663.1
14;rna-XM_050727673.1
14;rna-XM_050727690.1
14;rna-XM_050727698.1
14;rna-XM_050727707.1
14;rna-XM_050727715.1
14;rna-XM_050727718.1
14;rna-XM_050727722.1
14;rna-XM_050727723.1
14;rna-XM_050727724.1
14;rna-XM_050727726.1
14;rna-XM_050727729.1
14;rna-XM_050727739.1
14;rna-XM_050727744.1
14;rna-XM_050727750.1
14;rna-XM_050727784.1
14;rna-XM_050727800.1
14;rna-XM_050727874.1
14;rna-XM_050727928.1
14;rna-XM_050728061.1
14;rna-XM_050728088.1
14;rna-XM_050728117.1
14;rna-XM_050728184.1
14;rna-XM_050728201.1
14;rna-XM_050728220.1
14;rna-XM_050728395.1
14;rna-XM_050728410.1
14;rna-XM_050728411.1
14;rna-XM_050728412.1
14;rna-XM_050728427.1
14;rna-XM_050728468.1
14;rna-XM_050728469.1
14;rna-XM_050728557.1
14;rna-XM_050728604.1
14;rna-XM_050728690.1
14;rna-XM_050728728.1
14;rna-XM_050728733.1
14;rna-XM_050728742.1
14;rna-XM_050728757.1
14;rna-XM_050728863.1
14;rna-XM_050728874.1
14;rna-XM_050728918.1
14;rna-XM_050728922.1
14;rna-XM_050728950.1
14;rna-XM_050728958.1
14;rna-XM_050728962.1
14;rna-XM_050729002.1
14;rna-XM_050729005.1
14;rna-XM_050729131.1
14;rna-XM_050729133.1
14;rna-XM_050729162.1
14;rna-XM_050729179.1
14;rna-XM_050729180.1
14;rna-XM_050729182.1
14;rna-XM_050729183.1
14;rna-XM_050729195.1
14;rna-XM_050729203.1
14;rna-XM_050729210.1
14;rna-XM_050729344.1
14;rna-XM_050729377.1
14;rna-XM_050729420.1
14;rna-XM_050729427.1
14;rna-XM_050729440.1
14;rna-XM_050729441.1
14;rna-XM_050729466.1
14;rna-XM_050729556.1
14;rna-XM_050729567.1
14;rna-XM_050729585.1
14;rna-XM_050729631.1
14;rna-XM_050729646.1
14;rna-XM_050729690.1
14;rna-XM_050729723.1
14;rna-XM_050729749.1
14;rna-XM_050729751.1
14;rna-XM_050729756.1
14;rna-XM_050729758.1
14;rna-XM_050729760.1
14;rna-XM_050729762.1
14;rna-XM_050729771.1
14;rna-XM_050729775.1
14;rna-XM_050729816.1
14;rna-XM_050729845.1
14;rna-XM_050729859.1
14;rna-XM_050729888.1
14;rna-XM_050729944.1
14;rna-XM_050729953.1
14;rna-XM_050729968.1
14;rna-XM_050729982.1
14;rna-XM_050730009.1
14;rna-XM_050730010.1
14;rna-XM_050730011.1
14;rna-XM_050730012.1
14;rna-XM_050730020.1
14;rna-XM_050730023.1
14;rna-XM_050730076.1
14;rna-XM_050730077.1
14;rna-XM_050730089.1
14;rna-XM_050730090.1
14;rna-XM_050730119.1
14;rna-XM_050730137.1
14;rna-XM_050730175.1
14;rna-XM_050730264.1
14;rna-XM_050730267.1
14;rna-XM_050730322.1
14;rna-XM_050730341.1
14;rna-XM_050730381.1
14;rna-XM_050730405.1
14;rna-XM_050730406.1
14;rna-XM_050730408.1
14;rna-XM_050730413.1
14;rna-XM_050730414.1
14;rna-XM_050730543.1
14;rna-XM_050730555.1
14;rna-XM_050730560.1
14;rna-XM_050730607.1
14;rna-XM_050730608.1
14;rna-XM_050730728.1
14;rna-XM_050730730.1
14;rna-XM_050730736.1
14;rna-XM_050730740.1
14;rna-XM_050730741.1
14;rna-XM_050730742.1
14;rna-XM_050730743.1
14;rna-XM_050730744.1
14;rna-XM_050730745.1
14;rna-XM_050730747.1
14;rna-XM_050730748.1
14;rna-XM_050730749.1
14;rna-XM_050730821.1
14;rna-XM_050730825.1
14;rna-XM_050730914.1
14;rna-XM_050731006.1
14;rna-XM_050731022.1
14;rna-XM_050731026.1
14;rna-XM_050731038.1
14;rna-XM_050731055.1
14;rna-XM_050731069.1
14;rna-XM_050731073.1
