PS;GeneID
14;AVIR_00023-RA
14;AVIR_00026-RA
14;AVIR_00032-RA
14;AVIR_00073-RA
14;AVIR_00085-RA
14;AVIR_00094-RA
14;AVIR_00137-RA
14;AVIR_00146-RA
14;AVIR_00191-RA
14;AVIR_00211-RB
14;AVIR_00228-RA
14;AVIR_00229-RA
14;AVIR_00250-RA
14;AVIR_00276-RA
14;AVIR_00299-RA
14;AVIR_00312-RA
14;AVIR_00342-RA
14;AVIR_00358-RA
14;AVIR_00380-RA
14;AVIR_00385-RA
14;AVIR_00396-RA
14;AVIR_00402-RA
14;AVIR_00409-RA
14;AVIR_00415-RA
14;AVIR_00417-RA
14;AVIR_00424-RA
14;AVIR_00437-RA
14;AVIR_00439-RA
14;AVIR_00442-RA
14;AVIR_00452-RA
14;AVIR_00456-RA
14;AVIR_00502-RA
14;AVIR_00531-RA
14;AVIR_00532-RA
14;AVIR_00533-RA
14;AVIR_00534-RA
14;AVIR_00538-RA
14;AVIR_00549-RA
14;AVIR_00552-RA
14;AVIR_00557-RA
14;AVIR_00558-RA
14;AVIR_00560-RA
14;AVIR_00571-RA
14;AVIR_00580-RA
14;AVIR_00584-RB
14;AVIR_00591-RA
14;AVIR_00592-RA
14;AVIR_00594-RA
14;AVIR_00596-RA
14;AVIR_00598-RA
14;AVIR_00627-RA
14;AVIR_00646-RA
14;AVIR_00652-RA
14;AVIR_00663-RA
14;AVIR_00669-RA
14;AVIR_00682-RA
14;AVIR_00701-RA
14;AVIR_00718-RA
14;AVIR_00722-RA
14;AVIR_00737-RA
14;AVIR_00757-RA
14;AVIR_00773-RA
14;AVIR_00798-RA
14;AVIR_00840-RA
14;AVIR_00852-RA
14;AVIR_00864-RA
14;AVIR_00896-RA
14;AVIR_00897-RA
14;AVIR_00898-RA
14;AVIR_00910-RA
14;AVIR_00913-RA
14;AVIR_00938-RA
14;AVIR_00976-RA
14;AVIR_01001-RA
14;AVIR_01032-RA
14;AVIR_01053-RA
14;AVIR_01056-RB
14;AVIR_01064-RA
14;AVIR_01077-RA
14;AVIR_01092-RA
14;AVIR_01139-RA
14;AVIR_01145-RA
14;AVIR_01151-RA
14;AVIR_01152-RA
14;AVIR_01153-RA
14;AVIR_01154-RA
14;AVIR_01156-RA
14;AVIR_01159-RA
14;AVIR_01160-RA
14;AVIR_01161-RA
14;AVIR_01162-RA
14;AVIR_01167-RA
14;AVIR_01183-RA
14;AVIR_01188-RA
14;AVIR_01200-RA
14;AVIR_01237-RA
14;AVIR_01240-RA
14;AVIR_01271-RA
14;AVIR_01273-RA
14;AVIR_01286-RA
14;AVIR_01294-RA
14;AVIR_01302-RA
14;AVIR_01317-RA
14;AVIR_01348-RA
14;AVIR_01361-RA
14;AVIR_01381-RA
14;AVIR_01383-RA
14;AVIR_01384-RA
14;AVIR_01388-RA
14;AVIR_01397-RA
14;AVIR_01398-RA
14;AVIR_01400-RA
14;AVIR_01401-RA
14;AVIR_01402-RB
14;AVIR_01403-RA
14;AVIR_01413-RA
14;AVIR_01421-RA
14;AVIR_01424-RA
14;AVIR_01438-RA
14;AVIR_01458-RA
14;AVIR_01494-RA
14;AVIR_01496-RA
14;AVIR_01513-RA
14;AVIR_01515-RA
14;AVIR_01528-RA
14;AVIR_01534-RA
14;AVIR_01549-RA
14;AVIR_01551-RA
14;AVIR_01556-RA
14;AVIR_01568-RA
14;AVIR_01570-RA
14;AVIR_01618-RA
14;AVIR_01619-RA
14;AVIR_01620-RA
14;AVIR_01621-RA
14;AVIR_01622-RA
14;AVIR_01661-RA
14;AVIR_01666-RA
14;AVIR_01667-RA
14;AVIR_01682-RA
14;AVIR_01693-RA
14;AVIR_01694-RA
14;AVIR_01695-RA
14;AVIR_01699-RA
14;AVIR_01702-RA
14;AVIR_01762-RA
14;AVIR_01764-RA
14;AVIR_01765-RA
14;AVIR_01766-RA
14;AVIR_01768-RA
14;AVIR_01769-RA
14;AVIR_01770-RA
14;AVIR_01772-RA
14;AVIR_01775-RA
14;AVIR_01779-RA
14;AVIR_01791-RA
14;AVIR_01793-RA
14;AVIR_01795-RA
14;AVIR_01798-RA
14;AVIR_01800-RA
14;AVIR_01802-RA
14;AVIR_01823-RA
14;AVIR_01855-RA
14;AVIR_01861-RA
14;AVIR_01863-RA
14;AVIR_01866-RA
14;AVIR_01868-RA
14;AVIR_01877-RA
14;AVIR_01882-RA
14;AVIR_01888-RA
14;AVIR_01889-RA
14;AVIR_01894-RB
14;AVIR_01935-RA
14;AVIR_01938-RA
14;AVIR_01964-RA
14;AVIR_01965-RA
14;AVIR_02014-RA
14;AVIR_02036-RA
14;AVIR_02048-RA
14;AVIR_02062-RA
14;AVIR_02068-RA
14;AVIR_02124-RA
14;AVIR_02127-RA
14;AVIR_02134-RA
14;AVIR_02174-RA
14;AVIR_02184-RA
14;AVIR_02193-RA
14;AVIR_02195-RA
14;AVIR_02202-RA
14;AVIR_02212-RA
14;AVIR_02213-RA
14;AVIR_02244-RA
14;AVIR_02249-RA
14;AVIR_02253-RA
14;AVIR_02262-RA
14;AVIR_02285-RA
14;AVIR_02315-RA
14;AVIR_02325-RA
14;AVIR_02346-RA
14;AVIR_02351-RA
14;AVIR_02359-RA
14;AVIR_02375-RA
14;AVIR_02384-RA
14;AVIR_02403-RB
14;AVIR_02409-RA
14;AVIR_02452-RA
14;AVIR_02491-RA
14;AVIR_02516-RA
14;AVIR_02519-RA
14;AVIR_02520-RA
14;AVIR_02523-RA
14;AVIR_02529-RB
14;AVIR_02533-RA
14;AVIR_02590-RA
14;AVIR_02658-RA
14;AVIR_02683-RA
14;AVIR_02684-RA
14;AVIR_02708-RA
14;AVIR_02709-RA
14;AVIR_02725-RA
14;AVIR_02743-RA
14;AVIR_02778-RA
14;AVIR_02785-RA
14;AVIR_02787-RA
14;AVIR_02829-RA
14;AVIR_02850-RA
14;AVIR_02852-RA
14;AVIR_02857-RC
14;AVIR_02901-RA
14;AVIR_02927-RB
14;AVIR_02970-RA
14;AVIR_02975-RA
14;AVIR_02977-RA
14;AVIR_02978-RA
14;AVIR_03030-RA
14;AVIR_03076-RA
14;AVIR_03091-RA
14;AVIR_03104-RA
14;AVIR_03112-RA
14;AVIR_03133-RA
14;AVIR_03134-RA
14;AVIR_03142-RA
