PS;GeneID
14;LPAU_00057-RA
14;LPAU_00062-RA
14;LPAU_00064-RA
14;LPAU_00070-RA
14;LPAU_00081-RA
14;LPAU_00087-RA
14;LPAU_00105-RA
14;LPAU_00108-RA
14;LPAU_00135-RA
14;LPAU_00138-RA
14;LPAU_00139-RA
14;LPAU_00140-RA
14;LPAU_00143-RA
14;LPAU_00148-RA
14;LPAU_00154-RA
14;LPAU_00170-RA
14;LPAU_00172-RA
14;LPAU_00173-RA
14;LPAU_00178-RA
14;LPAU_00179-RA
14;LPAU_00180-RA
14;LPAU_00181-RA
14;LPAU_00182-RA
14;LPAU_00185-RA
14;LPAU_00214-RA
14;LPAU_00215-RA
14;LPAU_00223-RA
14;LPAU_00254-RA
14;LPAU_00267-RA
14;LPAU_00294-RA
14;LPAU_00341-RA
14;LPAU_00348-RA
14;LPAU_00359-RA
14;LPAU_00361-RA
14;LPAU_00390-RA
14;LPAU_00396-RA
14;LPAU_00397-RA
14;LPAU_00398-RA
14;LPAU_00399-RA
14;LPAU_00400-RA
14;LPAU_00407-RA
14;LPAU_00416-RA
14;LPAU_00419-RA
14;LPAU_00438-RA
14;LPAU_00442-RA
14;LPAU_00446-RA
14;LPAU_00457-RA
14;LPAU_00473-RA
14;LPAU_00483-RA
14;LPAU_00484-RA
14;LPAU_00485-RA
14;LPAU_00504-RA
14;LPAU_00509-RA
14;LPAU_00510-RA
14;LPAU_00512-RA
14;LPAU_00518-RA
14;LPAU_00534-RA
14;LPAU_00589-RA
14;LPAU_00608-RA
14;LPAU_00613-RA
14;LPAU_00631-RA
14;LPAU_00632-RA
14;LPAU_00637-RA
14;LPAU_00638-RA
14;LPAU_00639-RA
14;LPAU_00659-RA
14;LPAU_00660-RA
14;LPAU_00679-RA
14;LPAU_00682-RA
14;LPAU_00700-RA
14;LPAU_00723-RA
14;LPAU_00724-RA
14;LPAU_00731-RA
14;LPAU_00732-RA
14;LPAU_00745-RA
14;LPAU_00766-RA
14;LPAU_00768-RA
14;LPAU_00769-RA
14;LPAU_00792-RA
14;LPAU_00793-RA
14;LPAU_00794-RA
14;LPAU_00812-RA
14;LPAU_00813-RA
14;LPAU_00818-RB
14;LPAU_00853-RA
14;LPAU_00858-RA
14;LPAU_00868-RA
14;LPAU_00880-RA
14;LPAU_00896-RA
14;LPAU_00897-RA
14;LPAU_00900-RA
14;LPAU_00901-RA
14;LPAU_00904-RA
14;LPAU_00905-RA
14;LPAU_00906-RA
