PS;GeneID
14;rna-XM_017931869.1
14;rna-XM_017931877.1
14;rna-XM_017931883.1
14;rna-XM_017931886.1
14;rna-XM_017931889.1
14;rna-XM_017931890.1
14;rna-XM_017931906.1
14;rna-XM_017931946.1
14;rna-XM_017931999.1
14;rna-XM_017932000.1
14;rna-XM_017932008.1
14;rna-XM_017932029.1
14;rna-XM_017932032.1
14;rna-XM_017932120.1
14;rna-XM_017932122.1
14;rna-XM_017932137.1
14;rna-XM_017932146.1
14;rna-XM_017932168.1
14;rna-XM_017932171.1
14;rna-XM_017932190.1
14;rna-XM_017932224.1
14;rna-XM_017932226.1
14;rna-XM_017932232.1
14;rna-XM_017932235.1
14;rna-XM_017932245.1
14;rna-XM_017932246.1
14;rna-XM_017932247.1
14;rna-XM_017932248.1
14;rna-XM_017932259.1
14;rna-XM_017932260.1
14;rna-XM_017932262.1
14;rna-XM_017932264.1
14;rna-XM_017932271.1
14;rna-XM_017932275.1
14;rna-XM_017932294.1
14;rna-XM_017932299.1
14;rna-XM_017932304.1
14;rna-XM_017932315.1
14;rna-XM_017932327.1
14;rna-XM_017932348.1
14;rna-XM_017932349.1
14;rna-XM_017932366.1
14;rna-XM_017932372.1
14;rna-XM_017932394.1
14;rna-XM_017932485.1
14;rna-XM_017932499.1
14;rna-XM_017932512.1
14;rna-XM_017932521.1
14;rna-XM_017932527.1
14;rna-XM_017932540.1
14;rna-XM_017932566.1
14;rna-XM_017932580.1
14;rna-XM_017932670.1
14;rna-XM_017932677.1
14;rna-XM_017932695.1
14;rna-XM_017932696.1
14;rna-XM_017932712.1
14;rna-XM_017932714.1
14;rna-XM_017932715.1
14;rna-XM_017932717.1
14;rna-XM_017932718.1
14;rna-XM_017932721.1
14;rna-XM_017932757.1
14;rna-XM_017932765.1
14;rna-XM_017932768.1
14;rna-XM_017932813.1
14;rna-XM_017932860.1
14;rna-XM_017932863.1
14;rna-XM_017932892.1
14;rna-XM_017932942.1
14;rna-XM_017932983.1
14;rna-XM_017932987.1
14;rna-XM_017932988.1
14;rna-XM_017932990.1
14;rna-XM_017933016.1
14;rna-XM_017933018.1
14;rna-XM_017933020.1
14;rna-XM_017933027.1
14;rna-XM_017933104.1
14;rna-XM_017933114.1
14;rna-XM_017933122.1
14;rna-XM_017933164.1
14;rna-XM_017933222.1
14;rna-XM_017933223.1
14;rna-XM_017933230.1
14;rna-XM_017933238.1
14;rna-XM_017933251.1
14;rna-XM_017933252.1
14;rna-XM_017933253.1
14;rna-XM_017933254.1
14;rna-XM_017933255.1
14;rna-XM_017933310.1
14;rna-XM_017933356.1
14;rna-XM_017933357.1
14;rna-XM_017933381.1
14;rna-XM_017933386.1
14;rna-XM_017933399.1
14;rna-XM_017933407.1
14;rna-XM_017933414.1
14;rna-XM_017933429.1
14;rna-XM_017933435.1
14;rna-XM_017933467.1
14;rna-XM_017933491.1
14;rna-XM_017933573.1
14;rna-XM_017933581.1
14;rna-XM_017933606.1
14;rna-XM_017933672.1
14;rna-XM_017933683.1
14;rna-XM_017933695.1
14;rna-XM_017933712.1
14;rna-XM_017933746.1
14;rna-XM_017933747.1
14;rna-XM_017933801.1
14;rna-XM_017933846.1
14;rna-XM_017933865.1
14;rna-XM_017933935.1
14;rna-XM_017933961.1
14;rna-XM_017933976.1
14;rna-XM_017933987.1
14;rna-XM_017934017.1
14;rna-XM_017934036.1
14;rna-XM_017934039.1
14;rna-XM_017934042.1
14;rna-XM_017934068.1
14;rna-XM_017934076.1
14;rna-XM_017934098.1
14;rna-XM_017934103.1
14;rna-XM_017934140.1
14;rna-XM_017934141.1
14;rna-XM_017934145.1
14;rna-XM_017934172.1
14;rna-XM_017934199.1
14;rna-XM_017934202.1
14;rna-XM_017934223.1
14;rna-XM_017934250.1
14;rna-XM_017934256.1
14;rna-XM_017934308.1
14;rna-XM_017934331.1
14;rna-XM_017934333.1
14;rna-XM_017934337.1
14;rna-XM_017934356.1
14;rna-XM_017934358.1
14;rna-XM_017934363.1
14;rna-XM_017934374.1
14;rna-XM_017934396.1
14;rna-XM_017934399.1
14;rna-XM_017934452.1
14;rna-XM_017934484.1
14;rna-XM_017934502.1
14;rna-XM_017934530.1
14;rna-XM_017934587.1
14;rna-XM_017934621.1
14;rna-XM_017934625.1
14;rna-XM_017934640.1
14;rna-XM_017934647.1
14;rna-XM_017934686.1
14;rna-XM_017934696.1
14;rna-XM_017934702.1
14;rna-XM_017934704.1
14;rna-XM_017934718.1
14;rna-XM_017934750.1
