PS;GeneID
14;TDIV_00000013-RA
14;TDIV_00000014-RA
14;TDIV_00000019-RA
14;TDIV_00000033-RA
14;TDIV_00000036-RA
14;TDIV_00000042-RA
14;TDIV_00000046-RA
14;TDIV_00000049-RA
14;TDIV_00000052-RA
14;TDIV_00000092-RA
14;TDIV_00000106-RA
14;TDIV_00000129-RA
14;TDIV_00000150-RA
14;TDIV_00000175-RA
14;TDIV_00000179-RA
14;TDIV_00000192-RA
14;TDIV_00000206-RA
14;TDIV_00000207-RA
14;TDIV_00000213-RA
14;TDIV_00000227-RA
14;TDIV_00000231-RA
14;TDIV_00000241-RA
14;TDIV_00000249-RA
14;TDIV_00000274-RA
14;TDIV_00000280-RA
14;TDIV_00000287-RA
14;TDIV_00000295-RA
14;TDIV_00000300-RA
14;TDIV_00000345-RA
14;TDIV_00000381-RA
14;TDIV_00000383-RA
14;TDIV_00000394-RA
14;TDIV_00000401-RA
14;TDIV_00000407-RA
14;TDIV_00000408-RA
14;TDIV_00000411-RA
14;TDIV_00000418-RA
14;TDIV_00000419-RA
14;TDIV_00000423-RA
14;TDIV_00000424-RA
14;TDIV_00000425-RA
14;TDIV_00000426-RA
14;TDIV_00000429-RA
14;TDIV_00000430-RA
14;TDIV_00000437-RA
14;TDIV_00000439-RA
14;TDIV_00000441-RA
14;TDIV_00000443-RA
14;TDIV_00000444-RA
14;TDIV_00000445-RA
14;TDIV_00000448-RA
14;TDIV_00000486-RA
14;TDIV_00000491-RA
14;TDIV_00000507-RA
14;TDIV_00000516-RA
14;TDIV_00000540-RA
14;TDIV_00000542-RA
14;TDIV_00000543-RA
14;TDIV_00000544-RA
14;TDIV_00000548-RA
14;TDIV_00000554-RA
14;TDIV_00000579-RA
14;TDIV_00000583-RA
14;TDIV_00000594-RA
14;TDIV_00000596-RA
14;TDIV_00000601-RA
14;TDIV_00000618-RA
14;TDIV_00000619-RA
14;TDIV_00000631-RA
14;TDIV_00000658-RA
14;TDIV_00000665-RA
14;TDIV_00000666-RA
14;TDIV_00000667-RA
14;TDIV_00000668-RA
14;TDIV_00000674-RA
14;TDIV_00000675-RA
14;TDIV_00000678-RA
14;TDIV_00000680-RA
14;TDIV_00000722-RA
14;TDIV_00000738-RA
14;TDIV_00000771-RA
14;TDIV_00000797-RA
14;TDIV_00000798-RA
14;TDIV_00000803-RA
14;TDIV_00000809-RA
14;TDIV_00000817-RA
14;TDIV_00000819-RA
14;TDIV_00000820-RA
14;TDIV_00000821-RA
14;TDIV_00000834-RA
14;TDIV_00000835-RA
14;TDIV_00000836-RA
14;TDIV_00000846-RA
14;TDIV_00000856-RA
14;TDIV_00000860-RA
14;TDIV_00000864-RA
14;TDIV_00000869-RA
14;TDIV_00000872-RA
14;TDIV_00000875-RA
14;TDIV_00000881-RA
14;TDIV_00000883-RA
14;TDIV_00000924-RA
14;TDIV_00000949-RA
14;TDIV_00000953-RA
14;TDIV_00000968-RA
14;TDIV_00000973-RA
14;TDIV_00000978-RA
14;TDIV_00000986-RA
14;TDIV_00000992-RA
14;TDIV_00001007-RA
14;TDIV_00001010-RA
14;TDIV_00001197-RA
14;TDIV_00001203-RA
14;TDIV_00001204-RA
14;TDIV_00001205-RA
14;TDIV_00001208-RA
14;TDIV_00001216-RA
14;TDIV_00001229-RA
14;TDIV_00001244-RA
14;TDIV_00001245-RA
14;TDIV_00001248-RA
14;TDIV_00001356-RA
14;TDIV_00001364-RA
14;TDIV_00001384-RA
14;TDIV_00001412-RA
14;TDIV_00001436-RA
14;TDIV_00001440-RA
14;TDIV_00001547-RA
14;TDIV_00001561-RA
14;TDIV_00001562-RA
14;TDIV_00001565-RA
14;TDIV_00001569-RA
14;TDIV_00001584-RA
14;TDIV_00001588-RA
14;TDIV_00001610-RA
14;TDIV_00001614-RA
14;TDIV_00001630-RA
14;TDIV_00001637-RA
14;TDIV_00001640-RA
14;TDIV_00001650-RA
14;TDIV_00001656-RA
14;TDIV_00001694-RA
14;TDIV_00001695-RA
14;TDIV_00001697-RA
14;TDIV_00001722-RA
14;TDIV_00001745-RA
14;TDIV_00001746-RA
14;TDIV_00001759-RA
14;TDIV_00001781-RA
14;TDIV_00001791-RA
14;TDIV_00001824-RA
14;TDIV_00001829-RA
14;TDIV_00001848-RA
14;TDIV_00001864-RA
14;TDIV_00001882-RA
14;TDIV_00001896-RA
14;TDIV_00001904-RA
14;TDIV_00001911-RA
14;TDIV_00001917-RA
14;TDIV_00001933-RA
14;TDIV_00001935-RA
14;TDIV_00001950-RA
14;TDIV_00001952-RA
14;TDIV_00001956-RA
14;TDIV_00001957-RA
14;TDIV_00001972-RA
14;TDIV_00001983-RA
14;TDIV_00001987-RA
14;TDIV_00001992-RA
14;TDIV_00001998-RA
14;TDIV_00002003-RA
14;TDIV_00002064-RA
14;TDIV_00002075-RA
14;TDIV_00002076-RA
14;TDIV_00002078-RA
14;TDIV_00002080-RA
14;TDIV_00002087-RA
14;TDIV_00002091-RA
14;TDIV_00002104-RA
14;TDIV_00002116-RA
14;TDIV_00002150-RA
14;TDIV_00002165-RA
14;TDIV_00002167-RA
14;TDIV_00002169-RA
14;TDIV_00002173-RA
14;TDIV_00002193-RA
14;TDIV_00002235-RA
14;TDIV_00002248-RA
14;TDIV_00002249-RA
14;TDIV_00002252-RA
14;TDIV_00002253-RA
14;TDIV_00002256-RA
14;TDIV_00002266-RA
14;TDIV_00002268-RA
14;TDIV_00002273-RA
14;TDIV_00002291-RA
14;TDIV_00002300-RA
14;TDIV_00002306-RA
14;TDIV_00002308-RA
14;TDIV_00002311-RA
14;TDIV_00002316-RA
14;TDIV_00002338-RA
14;TDIV_00002340-RA
14;TDIV_00002343-RA
14;TDIV_00002349-RA
14;TDIV_00002355-RA
14;TDIV_00002361-RA
14;TDIV_00002382-RA
14;TDIV_00002400-RA
14;TDIV_00002401-RA
14;TDIV_00002402-RA
14;TDIV_00002403-RA
14;TDIV_00002404-RA
14;TDIV_00002421-RA
14;TDIV_00002422-RA
14;TDIV_00002428-RA
14;TDIV_00002433-RA
14;TDIV_00002438-RA
14;TDIV_00002446-RA
14;TDIV_00002475-RA
14;TDIV_00002477-RA
14;TDIV_00002479-RA
14;TDIV_00002497-RA
14;TDIV_00002535-RA
14;TDIV_00002543-RA
14;TDIV_00002548-RA
14;TDIV_00002577-RA
14;TDIV_00002579-RA
14;TDIV_00002586-RA
14;TDIV_00002587-RA
14;TDIV_00002588-RA
14;TDIV_00002592-RA
14;TDIV_00002593-RA
14;TDIV_00002595-RA
14;TDIV_00002596-RA
14;TDIV_00002597-RA
14;TDIV_00002602-RA
14;TDIV_00002603-RA
14;TDIV_00002604-RA
14;TDIV_00002605-RA
14;TDIV_00002608-RA
14;TDIV_00002612-RA
14;TDIV_00002613-RA
14;TDIV_00002614-RA
14;TDIV_00002617-RA
14;TDIV_00002619-RA
14;TDIV_00002622-RA
14;TDIV_00002623-RA
14;TDIV_00002629-RA
14;TDIV_00002630-RA
14;TDIV_00002632-RA
14;TDIV_00002635-RA
14;TDIV_00002636-RA
14;TDIV_00002637-RA
14;TDIV_00002639-RA
14;TDIV_00002642-RA
14;TDIV_00002644-RA
14;TDIV_00002650-RA
14;TDIV_00002651-RA
14;TDIV_00002652-RA
14;TDIV_00002658-RA
14;TDIV_00002669-RA
14;TDIV_00002682-RA
14;TDIV_00002683-RA
14;TDIV_00002695-RA
14;TDIV_00002697-RA
14;TDIV_00002699-RA
14;TDIV_00002700-RA
14;TDIV_00002703-RA
14;TDIV_00002704-RA
14;TDIV_00002726-RA
14;TDIV_00002728-RA
14;TDIV_00002748-RA
14;TDIV_00002768-RA
14;TDIV_00002773-RA
14;TDIV_00002785-RA
14;TDIV_00002788-RA
14;TDIV_00002789-RA
14;TDIV_00002793-RA
14;TDIV_00002799-RA
14;TDIV_00002813-RA
14;TDIV_00002815-RA
14;TDIV_00002819-RA
14;TDIV_00002829-RA
14;TDIV_00002843-RA
14;TDIV_00002845-RA
14;TDIV_00002862-RA
14;TDIV_00002865-RA
14;TDIV_00002893-RA
14;TDIV_00002894-RA
14;TDIV_00002895-RA
14;TDIV_00002898-RA
14;TDIV_00002899-RA
14;TDIV_00002900-RA
14;TDIV_00002947-RA
14;TDIV_00002953-RA
14;TDIV_00002977-RA
14;TDIV_00002980-RA
14;TDIV_00002997-RA
14;TDIV_00002999-RA
14;TDIV_00003011-RA
