PS;GeneID
14;DNOV_00010
14;DNOV_00012
14;DNOV_00013
14;DNOV_00014
14;DNOV_00016
14;DNOV_00030
14;DNOV_00036
14;DNOV_00037
14;DNOV_00046
14;DNOV_00053
14;DNOV_00054
14;DNOV_00071
14;DNOV_00073
14;DNOV_00081
14;DNOV_00082
14;DNOV_00093
14;DNOV_00094
14;DNOV_00114
14;DNOV_00122
14;DNOV_00135
14;DNOV_00165
14;DNOV_00191
14;DNOV_00213
14;DNOV_00214
14;DNOV_00215
14;DNOV_00219
14;DNOV_00220
14;DNOV_00233
14;DNOV_00235
14;DNOV_00247
14;DNOV_00248
14;DNOV_00265
14;DNOV_00267
14;DNOV_00280
14;DNOV_00281
14;DNOV_00307
14;DNOV_00308
14;DNOV_00320
14;DNOV_00335
14;DNOV_00392
14;DNOV_00438
14;DNOV_00439
14;DNOV_00440
14;DNOV_00512
14;DNOV_00548
14;DNOV_00549
14;DNOV_00565
14;DNOV_00567
14;DNOV_00575
14;DNOV_00584
14;DNOV_00605
14;DNOV_00611
14;DNOV_00630
14;DNOV_00638
14;DNOV_00644
14;DNOV_00649
14;DNOV_00658
14;DNOV_00686
14;DNOV_00738
14;DNOV_00745
14;DNOV_00760
14;DNOV_00761
14;DNOV_00763
14;DNOV_00764
14;DNOV_00765
14;DNOV_00769
14;DNOV_00772
14;DNOV_00776
14;DNOV_00830
14;DNOV_00841
14;DNOV_00855
14;DNOV_00882
14;DNOV_00910
14;DNOV_00912
14;DNOV_00934
14;DNOV_00959
14;DNOV_00966
14;DNOV_00973
14;DNOV_00977
14;DNOV_00983
14;DNOV_00986
14;DNOV_01085
14;DNOV_01088
14;DNOV_01092
14;DNOV_01096
14;DNOV_01097
14;DNOV_01107
14;DNOV_01117
14;DNOV_01137
14;DNOV_01155
14;DNOV_01157
14;DNOV_01191
14;DNOV_01201
14;DNOV_01216
14;DNOV_01217
14;DNOV_01226
14;DNOV_01280
14;DNOV_01293
14;DNOV_01317
14;DNOV_01336
14;DNOV_01340
14;DNOV_01350
14;DNOV_01354
14;DNOV_01355
14;DNOV_01356
14;DNOV_01360
14;DNOV_01371
14;DNOV_01372
14;DNOV_01382
14;DNOV_01391
14;DNOV_01395
14;DNOV_01398
14;DNOV_01402
14;DNOV_01442
14;DNOV_01451
14;DNOV_01453
14;DNOV_01454
14;DNOV_01474
14;DNOV_01497
14;DNOV_01513
14;DNOV_01523
14;DNOV_01529
14;DNOV_01572
14;DNOV_01606
14;DNOV_01612
14;DNOV_01618
14;DNOV_01620
14;DNOV_01666
14;DNOV_01718
14;DNOV_01725
14;DNOV_01727
14;DNOV_01729
14;DNOV_01730
14;DNOV_01739
14;DNOV_01753
14;DNOV_01754
14;DNOV_01776
14;DNOV_01777
14;DNOV_01786
14;DNOV_01788
14;DNOV_01790
14;DNOV_01791
14;DNOV_01792
14;DNOV_01794
14;DNOV_01835
14;DNOV_01848
14;DNOV_01852
14;DNOV_01876
14;DNOV_01884
14;DNOV_01897
14;DNOV_01898
14;DNOV_01928
14;DNOV_01931
14;DNOV_01973
14;DNOV_01977
14;DNOV_01989
14;DNOV_01997
14;DNOV_02002
14;DNOV_02029
14;DNOV_02045
14;DNOV_02067
14;DNOV_02073
14;DNOV_02076
14;DNOV_02095
14;DNOV_02114
14;DNOV_02142
14;DNOV_02144
14;DNOV_02164
14;DNOV_02168
14;DNOV_02206
14;DNOV_02237
14;DNOV_02254
14;DNOV_02255
14;DNOV_02259
14;DNOV_02263
14;DNOV_02265
14;DNOV_02268
14;DNOV_02270
14;DNOV_02280
14;DNOV_02281
14;DNOV_02282
14;DNOV_02290
14;DNOV_02291
14;DNOV_02313
14;DNOV_02324
14;DNOV_02356
14;DNOV_02373
14;DNOV_02409
14;DNOV_02410
14;DNOV_02427
14;DNOV_02446
14;DNOV_02451
14;DNOV_02452
14;DNOV_02456
14;DNOV_02458
14;DNOV_02462
14;DNOV_02467
14;DNOV_02472
14;DNOV_02487
14;DNOV_02488
14;DNOV_02490
14;DNOV_02496
