PS;GeneID
14;transcript:ENSADOT00000000005
14;transcript:ENSADOT00000000013
14;transcript:ENSADOT00000000016
14;transcript:ENSADOT00000000046
14;transcript:ENSADOT00000000052
14;transcript:ENSADOT00000000056
14;transcript:ENSADOT00000000070
14;transcript:ENSADOT00000000109
14;transcript:ENSADOT00000000136
14;transcript:ENSADOT00000000156
14;transcript:ENSADOT00000000209
14;transcript:ENSADOT00000000222
14;transcript:ENSADOT00000000241
14;transcript:ENSADOT00000000246
14;transcript:ENSADOT00000000250
14;transcript:ENSADOT00000000253
14;transcript:ENSADOT00000000260
14;transcript:ENSADOT00000000346
14;transcript:ENSADOT00000000375
14;transcript:ENSADOT00000000414
14;transcript:ENSADOT00000000418
14;transcript:ENSADOT00000000424
14;transcript:ENSADOT00000000453
14;transcript:ENSADOT00000000486
14;transcript:ENSADOT00000000501
14;transcript:ENSADOT00000000513
14;transcript:ENSADOT00000000521
14;transcript:ENSADOT00000000580
14;transcript:ENSADOT00000000589
14;transcript:ENSADOT00000000596
14;transcript:ENSADOT00000000601
14;transcript:ENSADOT00000000605
14;transcript:ENSADOT00000000606
14;transcript:ENSADOT00000000656
14;transcript:ENSADOT00000000712
14;transcript:ENSADOT00000000718
14;transcript:ENSADOT00000000735
14;transcript:ENSADOT00000000749
14;transcript:ENSADOT00000000764
14;transcript:ENSADOT00000000771
14;transcript:ENSADOT00000000776
14;transcript:ENSADOT00000000785
14;transcript:ENSADOT00000000826
14;transcript:ENSADOT00000000838
14;transcript:ENSADOT00000000840
14;transcript:ENSADOT00000000849
14;transcript:ENSADOT00000000855
14;transcript:ENSADOT00000000929
14;transcript:ENSADOT00000000945
14;transcript:ENSADOT00000000957
14;transcript:ENSADOT00000000982
14;transcript:ENSADOT00000001059
14;transcript:ENSADOT00000001093
14;transcript:ENSADOT00000001126
14;transcript:ENSADOT00000001153
14;transcript:ENSADOT00000001166
14;transcript:ENSADOT00000001177
14;transcript:ENSADOT00000001226
14;transcript:ENSADOT00000001251
14;transcript:ENSADOT00000001252
14;transcript:ENSADOT00000001326
14;transcript:ENSADOT00000001337
14;transcript:ENSADOT00000001364
14;transcript:ENSADOT00000001373
14;transcript:ENSADOT00000001387
14;transcript:ENSADOT00000001426
14;transcript:ENSADOT00000001450
14;transcript:ENSADOT00000001465
14;transcript:ENSADOT00000001481
14;transcript:ENSADOT00000001484
14;transcript:ENSADOT00000001494
14;transcript:ENSADOT00000001502
14;transcript:ENSADOT00000001508
14;transcript:ENSADOT00000001531
14;transcript:ENSADOT00000001595
14;transcript:ENSADOT00000001606
14;transcript:ENSADOT00000001622
14;transcript:ENSADOT00000001629
14;transcript:ENSADOT00000001645
14;transcript:ENSADOT00000001733
14;transcript:ENSADOT00000001751
14;transcript:ENSADOT00000001760
14;transcript:ENSADOT00000001812
14;transcript:ENSADOT00000001828
14;transcript:ENSADOT00000001864
14;transcript:ENSADOT00000001937
14;transcript:ENSADOT00000001949
14;transcript:ENSADOT00000001951
14;transcript:ENSADOT00000001994
14;transcript:ENSADOT00000002028
14;transcript:ENSADOT00000002033
14;transcript:ENSADOT00000002043
14;transcript:ENSADOT00000002051
14;transcript:ENSADOT00000002055
14;transcript:ENSADOT00000002058
14;transcript:ENSADOT00000002062
14;transcript:ENSADOT00000002063
14;transcript:ENSADOT00000002067
14;transcript:ENSADOT00000002074
14;transcript:ENSADOT00000002082
14;transcript:ENSADOT00000002084
14;transcript:ENSADOT00000002119
14;transcript:ENSADOT00000002185
14;transcript:ENSADOT00000002197
14;transcript:ENSADOT00000002199
14;transcript:ENSADOT00000002233
14;transcript:ENSADOT00000002254
14;transcript:ENSADOT00000002270
14;transcript:ENSADOT00000002293
14;transcript:ENSADOT00000002309
14;transcript:ENSADOT00000002314
14;transcript:ENSADOT00000002325
14;transcript:ENSADOT00000002339
14;transcript:ENSADOT00000002345
14;transcript:ENSADOT00000002384
