PS;GeneID
14;rna-XM_043391833.1
14;rna-XM_043391906.1
14;rna-XM_043391908.1
14;rna-XM_043391924.1
14;rna-XM_043391934.1
14;rna-XM_043391935.1
14;rna-XM_043391943.1
14;rna-XM_043391980.1
14;rna-XM_043392014.1
14;rna-XM_043392110.1
14;rna-XM_043392113.1
14;rna-XM_043392138.1
14;rna-XM_043392230.1
14;rna-XM_043392279.1
14;rna-XM_043392348.1
14;rna-XM_043392349.1
14;rna-XM_043392353.1
14;rna-XM_043392382.1
14;rna-XM_043392386.1
14;rna-XM_043392480.1
14;rna-XM_043392489.1
14;rna-XM_043392506.1
14;rna-XM_043392548.1
14;rna-XM_043392550.1
14;rna-XM_043392564.1
14;rna-XM_043392574.1
14;rna-XM_043392577.1
14;rna-XM_043392643.1
14;rna-XM_043392648.1
14;rna-XM_043392660.1
14;rna-XM_043392663.1
14;rna-XM_043392664.1
14;rna-XM_043392707.1
14;rna-XM_043392709.1
14;rna-XM_043392711.1
14;rna-XM_043392712.1
14;rna-XM_043392721.1
14;rna-XM_043392724.1
14;rna-XM_043392753.1
14;rna-XM_043392772.1
14;rna-XM_043392773.1
14;rna-XM_043392788.1
14;rna-XM_043392831.1
14;rna-XM_043392842.1
14;rna-XM_043392867.1
14;rna-XM_043392878.1
14;rna-XM_043392939.1
14;rna-XM_043392952.1
14;rna-XM_043393004.1
14;rna-XM_043393060.1
14;rna-XM_043393083.1
14;rna-XM_043393119.1
14;rna-XM_043393124.1
14;rna-XM_043393136.1
14;rna-XM_043393229.1
14;rna-XM_043393263.1
14;rna-XM_043393515.1
14;rna-XM_043393573.1
14;rna-XM_043393598.1
14;rna-XM_043393635.1
14;rna-XM_043393675.1
14;rna-XM_043393678.1
14;rna-XM_043393708.1
14;rna-XM_043393775.1
14;rna-XM_043393795.1
14;rna-XM_043393796.1
14;rna-XM_043393808.1
14;rna-XM_043393809.1
14;rna-XM_043393819.1
14;rna-XM_043393855.1
14;rna-XM_043393985.1
14;rna-XM_043393986.1
14;rna-XM_043394022.1
14;rna-XM_043394045.1
14;rna-XM_043394077.1
14;rna-XM_043394094.1
14;rna-XM_043394112.1
14;rna-XM_043394204.1
14;rna-XM_043394252.1
14;rna-XM_043394264.1
14;rna-XM_043394284.1
14;rna-XM_043394289.1
14;rna-XM_043394318.1
14;rna-XM_043394324.1
14;rna-XM_043394344.1
14;rna-XM_043394351.1
14;rna-XM_043394403.1
14;rna-XM_043394405.1
14;rna-XM_043394528.1
14;rna-XM_043394601.1
14;rna-XM_043394627.1
14;rna-XM_043394628.1
14;rna-XM_043394629.1
14;rna-XM_043394656.1
14;rna-XM_043394662.1
14;rna-XM_043394664.1
14;rna-XM_043394666.1
14;rna-XM_043394709.1
14;rna-XM_043394750.1
14;rna-XM_043394763.1
14;rna-XM_043394808.1
14;rna-XM_043394894.1
14;rna-XM_043394899.1
14;rna-XM_043394947.1
14;rna-XM_043394970.1
14;rna-XM_043395026.1
14;rna-XM_043395054.1
14;rna-XM_043395073.1
14;rna-XM_043395085.1
14;rna-XM_043395127.1
14;rna-XM_043395153.1
14;rna-XM_043395154.1
14;rna-XM_043395157.1
14;rna-XM_043395166.1
14;rna-XM_043395178.1
14;rna-XM_043395226.1
14;rna-XM_043395231.1
14;rna-XM_043395261.1
14;rna-XM_043395263.1
14;rna-XM_043395271.1
14;rna-XM_043395276.1
14;rna-XM_043395290.1
14;rna-XM_043395297.1
14;rna-XM_043395327.1
14;rna-XM_043395329.1
14;rna-XM_043395347.1
14;rna-XM_043395359.1
14;rna-XM_043395447.1
14;rna-XM_043395522.1
14;rna-XM_043395533.1
14;rna-XM_043395537.1
14;rna-XM_043395538.1
14;rna-XM_043395539.1
14;rna-XM_043395541.1
14;rna-XM_043395542.1
14;rna-XM_043395543.1
14;rna-XM_043395563.1
14;rna-XM_043395568.1
14;rna-XM_043395572.1
14;rna-XM_043395596.1
14;rna-XM_043395604.1
14;rna-XM_043395615.1
14;rna-XM_043395629.1
14;rna-XM_043395640.1
14;rna-XM_043395641.1
14;rna-XM_043395642.1
14;rna-XM_043395643.1
14;rna-XM_043395644.1
14;rna-XM_043395672.1
14;rna-XM_043395678.1
14;rna-XM_043395680.1
14;rna-XM_043395699.1
14;rna-XM_043395734.1
14;rna-XM_043395741.1
14;rna-XM_043395742.1
14;rna-XM_043395748.1
14;rna-XM_043395749.1
14;rna-XM_043395759.1
14;rna-XM_043395760.1
14;rna-XM_043395761.1
14;rna-XM_043395787.1
14;rna-XM_043395793.1
14;rna-XM_043395797.1
14;rna-XM_043395798.1
14;rna-XM_043395809.1
14;rna-XM_043395812.1
14;rna-XM_043395816.1
14;rna-XM_043395839.1
14;rna-XM_043395879.1
14;rna-XM_043395932.1
14;rna-XM_043395935.1
14;rna-XM_043395957.1
14;rna-XM_043395992.1
14;rna-XM_043396015.1
14;rna-XM_043396024.1
14;rna-XM_043396027.1
14;rna-XM_043396039.1
14;rna-XM_043396097.1
14;rna-XM_043396122.1
14;rna-XM_043396167.1
14;rna-XM_043396169.1
14;rna-XM_043396220.1
14;rna-XM_043396281.1
14;rna-XM_043396307.1
14;rna-XM_043396358.1
14;rna-XM_043396398.1
14;rna-XM_043396401.1
14;rna-XM_043396416.1
14;rna-XM_043396419.1
14;rna-XM_043396421.1
14;rna-XM_043396426.1
14;rna-XM_043396447.1
14;rna-XM_043396456.1
14;rna-XM_043396480.1
14;rna-XM_043396482.1
14;rna-XM_043396525.1
14;rna-XM_043396528.1
14;rna-XM_043396543.1
14;rna-XM_043396566.1
14;rna-XM_043396569.1
14;rna-XM_043396570.1
14;rna-XM_043396590.1
14;rna-XM_043396592.1
14;rna-XM_043396597.1
14;rna-XM_043396600.1
14;rna-XM_043396622.1
14;rna-XM_043396625.1
14;rna-XM_043396679.1
14;rna-XM_043396680.1
14;rna-XM_043396704.1
14;rna-XM_043396797.1
14;rna-XM_043396798.1
14;rna-XM_043396812.1
14;rna-XM_043396820.1
14;rna-XM_043396840.1
14;rna-XM_043396883.1
14;rna-XM_043396906.1
14;rna-XM_043396956.1
14;rna-XM_043396959.1
14;rna-XM_043397019.1
14;rna-XM_043397036.1
14;rna-XM_043397066.1
14;rna-XM_043397091.1
14;rna-XM_043397150.1
14;rna-XM_043397152.1
14;rna-XM_043397157.1
14;rna-XM_043397182.1
14;rna-XM_043397275.1
14;rna-XM_043397306.1
14;rna-XM_043397309.1
14;rna-XM_043397310.1
14;rna-XM_043397311.1
14;rna-XM_043397312.1
14;rna-XM_043397313.1
14;rna-XM_043397327.1
14;rna-XM_043397398.1
14;rna-XM_043397399.1
14;rna-XM_043397401.1
14;rna-XM_043397410.1
14;rna-XM_043397417.1
14;rna-XM_043397422.1
14;rna-XM_043397424.1
14;rna-XM_043397425.1
14;rna-XM_043397427.1
14;rna-XM_043397430.1
14;rna-XM_043397432.1
14;rna-XM_043397434.1
14;rna-XM_043397435.1
14;rna-XM_043397437.1
14;rna-XM_043397505.1
14;rna-XM_043397507.1
14;rna-XM_043397569.1
14;rna-XM_043397592.1
14;rna-XM_043397616.1
14;rna-XM_043397619.1
14;rna-XM_043397660.1
14;rna-XM_043397695.1
14;rna-XM_043397720.1
14;rna-XM_043397840.1
14;rna-XM_043397852.1
14;rna-XM_043397903.1
14;rna-XM_043397960.1
14;rna-XM_043397979.1
14;rna-XM_043397984.1
14;rna-XM_043398005.1
14;rna-XM_043398054.1
14;rna-XM_043398061.1
14;rna-XM_043398146.1
14;rna-XM_043398158.1
14;rna-XM_043398194.1
14;rna-XM_043398204.1
14;rna-XM_043398211.1
14;rna-XM_043398264.1
14;rna-XM_043398297.1
14;rna-XM_043398299.1
14;rna-XM_043398311.1
14;rna-XM_043398315.1
14;rna-XM_043398404.1
14;rna-XM_043398434.1
14;rna-XM_043398436.1
14;rna-XM_043398462.1
14;rna-XM_043398476.1
14;rna-XM_043398534.1
14;rna-XM_043398631.1
14;rna-XM_043398644.1
14;rna-XM_043398656.1
14;rna-XM_043398732.1
14;rna-XM_043398739.1
14;rna-XM_043398781.1
14;rna-XM_043398821.1
14;rna-XM_043398861.1
14;rna-XM_043399024.1
14;rna-XM_043399035.1
14;rna-XM_043399036.1
14;rna-XM_043399154.1
14;rna-XM_043399157.1
14;rna-XM_043399160.1
14;rna-XM_043399165.1
14;rna-XM_043399183.1
14;rna-XM_043399216.1
14;rna-XM_043399217.1
14;rna-XM_043399227.1
14;rna-XM_043399228.1
14;rna-XM_043399229.1
14;rna-XM_043399238.1
14;rna-XM_043399348.1
14;rna-XM_043399386.1
14;rna-XM_043399414.1
14;rna-XM_043399475.1
14;rna-XM_043399485.1
14;rna-XM_043399506.1
14;rna-XM_043399546.1
14;rna-XM_043399562.1
14;rna-XM_043399615.1
14;rna-XM_043399683.1
14;rna-XM_043399701.1
14;rna-XM_043399713.1
14;rna-XM_043399738.1
14;rna-XM_043399793.1
14;rna-XM_043399794.1
14;rna-XM_043399804.1
14;rna-XM_043399845.1
14;rna-XM_043399858.1
14;rna-XM_043399870.1
14;rna-XM_043399893.1
14;rna-XM_043399938.1
14;rna-XM_043399983.1
14;rna-XM_043399990.1
14;rna-XM_043399992.1
14;rna-XM_043400010.1
14;rna-XM_043400023.1
14;rna-XM_043400025.1
14;rna-XM_043400103.1
14;rna-XM_043400108.1
14;rna-XM_043400109.1
14;rna-XM_043400122.1
14;rna-XM_043400134.1
14;rna-XM_043400150.1
14;rna-XM_043400155.1
14;rna-XM_043400156.1
14;rna-XM_043400159.1
14;rna-XM_043400160.1
14;rna-XM_043400168.1
14;rna-XM_043400187.1
14;rna-XM_043400286.1
14;rna-XM_043400326.1
14;rna-XM_043400338.1
14;rna-XM_043400346.1
14;rna-XM_043400378.1
14;rna-XM_043400396.1
14;rna-XM_043400400.1
14;rna-XM_043400418.1
14;rna-XM_043400420.1
14;rna-XM_043400461.1
14;rna-XM_043400487.1
14;rna-XM_043400493.1
14;rna-XM_043400510.1
14;rna-XM_043400524.1
14;rna-XM_043400526.1
14;rna-XM_043400528.1
14;rna-XM_043400574.1
14;rna-XM_043400585.1
14;rna-XM_043400611.1
14;rna-XM_043400615.1
14;rna-XM_043400630.1
14;rna-XM_043400685.1
14;rna-XM_043400747.1
14;rna-XM_043400761.1
14;rna-XM_043400771.1
14;rna-XM_043400825.1
14;rna-XM_043400864.1
14;rna-XM_043400866.1
14;rna-XM_043400874.1
14;rna-XM_043400911.1
14;rna-XM_043400913.1
14;rna-XM_043400936.1
14;rna-XM_043400941.1
14;rna-XM_043400954.1
14;rna-XM_043401092.1
14;rna-XM_043401149.1
14;rna-XM_043401345.1
14;rna-XM_043401346.1
14;rna-XM_043401347.1
14;rna-XM_043401382.1
14;rna-XM_043401417.1
14;rna-XM_043401451.1
14;rna-XM_043401478.1
14;rna-XM_043401481.1
14;rna-XM_043401520.1
14;rna-XM_043401532.1
14;rna-XM_043401575.1
14;rna-XM_043401586.1
14;rna-XM_043401603.1
14;rna-XM_043401604.1
14;rna-XM_043401611.1
14;rna-XM_043401617.1
14;rna-XM_043401650.1
14;rna-XM_043401679.1
14;rna-XM_043401710.1
14;rna-XM_043401712.1
14;rna-XM_043401716.1
14;rna-XM_043401772.1
14;rna-XM_043401777.1
14;rna-XM_043401794.1
14;rna-XM_043401841.1
14;rna-XM_043401842.1
14;rna-XM_043401843.1
14;rna-XM_043401846.1
14;rna-XM_043401882.1
14;rna-XM_043401909.1
14;rna-XM_043401919.1
14;rna-XM_043401951.1
14;rna-XM_043401953.1
14;rna-XM_043401954.1
14;rna-XM_043401961.1
14;rna-XM_043401964.1
14;rna-XM_043401966.1
14;rna-XM_043401972.1
14;rna-XM_043401975.1
14;rna-XM_043402010.1
14;rna-XM_043402011.1
14;rna-XM_043402038.1
14;rna-XM_043402039.1
14;rna-XM_043402042.1
14;rna-XM_043402085.1
14;rna-XM_043402101.1
14;rna-XM_043402104.1
14;rna-XM_043402105.1
14;rna-XM_043402109.1
14;rna-XM_043402113.1
14;rna-XM_043402115.1
14;rna-XM_043402116.1
14;rna-XM_043402117.1
14;rna-XM_043402253.1
14;rna-XM_043402257.1
14;rna-XM_043402259.1
14;rna-XM_043402324.1
14;rna-XM_043402342.1
14;rna-XM_043402378.1
14;rna-XM_043402465.1
14;rna-XM_043402572.1
14;rna-XM_043402589.1
14;rna-XM_043402608.1
14;rna-XM_043402622.1
14;rna-XM_043402674.1
14;rna-XM_043402868.1
14;rna-XM_043402875.1
14;rna-XM_043402876.1
14;rna-XM_043402880.1
14;rna-XM_043402938.1
14;rna-XM_043402969.1
14;rna-XM_043402980.1
14;rna-XM_043402993.1
14;rna-XM_043403001.1
14;rna-XM_043403003.1
14;rna-XM_043403005.1
14;rna-XM_043403018.1
14;rna-XM_043403023.1
14;rna-XM_043403028.1
14;rna-XM_043403092.1
14;rna-XM_043403095.1
14;rna-XM_043403098.1
14;rna-XM_043403099.1
14;rna-XM_043403100.1
14;rna-XM_043403102.1
14;rna-XM_043403103.1
14;rna-XM_043403104.1
14;rna-XM_043403106.1
14;rna-XM_043403115.1
14;rna-XM_043403124.1
14;rna-XM_043403138.1
14;rna-XM_043403145.1
14;rna-XM_043403156.1
14;rna-XM_043403165.1
14;rna-XM_043403168.1
14;rna-XM_043403170.1
14;rna-XM_043403187.1
14;rna-XM_043403198.1
14;rna-XM_043403296.1
14;rna-XM_043403297.1
14;rna-XM_043403306.1
14;rna-XM_043403319.1
14;rna-XM_043403357.1
14;rna-XM_043403371.1
14;rna-XM_043403373.1
14;rna-XM_043403374.1
14;rna-XM_043403375.1
14;rna-XM_043403376.1
14;rna-XM_043403378.1
14;rna-XM_043403390.1
14;rna-XM_043403397.1
14;rna-XM_043403435.1
14;rna-XM_043403465.1
14;rna-XM_043403477.1
14;rna-XM_043403520.1
14;rna-XM_043403544.1
14;rna-XM_043403598.1
14;rna-XM_043403611.1
14;rna-XM_043403625.1
14;rna-XM_043403634.1
14;rna-XM_043403635.1
14;rna-XM_043403637.1
14;rna-XM_043403706.1
14;rna-XM_043403748.1
14;rna-XM_043403795.1
14;rna-XM_043403799.1
14;rna-XM_043403803.1
14;rna-XM_043403810.1
14;rna-XM_043403837.1
14;rna-XM_043403838.1
14;rna-XM_043403847.1
14;rna-XM_043403848.1
14;rna-XM_043403851.1
14;rna-XM_043403883.1
14;rna-XM_043403906.1
14;rna-XM_043403924.1
14;rna-XM_043403955.1
14;rna-XM_043403962.1
14;rna-XM_043403967.1
14;rna-XM_043404007.1
14;rna-XM_043404053.1
14;rna-XM_043404062.1
14;rna-XM_043404072.1
14;rna-XM_043404112.1
14;rna-XM_043404159.1
14;rna-XM_043404180.1
14;rna-XM_043404270.1
14;rna-XM_043404279.1
14;rna-XM_043404293.1
14;rna-XM_043404296.1
14;rna-XM_043404300.1
14;rna-XM_043404310.1
14;rna-XM_043404322.1
14;rna-XM_043404350.1
14;rna-XM_043404351.1
14;rna-XM_043404401.1
14;rna-XM_043404405.1
14;rna-XM_043404433.1
14;rna-XM_043404441.1
14;rna-XM_043404527.1
14;rna-XM_043404549.1
14;rna-XM_043404651.1
14;rna-XM_043404687.1
14;rna-XM_043404757.1
14;rna-XM_043404772.1
14;rna-XM_043404774.1
14;rna-XM_043404801.1
14;rna-XM_043404802.1
14;rna-XM_043404803.1
14;rna-XM_043404807.1
14;rna-XM_043404808.1
14;rna-XM_043404810.1
14;rna-XM_043404811.1
14;rna-XM_043404834.1
14;rna-XM_043404866.1
14;rna-XM_043404871.1
14;rna-XM_043404997.1
14;rna-XM_043404999.1
14;rna-XM_043405000.1
14;rna-XM_043405001.1
14;rna-XM_043405003.1
14;rna-XM_043405031.1
14;rna-XM_043405044.1
14;rna-XM_043405071.1
14;rna-XM_043405087.1
14;rna-XM_043405102.1
14;rna-XM_043405179.1
14;rna-XM_043405208.1
14;rna-XM_043405238.1
14;rna-XM_043405240.1
14;rna-XM_043405250.1
14;rna-XM_043405303.1
14;rna-XM_043405365.1
14;rna-XM_043405368.1
14;rna-XM_043405388.1
14;rna-XM_043405393.1
14;rna-XM_043405397.1
14;rna-XM_043405442.1
14;rna-XM_043405451.1
14;rna-XM_043405532.1
