PS;GeneID
14;transcript:ENSQOJT00000000011
14;transcript:ENSQOJT00000000036
14;transcript:ENSQOJT00000000061
14;transcript:ENSQOJT00000000069
14;transcript:ENSQOJT00000000149
14;transcript:ENSQOJT00000000278
14;transcript:ENSQOJT00000000290
14;transcript:ENSQOJT00000000296
14;transcript:ENSQOJT00000000429
14;transcript:ENSQOJT00000000442
14;transcript:ENSQOJT00000000449
14;transcript:ENSQOJT00000000453
14;transcript:ENSQOJT00000000480
14;transcript:ENSQOJT00000000484
14;transcript:ENSQOJT00000000489
14;transcript:ENSQOJT00000000501
14;transcript:ENSQOJT00000000521
14;transcript:ENSQOJT00000000522
14;transcript:ENSQOJT00000000529
14;transcript:ENSQOJT00000000580
14;transcript:ENSQOJT00000000588
14;transcript:ENSQOJT00000000603
14;transcript:ENSQOJT00000000607
14;transcript:ENSQOJT00000000671
14;transcript:ENSQOJT00000000676
14;transcript:ENSQOJT00000000688
14;transcript:ENSQOJT00000000703
14;transcript:ENSQOJT00000000748
14;transcript:ENSQOJT00000000849
14;transcript:ENSQOJT00000000858
14;transcript:ENSQOJT00000000861
14;transcript:ENSQOJT00000000874
14;transcript:ENSQOJT00000000936
14;transcript:ENSQOJT00000000968
14;transcript:ENSQOJT00000000972
14;transcript:ENSQOJT00000000988
14;transcript:ENSQOJT00000001048
14;transcript:ENSQOJT00000001083
14;transcript:ENSQOJT00000001088
14;transcript:ENSQOJT00000001108
14;transcript:ENSQOJT00000001168
14;transcript:ENSQOJT00000001201
14;transcript:ENSQOJT00000001209
14;transcript:ENSQOJT00000001239
14;transcript:ENSQOJT00000001264
14;transcript:ENSQOJT00000001454
14;transcript:ENSQOJT00000001469
14;transcript:ENSQOJT00000001502
14;transcript:ENSQOJT00000001570
14;transcript:ENSQOJT00000001575
14;transcript:ENSQOJT00000001613
14;transcript:ENSQOJT00000001649
14;transcript:ENSQOJT00000001656
14;transcript:ENSQOJT00000001667
14;transcript:ENSQOJT00000001744
14;transcript:ENSQOJT00000001760
14;transcript:ENSQOJT00000001812
14;transcript:ENSQOJT00000001841
14;transcript:ENSQOJT00000001876
14;transcript:ENSQOJT00000001911
14;transcript:ENSQOJT00000001950
14;transcript:ENSQOJT00000001967
14;transcript:ENSQOJT00000002158
14;transcript:ENSQOJT00000002170
14;transcript:ENSQOJT00000002180
14;transcript:ENSQOJT00000002181
14;transcript:ENSQOJT00000002230
14;transcript:ENSQOJT00000002252
14;transcript:ENSQOJT00000002272
14;transcript:ENSQOJT00000002297
14;transcript:ENSQOJT00000002298
14;transcript:ENSQOJT00000002303
14;transcript:ENSQOJT00000002346
14;transcript:ENSQOJT00000002364
14;transcript:ENSQOJT00000002412
14;transcript:ENSQOJT00000002500
14;transcript:ENSQOJT00000002501
14;transcript:ENSQOJT00000002527
14;transcript:ENSQOJT00000002629
14;transcript:ENSQOJT00000002664
14;transcript:ENSQOJT00000002670
14;transcript:ENSQOJT00000002741
14;transcript:ENSQOJT00000002780
14;transcript:ENSQOJT00000002816
