PS;GeneID
14;rna-XYLVIOL_LOCUS10013-3
14;rna-XYLVIOL_LOCUS10019
14;rna-XYLVIOL_LOCUS10042
14;rna-XYLVIOL_LOCUS10044
14;rna-XYLVIOL_LOCUS10045
14;rna-XYLVIOL_LOCUS10046
14;rna-XYLVIOL_LOCUS10047
14;rna-XYLVIOL_LOCUS10048
14;rna-XYLVIOL_LOCUS10050
14;rna-XYLVIOL_LOCUS10051
14;rna-XYLVIOL_LOCUS10052
14;rna-XYLVIOL_LOCUS10053
14;rna-XYLVIOL_LOCUS10054
14;rna-XYLVIOL_LOCUS10055
14;rna-XYLVIOL_LOCUS10056
14;rna-XYLVIOL_LOCUS10057
14;rna-XYLVIOL_LOCUS10058-2
14;rna-XYLVIOL_LOCUS10059
14;rna-XYLVIOL_LOCUS10060
14;rna-XYLVIOL_LOCUS10067
14;rna-XYLVIOL_LOCUS10068
14;rna-XYLVIOL_LOCUS10070
14;rna-XYLVIOL_LOCUS10073
14;rna-XYLVIOL_LOCUS10085-2
14;rna-XYLVIOL_LOCUS10120-2
14;rna-XYLVIOL_LOCUS10121
14;rna-XYLVIOL_LOCUS10133
14;rna-XYLVIOL_LOCUS10148
14;rna-XYLVIOL_LOCUS10149
14;rna-XYLVIOL_LOCUS10150
14;rna-XYLVIOL_LOCUS10152
14;rna-XYLVIOL_LOCUS10156
14;rna-XYLVIOL_LOCUS10185-2
14;rna-XYLVIOL_LOCUS10186
14;rna-XYLVIOL_LOCUS10209
14;rna-XYLVIOL_LOCUS10220-2
14;rna-XYLVIOL_LOCUS10221
14;rna-XYLVIOL_LOCUS1024
14;rna-XYLVIOL_LOCUS10248-6
14;rna-XYLVIOL_LOCUS10263
14;rna-XYLVIOL_LOCUS10264
14;rna-XYLVIOL_LOCUS10280
14;rna-XYLVIOL_LOCUS10322
14;rna-XYLVIOL_LOCUS10326
14;rna-XYLVIOL_LOCUS10329
14;rna-XYLVIOL_LOCUS10345-2
14;rna-XYLVIOL_LOCUS10352
14;rna-XYLVIOL_LOCUS1036
14;rna-XYLVIOL_LOCUS10361
14;rna-XYLVIOL_LOCUS10362
14;rna-XYLVIOL_LOCUS10383-6
14;rna-XYLVIOL_LOCUS10391
14;rna-XYLVIOL_LOCUS1041
14;rna-XYLVIOL_LOCUS10416
14;rna-XYLVIOL_LOCUS10439-7
14;rna-XYLVIOL_LOCUS10440
14;rna-XYLVIOL_LOCUS10459
14;rna-XYLVIOL_LOCUS10498
14;rna-XYLVIOL_LOCUS105
14;rna-XYLVIOL_LOCUS10502
14;rna-XYLVIOL_LOCUS10505
14;rna-XYLVIOL_LOCUS10512
14;rna-XYLVIOL_LOCUS10514
14;rna-XYLVIOL_LOCUS10517
14;rna-XYLVIOL_LOCUS10519
14;rna-XYLVIOL_LOCUS10531-2
14;rna-XYLVIOL_LOCUS10532-4
14;rna-XYLVIOL_LOCUS10576
14;rna-XYLVIOL_LOCUS10581
14;rna-XYLVIOL_LOCUS1059
14;rna-XYLVIOL_LOCUS10596
14;rna-XYLVIOL_LOCUS106
14;rna-XYLVIOL_LOCUS10680
14;rna-XYLVIOL_LOCUS1074
14;rna-XYLVIOL_LOCUS10744
14;rna-XYLVIOL_LOCUS10745
14;rna-XYLVIOL_LOCUS10760
14;rna-XYLVIOL_LOCUS10800
14;rna-XYLVIOL_LOCUS10806
14;rna-XYLVIOL_LOCUS10812
14;rna-XYLVIOL_LOCUS10833
14;rna-XYLVIOL_LOCUS10841
14;rna-XYLVIOL_LOCUS10879
14;rna-XYLVIOL_LOCUS109
14;rna-XYLVIOL_LOCUS1091
14;rna-XYLVIOL_LOCUS10920
14;rna-XYLVIOL_LOCUS10976-2
14;rna-XYLVIOL_LOCUS10977
14;rna-XYLVIOL_LOCUS10980
14;rna-XYLVIOL_LOCUS10983
14;rna-XYLVIOL_LOCUS110
14;rna-XYLVIOL_LOCUS11006
14;rna-XYLVIOL_LOCUS1104
14;rna-XYLVIOL_LOCUS11048
14;rna-XYLVIOL_LOCUS11063
14;rna-XYLVIOL_LOCUS11069
14;rna-XYLVIOL_LOCUS11109
14;rna-XYLVIOL_LOCUS11140
14;rna-XYLVIOL_LOCUS11141
14;rna-XYLVIOL_LOCUS1124-2
14;rna-XYLVIOL_LOCUS113
14;rna-XYLVIOL_LOCUS1157-2
14;rna-XYLVIOL_LOCUS1192-2
14;rna-XYLVIOL_LOCUS1204
14;rna-XYLVIOL_LOCUS1216
14;rna-XYLVIOL_LOCUS123
14;rna-XYLVIOL_LOCUS1230
14;rna-XYLVIOL_LOCUS1231
14;rna-XYLVIOL_LOCUS1237-2
14;rna-XYLVIOL_LOCUS1256
14;rna-XYLVIOL_LOCUS1285
14;rna-XYLVIOL_LOCUS1289
14;rna-XYLVIOL_LOCUS1299
14;rna-XYLVIOL_LOCUS1309
14;rna-XYLVIOL_LOCUS1331
14;rna-XYLVIOL_LOCUS1344-4
14;rna-XYLVIOL_LOCUS1347
14;rna-XYLVIOL_LOCUS1348
14;rna-XYLVIOL_LOCUS1349
14;rna-XYLVIOL_LOCUS1358-2
14;rna-XYLVIOL_LOCUS1362
14;rna-XYLVIOL_LOCUS137
14;rna-XYLVIOL_LOCUS1370
14;rna-XYLVIOL_LOCUS138
14;rna-XYLVIOL_LOCUS1406
14;rna-XYLVIOL_LOCUS1409
14;rna-XYLVIOL_LOCUS1419
14;rna-XYLVIOL_LOCUS1427-4
14;rna-XYLVIOL_LOCUS143
14;rna-XYLVIOL_LOCUS144
14;rna-XYLVIOL_LOCUS1450
14;rna-XYLVIOL_LOCUS1455
14;rna-XYLVIOL_LOCUS1474
14;rna-XYLVIOL_LOCUS148
14;rna-XYLVIOL_LOCUS1502
14;rna-XYLVIOL_LOCUS1504
14;rna-XYLVIOL_LOCUS1505
14;rna-XYLVIOL_LOCUS1506
14;rna-XYLVIOL_LOCUS1510
14;rna-XYLVIOL_LOCUS1520
14;rna-XYLVIOL_LOCUS156
14;rna-XYLVIOL_LOCUS157
14;rna-XYLVIOL_LOCUS1585
14;rna-XYLVIOL_LOCUS1602
14;rna-XYLVIOL_LOCUS1604
14;rna-XYLVIOL_LOCUS1606
14;rna-XYLVIOL_LOCUS1615
14;rna-XYLVIOL_LOCUS1623
14;rna-XYLVIOL_LOCUS1627
14;rna-XYLVIOL_LOCUS1628
14;rna-XYLVIOL_LOCUS163
14;rna-XYLVIOL_LOCUS1630
14;rna-XYLVIOL_LOCUS1631
14;rna-XYLVIOL_LOCUS1642
14;rna-XYLVIOL_LOCUS165
14;rna-XYLVIOL_LOCUS1655
14;rna-XYLVIOL_LOCUS1667
14;rna-XYLVIOL_LOCUS1668
14;rna-XYLVIOL_LOCUS1674
14;rna-XYLVIOL_LOCUS1688
14;rna-XYLVIOL_LOCUS1691-6
14;rna-XYLVIOL_LOCUS1698
14;rna-XYLVIOL_LOCUS17
14;rna-XYLVIOL_LOCUS1719
14;rna-XYLVIOL_LOCUS1721
14;rna-XYLVIOL_LOCUS1739
14;rna-XYLVIOL_LOCUS1747
14;rna-XYLVIOL_LOCUS176
14;rna-XYLVIOL_LOCUS1760
14;rna-XYLVIOL_LOCUS1780
14;rna-XYLVIOL_LOCUS1788
14;rna-XYLVIOL_LOCUS1794-3
14;rna-XYLVIOL_LOCUS180
14;rna-XYLVIOL_LOCUS1817-2
14;rna-XYLVIOL_LOCUS182
14;rna-XYLVIOL_LOCUS1829
14;rna-XYLVIOL_LOCUS184
14;rna-XYLVIOL_LOCUS1846-4
14;rna-XYLVIOL_LOCUS1869
14;rna-XYLVIOL_LOCUS1871
14;rna-XYLVIOL_LOCUS1878
14;rna-XYLVIOL_LOCUS188
14;rna-XYLVIOL_LOCUS1889-2
14;rna-XYLVIOL_LOCUS1907
14;rna-XYLVIOL_LOCUS1918-3
14;rna-XYLVIOL_LOCUS1926
14;rna-XYLVIOL_LOCUS1955
14;rna-XYLVIOL_LOCUS1960
14;rna-XYLVIOL_LOCUS1988
14;rna-XYLVIOL_LOCUS1990
14;rna-XYLVIOL_LOCUS1995
14;rna-XYLVIOL_LOCUS1996
14;rna-XYLVIOL_LOCUS201
14;rna-XYLVIOL_LOCUS2024-4
