PS;GeneID
14;AMEL_00017
14;AMEL_00025
14;AMEL_00036
14;AMEL_00045
14;AMEL_00049
14;AMEL_00074
14;AMEL_00085
14;AMEL_00112
14;AMEL_00120
14;AMEL_00123
14;AMEL_00139
14;AMEL_00146
14;AMEL_00158
14;AMEL_00170
14;AMEL_00178
14;AMEL_00192
14;AMEL_00202
14;AMEL_00211
14;AMEL_00212
14;AMEL_00225
14;AMEL_00244
14;AMEL_00248
14;AMEL_00266
14;AMEL_00291
14;AMEL_00306
14;AMEL_00311
14;AMEL_00319
14;AMEL_00325
14;AMEL_00341
14;AMEL_00342
14;AMEL_00345
14;AMEL_00353
14;AMEL_00358
14;AMEL_00370
14;AMEL_00382
14;AMEL_00388
14;AMEL_00396
14;AMEL_00418
14;AMEL_00426
14;AMEL_00453
14;AMEL_00464
14;AMEL_00466
14;AMEL_00478
14;AMEL_00498
14;AMEL_00506
14;AMEL_00537
14;AMEL_00547
14;AMEL_00552
14;AMEL_00555
14;AMEL_00570
14;AMEL_00578
14;AMEL_00584
14;AMEL_00616
14;AMEL_00618
14;AMEL_00663
14;AMEL_00692
14;AMEL_00707
14;AMEL_00714
14;AMEL_00744
14;AMEL_00754
14;AMEL_00787
14;AMEL_00806
14;AMEL_00807
14;AMEL_00825
14;AMEL_00835
14;AMEL_00848
14;AMEL_00875
14;AMEL_00887
14;AMEL_00917
14;AMEL_00928
14;AMEL_00929
14;AMEL_00946
14;AMEL_00950
14;AMEL_00954
14;AMEL_00962
14;AMEL_00983
14;AMEL_01028
14;AMEL_01033
14;AMEL_01055
14;AMEL_01062
14;AMEL_01072
14;AMEL_01087
14;AMEL_01106
14;AMEL_01117
14;AMEL_01118
14;AMEL_01129
14;AMEL_01134
14;AMEL_01144
14;AMEL_01145
14;AMEL_01160
14;AMEL_01161
14;AMEL_01166
14;AMEL_01174
14;AMEL_01186
14;AMEL_01205
14;AMEL_01216
14;AMEL_01230
14;AMEL_01234
14;AMEL_01235
14;AMEL_01240
14;AMEL_01244
14;AMEL_01273
14;AMEL_01281
14;AMEL_01282
14;AMEL_01301
14;AMEL_01309
14;AMEL_01311
14;AMEL_01323
14;AMEL_01333
14;AMEL_01339
14;AMEL_01341
14;AMEL_01348
14;AMEL_01362
14;AMEL_01378
14;AMEL_01382
14;AMEL_01387
14;AMEL_01435
14;AMEL_01449
14;AMEL_01467
14;AMEL_01478
14;AMEL_01484
14;AMEL_01491
14;AMEL_01520
14;AMEL_01533
14;AMEL_01545
14;AMEL_01547
14;AMEL_01561
14;AMEL_01569
14;AMEL_01571
14;AMEL_01607
14;AMEL_01608
14;AMEL_01626
14;AMEL_01634
14;AMEL_01644
14;AMEL_01657
14;AMEL_01661
14;AMEL_01662
14;AMEL_01692
14;AMEL_01700
14;AMEL_01710
14;AMEL_01714
14;AMEL_01719
14;AMEL_01736
14;AMEL_01765
14;AMEL_01786
14;AMEL_01789
14;AMEL_01797
14;AMEL_01812
14;AMEL_01814
14;AMEL_01823
14;AMEL_01831
14;AMEL_01836
14;AMEL_01862
14;AMEL_01870
14;AMEL_01884
14;AMEL_01889
14;AMEL_01912
14;AMEL_01944
14;AMEL_01949
14;AMEL_01968
14;AMEL_01979
14;AMEL_02010
14;AMEL_02045
14;AMEL_02048
14;AMEL_02055
14;AMEL_02060
14;AMEL_02067
14;AMEL_02089
14;AMEL_02097
14;AMEL_02108
14;AMEL_02126
14;AMEL_02135
14;AMEL_02142
14;AMEL_02148
14;AMEL_02163
14;AMEL_02171
14;AMEL_02175
14;AMEL_02176
14;AMEL_02180
14;AMEL_02185
14;AMEL_02187
14;AMEL_02194
14;AMEL_02195
14;AMEL_02209
14;AMEL_02216
14;AMEL_02218
14;AMEL_02238
14;AMEL_02242
14;AMEL_02251
14;AMEL_02254
14;AMEL_02284
14;AMEL_02294
14;AMEL_02300
14;AMEL_02317
14;AMEL_02332
14;AMEL_02340
14;AMEL_02355
14;AMEL_02368
14;AMEL_02375
14;AMEL_02376
14;AMEL_02381
14;AMEL_02416
14;AMEL_02432
14;AMEL_02455
14;AMEL_02458
14;AMEL_02463
14;AMEL_02465
14;AMEL_02475
14;AMEL_02476
14;AMEL_02478
14;AMEL_02481
14;AMEL_02501
14;AMEL_02525
14;AMEL_02528
14;AMEL_02537
14;AMEL_02558
14;AMEL_02559
14;AMEL_02574
14;AMEL_02576
14;AMEL_02582
14;AMEL_02592
14;AMEL_02620
14;AMEL_02627
14;AMEL_02633
14;AMEL_02639
