PS;GeneID
14;transcript:ENSNFBT00000000017
14;transcript:ENSNFBT00000000020
14;transcript:ENSNFBT00000000047
14;transcript:ENSNFBT00000000085
14;transcript:ENSNFBT00000000122
14;transcript:ENSNFBT00000000123
14;transcript:ENSNFBT00000000180
14;transcript:ENSNFBT00000000204
14;transcript:ENSNFBT00000000238
14;transcript:ENSNFBT00000000270
14;transcript:ENSNFBT00000000277
14;transcript:ENSNFBT00000000304
14;transcript:ENSNFBT00000000328
14;transcript:ENSNFBT00000000368
14;transcript:ENSNFBT00000000394
14;transcript:ENSNFBT00000000433
14;transcript:ENSNFBT00000000465
14;transcript:ENSNFBT00000000520
14;transcript:ENSNFBT00000000530
14;transcript:ENSNFBT00000000589
14;transcript:ENSNFBT00000000615
14;transcript:ENSNFBT00000000620
14;transcript:ENSNFBT00000000621
14;transcript:ENSNFBT00000000653
14;transcript:ENSNFBT00000000680
14;transcript:ENSNFBT00000000685
14;transcript:ENSNFBT00000000730
14;transcript:ENSNFBT00000000781
14;transcript:ENSNFBT00000000789
14;transcript:ENSNFBT00000000819
14;transcript:ENSNFBT00000000834
14;transcript:ENSNFBT00000000874
14;transcript:ENSNFBT00000000896
14;transcript:ENSNFBT00000000942
14;transcript:ENSNFBT00000000948
14;transcript:ENSNFBT00000000961
14;transcript:ENSNFBT00000000975
14;transcript:ENSNFBT00000000977
14;transcript:ENSNFBT00000001021
14;transcript:ENSNFBT00000001023
14;transcript:ENSNFBT00000001046
14;transcript:ENSNFBT00000001053
14;transcript:ENSNFBT00000001140
14;transcript:ENSNFBT00000001172
14;transcript:ENSNFBT00000001225
14;transcript:ENSNFBT00000001237
14;transcript:ENSNFBT00000001257
14;transcript:ENSNFBT00000001266
14;transcript:ENSNFBT00000001271
14;transcript:ENSNFBT00000001286
14;transcript:ENSNFBT00000001291
14;transcript:ENSNFBT00000001300
14;transcript:ENSNFBT00000001305
14;transcript:ENSNFBT00000001324
14;transcript:ENSNFBT00000001327
14;transcript:ENSNFBT00000001346
14;transcript:ENSNFBT00000001347
14;transcript:ENSNFBT00000001362
14;transcript:ENSNFBT00000001364
14;transcript:ENSNFBT00000001415
14;transcript:ENSNFBT00000001436
14;transcript:ENSNFBT00000001449
14;transcript:ENSNFBT00000001461
14;transcript:ENSNFBT00000001467
14;transcript:ENSNFBT00000001608
14;transcript:ENSNFBT00000001669
14;transcript:ENSNFBT00000001696
14;transcript:ENSNFBT00000001703
14;transcript:ENSNFBT00000001715
14;transcript:ENSNFBT00000001736
14;transcript:ENSNFBT00000001756
14;transcript:ENSNFBT00000001758
14;transcript:ENSNFBT00000001771
14;transcript:ENSNFBT00000001775
14;transcript:ENSNFBT00000001828
14;transcript:ENSNFBT00000001836
14;transcript:ENSNFBT00000001837
14;transcript:ENSNFBT00000001856
14;transcript:ENSNFBT00000001881
14;transcript:ENSNFBT00000001936
14;transcript:ENSNFBT00000001955
14;transcript:ENSNFBT00000001958
14;transcript:ENSNFBT00000001991
14;transcript:ENSNFBT00000001998
14;transcript:ENSNFBT00000002011
14;transcript:ENSNFBT00000002034
14;transcript:ENSNFBT00000002039
14;transcript:ENSNFBT00000002050
14;transcript:ENSNFBT00000002058
14;transcript:ENSNFBT00000002069
14;transcript:ENSNFBT00000002076
14;transcript:ENSNFBT00000002083
14;transcript:ENSNFBT00000002142
14;transcript:ENSNFBT00000002162
14;transcript:ENSNFBT00000002181
14;transcript:ENSNFBT00000002210
14;transcript:ENSNFBT00000002222
14;transcript:ENSNFBT00000002231
14;transcript:ENSNFBT00000002235
14;transcript:ENSNFBT00000002236
14;transcript:ENSNFBT00000002248
14;transcript:ENSNFBT00000002263
