PS;GeneID
14;LZEP_00002-RA
14;LZEP_00016-RA
14;LZEP_00027-RA
14;LZEP_00035-RA
14;LZEP_00039-RA
14;LZEP_00043-RA
14;LZEP_00058-RA
14;LZEP_00069-RA
14;LZEP_00107-RB
14;LZEP_00154-RA
14;LZEP_00157-RA
14;LZEP_00161-RB
14;LZEP_00193-RA
14;LZEP_00221-RA
14;LZEP_00231-RA
14;LZEP_00251-RA
14;LZEP_00262-RA
14;LZEP_00266-RA
14;LZEP_00273-RA
14;LZEP_00289-RA
14;LZEP_00307-RA
14;LZEP_00324-RA
14;LZEP_00330-RA
14;LZEP_00339-RA
14;LZEP_00359-RA
14;LZEP_00361-RA
14;LZEP_00362-RA
14;LZEP_00364-RA
14;LZEP_00408-RA
14;LZEP_00417-RA
14;LZEP_00419-RA
14;LZEP_00449-RA
14;LZEP_00464-RA
14;LZEP_00483-RA
14;LZEP_00484-RA
14;LZEP_00485-RA
14;LZEP_00516-RA
14;LZEP_00517-RA
14;LZEP_00539-RA
14;LZEP_00562-RA
14;LZEP_00578-RA
14;LZEP_00588-RA
14;LZEP_00589-RA
14;LZEP_00605-RA
14;LZEP_00616-RA
14;LZEP_00630-RA
14;LZEP_00647-RA
14;LZEP_00650-RA
14;LZEP_00694-RB
14;LZEP_00697-RA
14;LZEP_00699-RA
14;LZEP_00701-RA
14;LZEP_00702-RA
14;LZEP_00703-RA
14;LZEP_00706-RA
14;LZEP_00707-RB
14;LZEP_00727-RA
14;LZEP_00747-RA
14;LZEP_00754-RA
14;LZEP_00764-RA
14;LZEP_00810-RA
14;LZEP_00828-RA
14;LZEP_00836-RA
14;LZEP_00874-RA
14;LZEP_00884-RA
14;LZEP_00920-RA
14;LZEP_00938-RA
14;LZEP_00948-RA
14;LZEP_00955-RA
14;LZEP_00962-RA
14;LZEP_00967-RB
14;LZEP_00991-RA
14;LZEP_00996-RB
14;LZEP_01009-RA
14;LZEP_01010-RA
14;LZEP_01033-RA
14;LZEP_01036-RA
14;LZEP_01039-RA
14;LZEP_01042-RA
14;LZEP_01072-RA
14;LZEP_01098-RA
14;LZEP_01118-RA
14;LZEP_01119-RA
14;LZEP_01120-RA
14;LZEP_01125-RB
14;LZEP_01126-RA
14;LZEP_01134-RA
14;LZEP_01138-RA
14;LZEP_01141-RA
14;LZEP_01143-RA
14;LZEP_01144-RA
14;LZEP_01156-RA
14;LZEP_01166-RA
14;LZEP_01169-RA
14;LZEP_01174-RA
14;LZEP_01188-RA
14;LZEP_01192-RA
14;LZEP_01215-RA
14;LZEP_01231-RA
14;LZEP_01261-RA
14;LZEP_01266-RA
14;LZEP_01270-RA
14;LZEP_01286-RA
14;LZEP_01297-RC
14;LZEP_01311-RA
14;LZEP_01316-RA
14;LZEP_01341-RA
14;LZEP_01342-RA
14;LZEP_01343-RA
14;LZEP_01346-RA
14;LZEP_01351-RA
14;LZEP_01367-RA
14;LZEP_01389-RA
14;LZEP_01408-RA
14;LZEP_01411-RA
14;LZEP_01420-RA
14;LZEP_01424-RA
14;LZEP_01426-RA
14;LZEP_01448-RA
14;LZEP_01450-RA
14;LZEP_01480-RA
14;LZEP_01526-RA
14;LZEP_01530-RA
14;LZEP_01532-RA
14;LZEP_01550-RA
14;LZEP_01557-RA
14;LZEP_01588-RA
14;LZEP_01620-RA
14;LZEP_01629-RA
14;LZEP_01641-RA
14;LZEP_01681-RA
14;LZEP_01694-RA
14;LZEP_01697-RA
14;LZEP_01712-RA
14;LZEP_01716-RA
14;LZEP_01718-RA
14;LZEP_01737-RA
14;LZEP_01746-RA
14;LZEP_01754-RA
14;LZEP_01756-RA
14;LZEP_01767-RA
14;LZEP_01773-RA
14;LZEP_01779-RA
14;LZEP_01810-RA
14;LZEP_01815-RA
14;LZEP_01816-RA
14;LZEP_01821-RA
14;LZEP_01881-RA
14;LZEP_01883-RA
14;LZEP_01909-RA
14;LZEP_01945-RA
14;LZEP_01957-RA
14;LZEP_01966-RA
14;LZEP_01977-RA
14;LZEP_01980-RA
14;LZEP_01990-RA
14;LZEP_02002-RA
14;LZEP_02056-RA
14;LZEP_02092-RA
14;LZEP_02103-RA
14;LZEP_02121-RA
14;LZEP_02122-RA
14;LZEP_02125-RA
14;LZEP_02141-RA
14;LZEP_02169-RA
14;LZEP_02198-RA
14;LZEP_02199-RA
14;LZEP_02200-RA
14;LZEP_02201-RA
14;LZEP_02202-RA
14;LZEP_02203-RA
14;LZEP_02223-RB
14;LZEP_02224-RA
14;LZEP_02235-RA
14;LZEP_02266-RA
14;LZEP_02283-RA
14;LZEP_02289-RA
14;LZEP_02290-RA
14;LZEP_02330-RA
14;LZEP_02331-RA
14;LZEP_02342-RA
14;LZEP_02353-RA
14;LZEP_02355-RA
14;LZEP_02356-RA
14;LZEP_02357-RA
14;LZEP_02371-RA
14;LZEP_02372-RA
14;LZEP_02405-RA
14;LZEP_02410-RA
14;LZEP_02443-RA
14;LZEP_02446-RA
14;LZEP_02464-RA
14;LZEP_02480-RA
14;LZEP_02485-RA
14;LZEP_02516-RA
14;LZEP_02531-RA
14;LZEP_02577-RA
14;LZEP_02579-RA
14;LZEP_02590-RA
14;LZEP_02597-RA
14;LZEP_02599-RA
14;LZEP_02600-RA
14;LZEP_02601-RA
14;LZEP_02605-RA
14;LZEP_02608-RA
14;LZEP_02611-RA
14;LZEP_02620-RA
14;LZEP_02622-RA
14;LZEP_02653-RA
14;LZEP_02654-RA
14;LZEP_02655-RA
14;LZEP_02676-RA
14;LZEP_02692-RA
14;LZEP_02694-RA
14;LZEP_02699-RA
14;LZEP_02701-RA
14;LZEP_02711-RA
14;LZEP_02712-RA
14;LZEP_02721-RA
14;LZEP_02753-RB
14;LZEP_02772-RA
14;LZEP_02774-RA
14;LZEP_02789-RA
14;LZEP_02790-RA
14;LZEP_02874-RA
14;LZEP_02878-RA
14;LZEP_02879-RA
14;LZEP_02908-RA
14;LZEP_02909-RA
14;LZEP_02925-RA
14;LZEP_02926-RA
14;LZEP_02927-RA
14;LZEP_02963-RA
14;LZEP_02970-RA
14;LZEP_03012-RA
14;LZEP_03021-RA
14;LZEP_03022-RA
14;LZEP_03029-RA
14;LZEP_03073-RA
14;LZEP_03076-RA
14;LZEP_03085-RA
14;LZEP_03096-RA
14;LZEP_03112-RA
14;LZEP_03132-RB
14;LZEP_03160-RA
14;LZEP_03190-RA
14;LZEP_03204-RA
14;LZEP_03218-RA
14;LZEP_03230-RA
14;LZEP_03270-RA
14;LZEP_03280-RA
14;LZEP_03281-RA
14;LZEP_03282-RA
14;LZEP_03283-RA
14;LZEP_03284-RA
14;LZEP_03315-RA
14;LZEP_03322-RA
14;LZEP_03324-RA
14;LZEP_03355-RA
14;LZEP_03379-RA
14;LZEP_03401-RA
14;LZEP_03406-RA
14;LZEP_03410-RA
14;LZEP_03411-RA
14;LZEP_03412-RA
14;LZEP_03413-RA
14;LZEP_03414-RA
14;LZEP_03418-RA
14;LZEP_03427-RA
14;LZEP_03428-RA
14;LZEP_03429-RA
14;LZEP_03430-RA
14;LZEP_03431-RA
14;LZEP_03432-RA
14;LZEP_03434-RA
14;LZEP_03435-RA
14;LZEP_03477-RA
14;LZEP_03501-RA
14;LZEP_03504-RA
14;LZEP_03537-RC
14;LZEP_03540-RA
14;LZEP_03541-RA
14;LZEP_03563-RA
14;LZEP_03564-RA
14;LZEP_03571-RA
14;LZEP_03592-RA
14;LZEP_03595-RA
14;LZEP_03600-RA
14;LZEP_03618-RA
14;LZEP_03631-RA
14;LZEP_03694-RA
14;LZEP_03697-RA
14;LZEP_03699-RB
14;LZEP_03702-RA
14;LZEP_03704-RA
14;LZEP_03712-RA
14;LZEP_03745-RA
14;LZEP_03747-RA
14;LZEP_03762-RA
14;LZEP_03765-RA
14;LZEP_03805-RA
14;LZEP_03811-RA
14;LZEP_03813-RA
14;LZEP_03832-RA
14;LZEP_03851-RA
14;LZEP_03884-RA
14;LZEP_03897-RA
14;LZEP_03907-RA
14;LZEP_03930-RA
14;LZEP_03932-RA
14;LZEP_03934-RA
14;LZEP_03941-RA
14;LZEP_03945-RA
14;LZEP_03946-RA
14;LZEP_03947-RA
14;LZEP_03948-RA
14;LZEP_03949-RA
14;LZEP_03950-RA
14;LZEP_03960-RA
14;LZEP_03967-RA
14;LZEP_03968-RA
14;LZEP_03981-RA
14;LZEP_04004-RA
14;LZEP_04023-RA
14;LZEP_04024-RA
14;LZEP_04026-RA
14;LZEP_04027-RA
14;LZEP_04038-RA
14;LZEP_04040-RA
14;LZEP_04055-RA
14;LZEP_04078-RA
14;LZEP_04079-RA
14;LZEP_04112-RB
14;LZEP_04115-RA
14;LZEP_04126-RA
14;LZEP_04145-RA
14;LZEP_04146-RB
14;LZEP_04149-RA
14;LZEP_04151-RA
14;LZEP_04154-RA
14;LZEP_04193-RA
14;LZEP_04201-RA
14;LZEP_04236-RA
14;LZEP_04237-RA
14;LZEP_04241-RA
14;LZEP_04260-RA
14;LZEP_04309-RA
14;LZEP_04343-RA
14;LZEP_04364-RA
14;LZEP_04372-RA
14;LZEP_04378-RA
14;LZEP_04380-RA
14;LZEP_04381-RA
14;LZEP_04382-RA
14;LZEP_04384-RA
14;LZEP_04385-RA
14;LZEP_04388-RA
14;LZEP_04415-RA
14;LZEP_04470-RA
14;LZEP_04476-RA
14;LZEP_04477-RA
14;LZEP_04482-RA
14;LZEP_04512-RA
14;LZEP_04514-RA
14;LZEP_04524-RA
14;LZEP_04525-RA
14;LZEP_04538-RA
14;LZEP_04540-RA
14;LZEP_04546-RA
14;LZEP_04549-RA
14;LZEP_04551-RA
14;LZEP_04576-RA
14;LZEP_04601-RA
14;LZEP_04610-RA
14;LZEP_04617-RA
14;LZEP_04634-RA
14;LZEP_04635-RA
14;LZEP_04636-RA
14;LZEP_04637-RA
14;LZEP_04727-RA
14;LZEP_04733-RA
14;LZEP_04734-RA
14;LZEP_04739-RA
14;LZEP_04746-RA
14;LZEP_04751-RA
14;LZEP_04760-RA
14;LZEP_04774-RA
14;LZEP_04798-RA
14;LZEP_04801-RA
14;LZEP_04819-RA
14;LZEP_04837-RA
14;LZEP_04860-RA
14;LZEP_04861-RA
14;LZEP_04869-RA
14;LZEP_04878-RA
14;LZEP_04879-RA
14;LZEP_04881-RA
14;LZEP_04883-RA
14;LZEP_04891-RA
14;LZEP_04944-RA
14;LZEP_04945-RA
14;LZEP_04958-RA
14;LZEP_04959-RA
14;LZEP_04997-RA
14;LZEP_05001-RA
14;LZEP_05009-RA
14;LZEP_05010-RA
14;LZEP_05016-RA
14;LZEP_05017-RA
14;LZEP_05020-RA
14;LZEP_05076-RA
14;LZEP_05078-RA
14;LZEP_05084-RA
14;LZEP_05090-RA
14;LZEP_05102-RA
14;LZEP_05113-RA
14;LZEP_05114-RA
14;LZEP_05127-RA
14;LZEP_05128-RA
14;LZEP_05142-RA
14;LZEP_05218-RA
14;LZEP_05228-RA
14;LZEP_05265-RA
14;LZEP_05270-RA
14;LZEP_05281-RA
14;LZEP_05300-RA
14;LZEP_05318-RA
14;LZEP_05333-RA
14;LZEP_05369-RB
14;LZEP_05370-RA
14;LZEP_05381-RA
14;LZEP_05404-RA
14;LZEP_05410-RB
14;LZEP_05414-RA
14;LZEP_05415-RA
14;LZEP_05416-RA
14;LZEP_05420-RA
14;LZEP_05422-RA
14;LZEP_05443-RA
14;LZEP_05448-RA
14;LZEP_05449-RA
14;LZEP_05454-RA
14;LZEP_05458-RA
14;LZEP_05459-RA
14;LZEP_05461-RA
14;LZEP_05467-RA
14;LZEP_05499-RA
14;LZEP_05509-RA
14;LZEP_05514-RA
14;LZEP_05528-RA
14;LZEP_05529-RA
14;LZEP_05554-RA
14;LZEP_05575-RA
14;LZEP_05576-RA
14;LZEP_05577-RA
14;LZEP_05596-RA
14;LZEP_05600-RA
14;LZEP_05602-RA
14;LZEP_05620-RA
14;LZEP_05651-RA
14;LZEP_05652-RA
14;LZEP_05672-RA
14;LZEP_05673-RA
14;LZEP_05689-RA
14;LZEP_05693-RA
14;LZEP_05708-RA
14;LZEP_05709-RA
14;LZEP_05731-RA
14;LZEP_05734-RA
14;LZEP_05752-RA
14;LZEP_05760-RA
14;LZEP_05763-RB
14;LZEP_05768-RA
14;LZEP_05787-RA
14;LZEP_05788-RA
14;LZEP_05834-RA
14;LZEP_05843-RA
14;LZEP_05868-RA
14;LZEP_05880-RA
14;LZEP_05885-RA
14;LZEP_05886-RA
14;LZEP_05891-RA
14;LZEP_05921-RA
14;LZEP_05927-RA
14;LZEP_05928-RA
