PS;GeneID
14;rna-XM_017896633.1
14;rna-XM_017896645.1
14;rna-XM_017896654.1
14;rna-XM_017896682.1
14;rna-XM_017896685.1
14;rna-XM_017896686.1
14;rna-XM_017896691.1
14;rna-XM_017896725.1
14;rna-XM_017896737.1
14;rna-XM_017896765.1
14;rna-XM_017896794.1
14;rna-XM_017896813.1
14;rna-XM_017896820.1
14;rna-XM_017896824.1
14;rna-XM_017896836.1
14;rna-XM_017896860.1
14;rna-XM_017896879.1
14;rna-XM_017896884.1
14;rna-XM_017896888.1
14;rna-XM_017896896.1
14;rna-XM_017896903.1
14;rna-XM_017896910.1
14;rna-XM_017896919.1
14;rna-XM_017896932.1
14;rna-XM_017896945.1
14;rna-XM_017896955.1
14;rna-XM_017896957.1
14;rna-XM_017896966.1
14;rna-XM_017896968.1
14;rna-XM_017896976.1
14;rna-XM_017896996.1
14;rna-XM_017897007.1
14;rna-XM_017897049.1
14;rna-XM_017897065.1
14;rna-XM_017897075.1
14;rna-XM_017897076.1
14;rna-XM_017897098.1
14;rna-XM_017897150.1
14;rna-XM_017897153.1
14;rna-XM_017897167.1
14;rna-XM_017897193.1
14;rna-XM_017897211.1
14;rna-XM_017897220.1
14;rna-XM_017897222.1
14;rna-XM_017897223.1
14;rna-XM_017897227.1
14;rna-XM_017897253.1
14;rna-XM_017897273.1
14;rna-XM_017897282.1
14;rna-XM_017897289.1
14;rna-XM_017897305.1
14;rna-XM_017897319.1
14;rna-XM_017897338.1
14;rna-XM_017897359.1
14;rna-XM_017897444.1
14;rna-XM_017897457.1
14;rna-XM_017897463.1
14;rna-XM_017897478.1
14;rna-XM_017897504.1
14;rna-XM_017897537.1
14;rna-XM_017897539.1
14;rna-XM_017897540.1
14;rna-XM_017897548.1
14;rna-XM_017897589.1
14;rna-XM_017897655.1
14;rna-XM_017897729.1
14;rna-XM_017897735.1
14;rna-XM_017897756.1
14;rna-XM_017897815.1
14;rna-XM_017897826.1
14;rna-XM_017897830.1
14;rna-XM_017897843.1
14;rna-XM_017897885.1
14;rna-XM_017897900.1
14;rna-XM_017897904.1
14;rna-XM_017897935.1
14;rna-XM_017897942.1
14;rna-XM_017897947.1
14;rna-XM_017897967.1
14;rna-XM_017897968.1
14;rna-XM_017897971.1
14;rna-XM_017897972.1
14;rna-XM_017897973.1
14;rna-XM_017897974.1
14;rna-XM_017897975.1
14;rna-XM_017897976.1
14;rna-XM_017897977.1
14;rna-XM_017897979.1
14;rna-XM_017898036.1
14;rna-XM_017898038.1
