PS;GeneID
14;transcript:ENSHQCT00000000012
14;transcript:ENSHQCT00000000033
14;transcript:ENSHQCT00000000043
14;transcript:ENSHQCT00000000054
14;transcript:ENSHQCT00000000075
14;transcript:ENSHQCT00000000091
14;transcript:ENSHQCT00000000160
14;transcript:ENSHQCT00000000172
14;transcript:ENSHQCT00000000220
14;transcript:ENSHQCT00000000241
14;transcript:ENSHQCT00000000244
14;transcript:ENSHQCT00000000344
14;transcript:ENSHQCT00000000379
14;transcript:ENSHQCT00000000395
14;transcript:ENSHQCT00000000405
14;transcript:ENSHQCT00000000414
14;transcript:ENSHQCT00000000463
14;transcript:ENSHQCT00000000471
14;transcript:ENSHQCT00000000479
14;transcript:ENSHQCT00000000549
14;transcript:ENSHQCT00000000567
14;transcript:ENSHQCT00000000617
14;transcript:ENSHQCT00000000669
14;transcript:ENSHQCT00000000674
14;transcript:ENSHQCT00000000685
14;transcript:ENSHQCT00000000729
14;transcript:ENSHQCT00000000765
14;transcript:ENSHQCT00000000770
14;transcript:ENSHQCT00000000796
14;transcript:ENSHQCT00000000811
14;transcript:ENSHQCT00000000846
14;transcript:ENSHQCT00000000892
14;transcript:ENSHQCT00000000909
14;transcript:ENSHQCT00000000943
14;transcript:ENSHQCT00000000990
14;transcript:ENSHQCT00000000991
14;transcript:ENSHQCT00000001017
14;transcript:ENSHQCT00000001052
14;transcript:ENSHQCT00000001053
14;transcript:ENSHQCT00000001073
14;transcript:ENSHQCT00000001099
14;transcript:ENSHQCT00000001104
14;transcript:ENSHQCT00000001189
14;transcript:ENSHQCT00000001221
14;transcript:ENSHQCT00000001235
14;transcript:ENSHQCT00000001251
14;transcript:ENSHQCT00000001286
14;transcript:ENSHQCT00000001305
14;transcript:ENSHQCT00000001314
14;transcript:ENSHQCT00000001359
14;transcript:ENSHQCT00000001391
14;transcript:ENSHQCT00000001393
14;transcript:ENSHQCT00000001408
14;transcript:ENSHQCT00000001416
14;transcript:ENSHQCT00000001419
14;transcript:ENSHQCT00000001430
14;transcript:ENSHQCT00000001452
14;transcript:ENSHQCT00000001459
14;transcript:ENSHQCT00000001507
14;transcript:ENSHQCT00000001558
14;transcript:ENSHQCT00000001564
14;transcript:ENSHQCT00000001569
14;transcript:ENSHQCT00000001586
14;transcript:ENSHQCT00000001612
14;transcript:ENSHQCT00000001618
14;transcript:ENSHQCT00000001623
14;transcript:ENSHQCT00000001714
14;transcript:ENSHQCT00000001723
14;transcript:ENSHQCT00000001758
14;transcript:ENSHQCT00000001824
14;transcript:ENSHQCT00000001890
14;transcript:ENSHQCT00000001896
14;transcript:ENSHQCT00000001930
14;transcript:ENSHQCT00000001943
14;transcript:ENSHQCT00000001950
14;transcript:ENSHQCT00000001998
14;transcript:ENSHQCT00000001999
14;transcript:ENSHQCT00000002018
14;transcript:ENSHQCT00000002046
14;transcript:ENSHQCT00000002047
14;transcript:ENSHQCT00000002070
14;transcript:ENSHQCT00000002100
14;transcript:ENSHQCT00000002121
14;transcript:ENSHQCT00000002124
14;transcript:ENSHQCT00000002130
14;transcript:ENSHQCT00000002131
14;transcript:ENSHQCT00000002179
14;transcript:ENSHQCT00000002211
14;transcript:ENSHQCT00000002278
14;transcript:ENSHQCT00000002290
14;transcript:ENSHQCT00000002366
14;transcript:ENSHQCT00000002392
14;transcript:ENSHQCT00000002416
14;transcript:ENSHQCT00000002446
14;transcript:ENSHQCT00000002464
14;transcript:ENSHQCT00000002491
14;transcript:ENSHQCT00000002505
14;transcript:ENSHQCT00000002540
14;transcript:ENSHQCT00000002574
14;transcript:ENSHQCT00000002588
14;transcript:ENSHQCT00000002622
14;transcript:ENSHQCT00000002644
14;transcript:ENSHQCT00000002656
14;transcript:ENSHQCT00000002662
14;transcript:ENSHQCT00000002732
14;transcript:ENSHQCT00000002759
14;transcript:ENSHQCT00000002783
14;transcript:ENSHQCT00000002795
14;transcript:ENSHQCT00000002858
14;transcript:ENSHQCT00000002876
14;transcript:ENSHQCT00000002906
14;transcript:ENSHQCT00000002907
14;transcript:ENSHQCT00000002912
14;transcript:ENSHQCT00000002923
14;transcript:ENSHQCT00000002929
14;transcript:ENSHQCT00000002930
14;transcript:ENSHQCT00000002939
14;transcript:ENSHQCT00000002962
14;transcript:ENSHQCT00000003026
14;transcript:ENSHQCT00000003049
14;transcript:ENSHQCT00000003122
14;transcript:ENSHQCT00000003130
14;transcript:ENSHQCT00000003154
14;transcript:ENSHQCT00000003187
14;transcript:ENSHQCT00000003203
14;transcript:ENSHQCT00000003205
14;transcript:ENSHQCT00000003223
14;transcript:ENSHQCT00000003225
14;transcript:ENSHQCT00000003245
14;transcript:ENSHQCT00000003277
14;transcript:ENSHQCT00000003279
14;transcript:ENSHQCT00000003304
14;transcript:ENSHQCT00000003312
14;transcript:ENSHQCT00000003350
14;transcript:ENSHQCT00000003413
14;transcript:ENSHQCT00000003431
14;transcript:ENSHQCT00000003470
14;transcript:ENSHQCT00000003481
14;transcript:ENSHQCT00000003491
14;transcript:ENSHQCT00000003526
14;transcript:ENSHQCT00000003537
14;transcript:ENSHQCT00000003568
14;transcript:ENSHQCT00000003577
14;transcript:ENSHQCT00000003588
14;transcript:ENSHQCT00000003605
14;transcript:ENSHQCT00000003616
14;transcript:ENSHQCT00000003647
14;transcript:ENSHQCT00000003652
14;transcript:ENSHQCT00000003667
14;transcript:ENSHQCT00000003668
14;transcript:ENSHQCT00000003698
14;transcript:ENSHQCT00000003712
14;transcript:ENSHQCT00000003725
14;transcript:ENSHQCT00000003740
14;transcript:ENSHQCT00000003774
14;transcript:ENSHQCT00000003798
14;transcript:ENSHQCT00000003819
14;transcript:ENSHQCT00000003833
14;transcript:ENSHQCT00000003859
