PS;GeneID
14;transcript:ENSAFVT00005000062
14;transcript:ENSAFVT00005000064
14;transcript:ENSAFVT00005000076
14;transcript:ENSAFVT00005000110
14;transcript:ENSAFVT00005000122
14;transcript:ENSAFVT00005000126
14;transcript:ENSAFVT00005000220
14;transcript:ENSAFVT00005000237
14;transcript:ENSAFVT00005000253
14;transcript:ENSAFVT00005000254
14;transcript:ENSAFVT00005000267
14;transcript:ENSAFVT00005000313
14;transcript:ENSAFVT00005000339
14;transcript:ENSAFVT00005000416
14;transcript:ENSAFVT00005000428
14;transcript:ENSAFVT00005000456
14;transcript:ENSAFVT00005000491
14;transcript:ENSAFVT00005000498
14;transcript:ENSAFVT00005000551
14;transcript:ENSAFVT00005000568
14;transcript:ENSAFVT00005000580
14;transcript:ENSAFVT00005000594
14;transcript:ENSAFVT00005000599
14;transcript:ENSAFVT00005000601
14;transcript:ENSAFVT00005000617
14;transcript:ENSAFVT00005000627
14;transcript:ENSAFVT00005000681
14;transcript:ENSAFVT00005000685
14;transcript:ENSAFVT00005000744
14;transcript:ENSAFVT00005000780
14;transcript:ENSAFVT00005000803
14;transcript:ENSAFVT00005000812
14;transcript:ENSAFVT00005000822
14;transcript:ENSAFVT00005000855
14;transcript:ENSAFVT00005000911
14;transcript:ENSAFVT00005000941
14;transcript:ENSAFVT00005000958
14;transcript:ENSAFVT00005000986
14;transcript:ENSAFVT00005001006
14;transcript:ENSAFVT00005001039
14;transcript:ENSAFVT00005001049
14;transcript:ENSAFVT00005001072
14;transcript:ENSAFVT00005001089
14;transcript:ENSAFVT00005001130
14;transcript:ENSAFVT00005001147
14;transcript:ENSAFVT00005001206
14;transcript:ENSAFVT00005001234
14;transcript:ENSAFVT00005001246
14;transcript:ENSAFVT00005001253
14;transcript:ENSAFVT00005001271
14;transcript:ENSAFVT00005001308
14;transcript:ENSAFVT00005001311
14;transcript:ENSAFVT00005001342
14;transcript:ENSAFVT00005001365
14;transcript:ENSAFVT00005001376
14;transcript:ENSAFVT00005001379
14;transcript:ENSAFVT00005001389
14;transcript:ENSAFVT00005001428
14;transcript:ENSAFVT00005001432
14;transcript:ENSAFVT00005001487
14;transcript:ENSAFVT00005001502
14;transcript:ENSAFVT00005001511
14;transcript:ENSAFVT00005001539
14;transcript:ENSAFVT00005001586
14;transcript:ENSAFVT00005001590
14;transcript:ENSAFVT00005001606
14;transcript:ENSAFVT00005001613
14;transcript:ENSAFVT00005001618
14;transcript:ENSAFVT00005001665
14;transcript:ENSAFVT00005001672
14;transcript:ENSAFVT00005001703
14;transcript:ENSAFVT00005001709
14;transcript:ENSAFVT00005001721
