PS;GeneID
14;rna-XM_043650317.1
14;rna-XM_043650318.1
14;rna-XM_043650337.1
14;rna-XM_043650349.1
14;rna-XM_043650361.1
14;rna-XM_043650368.1
14;rna-XM_043650383.1
14;rna-XM_043650386.1
14;rna-XM_043650398.1
14;rna-XM_043650409.1
14;rna-XM_043650435.1
14;rna-XM_043650441.1
14;rna-XM_043650482.1
14;rna-XM_043650491.1
14;rna-XM_043650641.1
14;rna-XM_043650650.1
14;rna-XM_043650730.1
14;rna-XM_043650737.1
14;rna-XM_043650750.1
14;rna-XM_043650849.1
14;rna-XM_043650869.1
14;rna-XM_043650924.1
14;rna-XM_043650971.1
14;rna-XM_043650992.1
14;rna-XM_043651002.1
14;rna-XM_043651034.1
14;rna-XM_043651053.1
14;rna-XM_043651087.1
14;rna-XM_043651208.1
14;rna-XM_043651214.1
14;rna-XM_043651225.1
14;rna-XM_043651279.1
14;rna-XM_043651296.1
14;rna-XM_043651300.1
14;rna-XM_043651303.1
14;rna-XM_043651319.1
14;rna-XM_043651343.1
14;rna-XM_043651350.1
14;rna-XM_043651380.1
14;rna-XM_043651381.1
14;rna-XM_043651382.1
14;rna-XM_043651383.1
14;rna-XM_043651384.1
14;rna-XM_043651387.1
14;rna-XM_043651466.1
14;rna-XM_043651486.1
14;rna-XM_043651587.1
14;rna-XM_043651660.1
14;rna-XM_043651694.1
14;rna-XM_043651697.1
14;rna-XM_043651738.1
14;rna-XM_043651762.1
14;rna-XM_043651777.1
14;rna-XM_043651826.1
14;rna-XM_043651868.1
14;rna-XM_043651925.1
14;rna-XM_043651926.1
14;rna-XM_043651937.1
14;rna-XM_043651955.1
14;rna-XM_043651960.1
14;rna-XM_043651962.1
14;rna-XM_043651963.1
14;rna-XM_043651965.1
14;rna-XM_043651991.1
14;rna-XM_043652018.1
14;rna-XM_043652032.1
14;rna-XM_043652182.1
14;rna-XM_043652190.1
14;rna-XM_043652352.1
14;rna-XM_043652468.1
14;rna-XM_043652474.1
14;rna-XM_043652487.1
14;rna-XM_043652500.1
14;rna-XM_043652504.1
14;rna-XM_043652517.1
14;rna-XM_043652520.1
14;rna-XM_043652547.1
14;rna-XM_043652559.1
14;rna-XM_043652570.1
14;rna-XM_043652584.1
14;rna-XM_043652585.1
14;rna-XM_043652615.1
14;rna-XM_043652618.1
14;rna-XM_043652629.1
14;rna-XM_043652639.1
14;rna-XM_043652648.1
14;rna-XM_043652731.1
14;rna-XM_043652788.1
14;rna-XM_043652803.1
14;rna-XM_043652841.1
14;rna-XM_043652873.1
14;rna-XM_043652880.1
14;rna-XM_043652959.1
14;rna-XM_043653020.1
14;rna-XM_043653077.1
14;rna-XM_043653110.1
14;rna-XM_043653177.1
14;rna-XM_043653220.1
14;rna-XM_043653237.1
14;rna-XM_043653315.1
14;rna-XM_043653352.1
14;rna-XM_043653387.1
14;rna-XM_043653391.1
14;rna-XM_043653392.1
14;rna-XM_043653400.1
14;rna-XM_043653424.1
14;rna-XM_043653434.1
14;rna-XM_043653439.1
14;rna-XM_043653450.1
14;rna-XM_043653451.1
14;rna-XM_043653510.1
14;rna-XM_043653536.1
14;rna-XM_043653612.1
14;rna-XM_043653644.1
14;rna-XM_043653722.1
14;rna-XM_043653748.1
14;rna-XM_043653785.1
14;rna-XM_043653799.1
14;rna-XM_043653814.1
14;rna-XM_043653921.1
14;rna-XM_043653922.1
14;rna-XM_043653923.1
14;rna-XM_043654018.1
14;rna-XM_043654118.1
14;rna-XM_043654176.1
14;rna-XM_043654189.1
14;rna-XM_043654198.1
14;rna-XM_043654217.1
14;rna-XM_043654271.1
14;rna-XM_043654301.1
14;rna-XM_043654307.1
14;rna-XM_043654311.1
14;rna-XM_043654324.1
14;rna-XM_043654404.1
14;rna-XM_043654482.1
14;rna-XM_043654600.1
14;rna-XM_043654611.1
14;rna-XM_043654613.1
14;rna-XM_043654682.1
14;rna-XM_043654721.1
14;rna-XM_043654732.1
14;rna-XM_043654829.1
14;rna-XM_043654837.1
14;rna-XM_043654878.1
14;rna-XM_043654882.1
14;rna-XM_043654893.1
14;rna-XM_043654895.1
14;rna-XM_043654912.1
14;rna-XM_043654961.1
14;rna-XM_043654962.1
14;rna-XM_043654968.1
14;rna-XM_043654973.1
14;rna-XM_043654983.1
14;rna-XM_043655002.1
14;rna-XM_043655004.1
14;rna-XM_043655005.1
14;rna-XM_043655006.1
14;rna-XM_043655008.1
14;rna-XM_043655071.1
14;rna-XM_043655193.1
14;rna-XM_043655311.1
14;rna-XM_043655329.1
14;rna-XM_043655471.1
14;rna-XM_043655492.1
14;rna-XM_043655611.1
14;rna-XM_043655613.1
14;rna-XM_043655623.1
14;rna-XM_043655696.1
14;rna-XM_043655698.1
14;rna-XM_043655708.1
14;rna-XM_043655715.1
14;rna-XM_043655763.1
14;rna-XM_043655822.1
14;rna-XM_043655825.1
14;rna-XM_043655828.1
14;rna-XM_043655831.1
14;rna-XM_043655835.1
14;rna-XM_043655886.1
14;rna-XM_043655972.1
14;rna-XM_043655984.1
14;rna-XM_043655992.1
14;rna-XM_043656051.1
14;rna-XM_043656062.1
14;rna-XM_043656063.1
14;rna-XM_043656070.1
14;rna-XM_043656083.1
14;rna-XM_043656093.1
14;rna-XM_043656149.1
14;rna-XM_043656153.1
14;rna-XM_043656155.1
14;rna-XM_043656158.1
14;rna-XM_043656179.1
14;rna-XM_043656181.1
14;rna-XM_043656182.1
14;rna-XM_043656183.1
14;rna-XM_043656189.1
14;rna-XM_043656190.1
14;rna-XM_043656192.1
14;rna-XM_043656208.1
14;rna-XM_043656216.1
14;rna-XM_043656237.1
14;rna-XM_043656291.1
14;rna-XM_043656320.1
14;rna-XM_043656335.1
14;rna-XM_043656365.1
14;rna-XM_043656366.1
14;rna-XM_043656379.1
14;rna-XM_043656382.1
14;rna-XM_043656392.1
14;rna-XM_043656393.1
14;rna-XM_043656396.1
14;rna-XM_043656418.1
14;rna-XM_043656422.1
14;rna-XM_043656493.1
14;rna-XM_043656548.1
14;rna-XM_043656564.1
14;rna-XM_043656586.1
14;rna-XM_043656602.1
14;rna-XM_043656610.1
14;rna-XM_043656644.1
14;rna-XM_043656648.1
14;rna-XM_043656664.1
14;rna-XM_043656676.1
14;rna-XM_043656709.1
14;rna-XM_043656712.1
14;rna-XM_043656743.1
14;rna-XM_043656750.1
14;rna-XM_043656763.1
14;rna-XM_043656772.1
14;rna-XM_043656780.1
14;rna-XM_043656781.1
14;rna-XM_043656838.1
14;rna-XM_043656901.1
14;rna-XM_043657015.1
14;rna-XM_043657057.1
14;rna-XM_043657058.1
14;rna-XM_043657063.1
14;rna-XM_043657155.1
14;rna-XM_043657202.1
14;rna-XM_043657211.1
14;rna-XM_043657226.1
14;rna-XM_043657249.1
14;rna-XM_043657311.1
14;rna-XM_043657314.1
14;rna-XM_043657331.1
14;rna-XM_043657342.1
14;rna-XM_043657347.1
14;rna-XM_043657404.1
14;rna-XM_043657406.1
14;rna-XM_043657490.1
14;rna-XM_043657508.1
14;rna-XM_043657527.1
14;rna-XM_043657538.1
14;rna-XM_043657567.1
14;rna-XM_043657578.1
14;rna-XM_043657658.1
14;rna-XM_043657689.1
14;rna-XM_043657707.1
14;rna-XM_043657708.1
14;rna-XM_043657710.1
14;rna-XM_043657780.1
14;rna-XM_043657804.1
14;rna-XM_043657880.1
14;rna-XM_043657980.1
14;rna-XM_043657995.1
14;rna-XM_043658005.1
14;rna-XM_043658013.1
14;rna-XM_043658039.1
14;rna-XM_043658064.1
14;rna-XM_043658071.1
14;rna-XM_043658092.1
14;rna-XM_043658095.1
14;rna-XM_043658155.1
14;rna-XM_043658162.1
14;rna-XM_043658180.1
14;rna-XM_043658183.1
14;rna-XM_043658251.1
14;rna-XM_043658256.1
14;rna-XM_043658267.1
14;rna-XM_043658340.1
14;rna-XM_043658378.1
14;rna-XM_043658385.1
14;rna-XM_043658394.1
14;rna-XM_043658396.1
14;rna-XM_043658404.1
14;rna-XM_043658421.1
14;rna-XM_043658517.1
14;rna-XM_043658528.1
14;rna-XM_043658544.1
14;rna-XM_043658564.1
14;rna-XM_043658568.1
14;rna-XM_043658594.1
14;rna-XM_043658599.1
14;rna-XM_043658603.1
14;rna-XM_043658648.1
14;rna-XM_043658682.1
14;rna-XM_043658697.1
14;rna-XM_043658758.1
14;rna-XM_043658798.1
14;rna-XM_043658814.1
14;rna-XM_043658850.1
14;rna-XM_043658853.1
14;rna-XM_043658933.1
14;rna-XM_043658952.1
14;rna-XM_043659011.1
14;rna-XM_043659017.1
14;rna-XM_043659019.1
14;rna-XM_043659070.1
14;rna-XM_043659089.1
14;rna-XM_043659090.1
14;rna-XM_043659142.1
14;rna-XM_043659160.1
14;rna-XM_043659195.1
14;rna-XM_043659245.1
14;rna-XM_043659253.1
14;rna-XM_043659290.1
14;rna-XM_043659303.1
14;rna-XM_043659312.1
14;rna-XM_043659329.1
14;rna-XM_043659348.1
14;rna-XM_043659363.1
14;rna-XM_043659364.1
14;rna-XM_043659393.1
14;rna-XM_043659394.1
14;rna-XM_043659439.1
14;rna-XM_043659448.1
14;rna-XM_043659498.1
14;rna-XM_043659516.1
14;rna-XM_043659517.1
14;rna-XM_043659518.1
14;rna-XM_043659547.1
14;rna-XM_043659570.1
14;rna-XM_043659613.1
14;rna-XM_043659657.1
14;rna-XM_043659732.1
14;rna-XM_043659734.1
14;rna-XM_043659753.1
14;rna-XM_043659754.1
14;rna-XM_043659776.1
14;rna-XM_043659811.1
14;rna-XM_043659812.1
14;rna-XM_043659814.1
14;rna-XM_043659843.1
14;rna-XM_043659846.1
14;rna-XM_043659856.1
14;rna-XM_043659896.1
14;rna-XM_043659938.1
14;rna-XM_043659993.1
14;rna-XM_043660006.1
14;rna-XM_043660122.1
14;rna-XM_043660136.1
14;rna-XM_043660139.1
14;rna-XM_043660142.1
14;rna-XM_043660148.1
14;rna-XM_043660158.1
14;rna-XM_043660160.1
14;rna-XM_043660161.1
14;rna-XM_043660219.1
14;rna-XM_043660266.1
14;rna-XM_043660267.1
14;rna-XM_043660283.1
14;rna-XM_043660313.1
14;rna-XM_043660369.1
14;rna-XM_043660433.1
14;rna-XM_043660438.1
14;rna-XM_043660540.1
14;rna-XM_043660582.1
14;rna-XM_043660588.1
14;rna-XM_043660592.1
14;rna-XM_043660608.1
14;rna-XM_043660632.1
14;rna-XM_043660652.1
14;rna-XM_043660660.1
14;rna-XM_043660675.1
14;rna-XM_043660686.1
14;rna-XM_043660730.1
14;rna-XM_043660732.1
14;rna-XM_043660739.1
14;rna-XM_043660740.1
14;rna-XM_043660741.1
14;rna-XM_043660747.1
14;rna-XM_043660761.1
14;rna-XM_043660800.1
14;rna-XM_043660801.1
14;rna-XM_043660877.1
14;rna-XM_043660878.1
14;rna-XM_043660890.1
14;rna-XM_043660912.1
14;rna-XM_043660923.1
14;rna-XM_043660930.1
14;rna-XM_043660932.1
14;rna-XM_043661007.1
14;rna-XM_043661019.1
14;rna-XM_043661021.1
14;rna-XM_043661030.1
14;rna-XM_043661059.1
14;rna-XM_043661071.1
14;rna-XM_043661073.1
14;rna-XM_043661087.1
14;rna-XM_043661126.1
14;rna-XM_043661160.1
14;rna-XM_043661170.1
14;rna-XM_043661173.1
14;rna-XM_043661178.1
14;rna-XM_043661182.1
14;rna-XM_043661183.1
14;rna-XM_043661191.1
14;rna-XM_043661192.1
14;rna-XM_043661194.1
14;rna-XM_043661195.1
14;rna-XM_043661196.1
14;rna-XM_043661210.1
14;rna-XM_043661213.1
14;rna-XM_043661214.1
14;rna-XM_043661219.1
14;rna-XM_043661255.1
14;rna-XM_043661269.1
14;rna-XM_043661274.1
14;rna-XM_043661279.1
14;rna-XM_043661299.1
14;rna-XM_043661337.1
14;rna-XM_043661340.1
14;rna-XM_043661381.1
14;rna-XM_043661481.1
14;rna-XM_043661505.1
14;rna-XM_043661641.1
14;rna-XM_043661642.1
14;rna-XM_043661645.1
14;rna-XM_043661646.1
14;rna-XM_043661647.1
14;rna-XM_043661648.1
14;rna-XM_043661649.1
14;rna-XM_043661653.1
14;rna-XM_043661654.1
14;rna-XM_043661655.1
14;rna-XM_043661660.1
14;rna-XM_043661665.1
14;rna-XM_043661666.1
14;rna-XM_043661667.1
14;rna-XM_043661668.1
14;rna-XM_043661670.1
14;rna-XM_043661673.1
14;rna-XM_043661674.1
14;rna-XM_043661675.1
14;rna-XM_043661722.1
14;rna-XM_043661737.1
14;rna-XM_043661741.1
14;rna-XM_043661763.1
14;rna-XM_043661792.1
14;rna-XM_043661794.1
14;rna-XM_043661814.1
14;rna-XM_043661909.1
14;rna-XM_043661973.1
14;rna-XM_043662093.1
14;rna-XM_043662129.1
14;rna-XM_043662133.1
14;rna-XM_043662261.1
14;rna-XM_043662301.1
14;rna-XM_043662421.1
14;rna-XM_043662426.1
14;rna-XM_043662485.1
14;rna-XM_043662516.1
14;rna-XM_043662529.1
14;rna-XM_043662569.1
14;rna-XM_043662583.1
14;rna-XM_043662610.1
14;rna-XM_043662659.1
14;rna-XM_043662661.1
14;rna-XM_043662710.1
14;rna-XM_043662795.1
14;rna-XM_043662808.1
14;rna-XM_043662843.1
14;rna-XM_043662870.1
14;rna-XM_043662879.1
14;rna-XM_043662891.1
14;rna-XM_043662904.1
14;rna-XM_043662915.1
14;rna-XM_043663032.1
14;rna-XM_043663069.1
14;rna-XM_043663072.1
14;rna-XM_043663095.1
14;rna-XM_043663100.1
14;rna-XM_043663108.1
14;rna-XM_043663154.1
14;rna-XM_043663155.1
14;rna-XM_043663189.1
14;rna-XM_043663220.1
14;rna-XM_043663230.1
14;rna-XM_043663267.1
14;rna-XM_043663275.1
14;rna-XM_043663293.1
14;rna-XM_043663298.1
14;rna-XM_043663328.1
14;rna-XM_043663358.1
14;rna-XM_043663361.1
14;rna-XM_043663368.1
14;rna-XM_043663376.1
14;rna-XM_043663381.1
14;rna-XM_043663392.1
14;rna-XM_043663403.1
14;rna-XM_043663405.1
14;rna-XM_043663415.1
14;rna-XM_043663454.1
14;rna-XM_043663483.1
14;rna-XM_043663484.1
14;rna-XM_043663486.1
14;rna-XM_043663487.1
14;rna-XM_043663500.1
14;rna-XM_043663510.1
14;rna-XM_043663516.1
14;rna-XM_043663517.1
14;rna-XM_043663518.1
14;rna-XM_043663521.1
14;rna-XM_043663523.1
14;rna-XM_043663525.1
14;rna-XM_043663526.1
14;rna-XM_043663554.1
14;rna-XM_043663567.1
14;rna-XM_043663572.1
14;rna-XM_043663573.1
14;rna-XM_043663574.1
14;rna-XM_043663575.1
14;rna-XM_043663576.1
14;rna-XM_043663577.1
14;rna-XM_043663578.1
14;rna-XM_043663580.1
14;rna-XM_043663583.1
14;rna-XM_043663584.1
14;rna-XM_043663588.1
14;rna-XM_043663624.1
14;rna-XM_043663627.1
14;rna-XM_043663641.1
14;rna-XM_043663677.1
14;rna-XM_043663684.1
14;rna-XM_043663686.1
14;rna-XM_043663692.1
14;rna-XM_043663726.1
14;rna-XM_043663729.1
14;rna-XM_043663734.1
14;rna-XM_043663736.1
14;rna-XM_043663740.1
14;rna-XM_043663741.1
14;rna-XM_043663747.1
14;rna-XM_043663751.1
14;rna-XM_043663758.1
14;rna-XM_043663775.1
14;rna-XM_043663855.1
14;rna-XM_043663867.1
14;rna-XM_043663869.1
14;rna-XM_043663883.1
14;rna-XM_043663932.1
14;rna-XM_043663937.1
14;rna-XM_043663940.1
14;rna-XM_043663941.1
14;rna-XM_043663944.1
14;rna-XM_043663967.1
14;rna-XM_043663970.1
14;rna-XM_043663987.1
14;rna-XM_043663995.1
14;rna-XM_043664018.1
14;rna-XM_043664092.1
14;rna-XM_043664096.1
14;rna-XM_043664127.1
14;rna-XM_043664131.1
14;rna-XM_043664253.1
14;rna-XM_043664271.1
14;rna-XM_043664300.1
14;rna-XM_043664345.1
14;rna-XM_043664346.1
14;rna-XM_043664406.1
14;rna-XM_043664410.1
14;rna-XM_043664413.1
14;rna-XM_043664418.1
14;rna-XM_043664419.1
14;rna-XM_043664473.1
14;rna-XM_043664490.1
14;rna-XM_043664531.1
14;rna-XM_043664548.1
14;rna-XM_043664568.1
14;rna-XM_043664569.1
14;rna-XM_043664631.1
14;rna-XM_043664644.1
14;rna-XM_043664702.1
14;rna-XM_043664741.1
14;rna-XM_043664766.1
14;rna-XM_043664858.1
14;rna-XM_043664887.1
14;rna-XM_043664998.1
14;rna-XM_043665009.1
14;rna-XM_043665064.1
14;rna-XM_043665067.1
14;rna-XM_043665098.1
14;rna-XM_043665138.1
14;rna-XM_043665148.1
14;rna-XM_043665210.1
14;rna-XM_043665310.1
14;rna-XM_043665319.1
14;rna-XM_043665321.1
14;rna-XM_043665322.1
14;rna-XM_043665349.1
14;rna-XM_043665367.1
14;rna-XM_043665521.1
14;rna-XM_043665553.1
14;rna-XM_043665573.1
14;rna-XM_043665574.1
14;rna-XM_043665645.1
14;rna-XM_043665650.1
14;rna-XM_043665723.1
14;rna-XM_043665758.1
14;rna-XM_043665764.1
14;rna-XM_043665765.1
14;rna-XM_043665767.1
14;rna-XM_043665769.1
14;rna-XM_043665771.1
14;rna-XM_043665862.1
14;rna-XM_043665871.1
14;rna-XM_043665885.1
14;rna-XM_043665908.1
14;rna-XM_043666076.1
14;rna-XM_043666077.1
14;rna-XM_043666189.1
14;rna-XM_043666210.1
14;rna-XM_043666293.1
14;rna-XM_043666301.1
14;rna-XM_043666304.1
14;rna-XM_043666326.1
14;rna-XM_043666390.1
14;rna-XM_043666397.1
14;rna-XM_043666420.1
14;rna-XM_043666581.1
14;rna-XM_043666655.1
14;rna-XM_043666705.1
14;rna-XM_043666722.1
14;rna-XM_043666784.1
14;rna-XM_043666790.1
14;rna-XM_043666816.1
14;rna-XM_043666817.1
14;rna-XM_043666833.1
14;rna-XM_043666889.1
14;rna-XM_043666891.1
14;rna-XM_043666897.1
14;rna-XM_043666923.1
14;rna-XM_043666968.1
14;rna-XM_043666973.1
14;rna-XM_043666983.1
14;rna-XM_043666993.1
14;rna-XM_043667005.1
14;rna-XM_043667008.1
14;rna-XM_043667104.1
14;rna-XM_043667115.1
14;rna-XM_043667117.1
14;rna-XM_043667181.1
14;rna-XM_043667183.1
14;rna-XM_043667247.1
14;rna-XM_043667427.1
14;rna-XM_043667454.1
14;rna-XM_043667462.1
14;rna-XM_043667470.1
14;rna-XM_043667478.1
14;rna-XM_043667492.1
14;rna-XM_043667510.1
14;rna-XM_043667511.1
14;rna-XM_043667514.1
14;rna-XM_043667518.1
14;rna-XM_043667520.1
14;rna-XM_043667570.1
14;rna-XM_043667582.1
14;rna-XM_043667592.1
14;rna-XM_043667685.1
14;rna-XM_043667691.1
14;rna-XM_043667706.1
14;rna-XM_043667775.1
14;rna-XM_043667816.1
14;rna-XM_043667836.1
14;rna-XM_043667933.1
14;rna-XM_043667957.1
14;rna-XM_043668006.1
14;rna-XM_043668032.1
14;rna-XM_043668033.1
14;rna-XM_043668046.1
14;rna-XM_043668051.1
14;rna-XM_043668058.1
14;rna-XM_043668068.1
14;rna-XM_043668084.1
14;rna-XM_043668092.1
14;rna-XM_043668095.1
