PS;GeneID
14;HQUA_00012-RB
14;HQUA_00016-RA
14;HQUA_00017-RA
14;HQUA_00018-RA
14;HQUA_00036-RA
14;HQUA_00044-RA
14;HQUA_00046-RA
14;HQUA_00075-RA
14;HQUA_00104-RA
14;HQUA_00112-RA
14;HQUA_00114-RA
14;HQUA_00125-RA
14;HQUA_00126-RA
14;HQUA_00127-RA
14;HQUA_00129-RA
14;HQUA_00130-RA
14;HQUA_00131-RA
14;HQUA_00139-RA
14;HQUA_00142-RA
14;HQUA_00143-RA
14;HQUA_00145-RA
14;HQUA_00160-RA
14;HQUA_00183-RA
14;HQUA_00186-RA
14;HQUA_00224-RA
14;HQUA_00247-RA
14;HQUA_00255-RA
14;HQUA_00291-RA
14;HQUA_00292-RA
14;HQUA_00293-RA
14;HQUA_00295-RA
14;HQUA_00296-RA
14;HQUA_00297-RA
14;HQUA_00298-RA
14;HQUA_00299-RA
14;HQUA_00300-RA
14;HQUA_00301-RA
14;HQUA_00302-RA
14;HQUA_00303-RA
14;HQUA_00304-RA
14;HQUA_00306-RA
14;HQUA_00307-RA
14;HQUA_00309-RA
14;HQUA_00310-RA
14;HQUA_00311-RA
14;HQUA_00312-RA
14;HQUA_00313-RA
14;HQUA_00318-RA
14;HQUA_00328-RA
14;HQUA_00348-RA
14;HQUA_00350-RA
14;HQUA_00359-RA
14;HQUA_00377-RA
14;HQUA_00402-RB
14;HQUA_00405-RA
14;HQUA_00418-RA
14;HQUA_00428-RA
14;HQUA_00463-RA
14;HQUA_00466-RA
14;HQUA_00467-RA
14;HQUA_00469-RA
14;HQUA_00470-RA
14;HQUA_00471-RA
14;HQUA_00487-RA
14;HQUA_00490-RA
14;HQUA_00516-RA
14;HQUA_00525-RA
14;HQUA_00560-RA
14;HQUA_00561-RA
14;HQUA_00562-RA
14;HQUA_00563-RA
14;HQUA_00564-RA
14;HQUA_00565-RA
14;HQUA_00578-RA
14;HQUA_00581-RA
14;HQUA_00594-RA
14;HQUA_00598-RB
14;HQUA_00610-RA
14;HQUA_00617-RA
14;HQUA_00645-RA
14;HQUA_00646-RA
14;HQUA_00654-RA
14;HQUA_00665-RB
14;HQUA_00675-RA
14;HQUA_00693-RA
14;HQUA_00739-RA
14;HQUA_00751-RA
14;HQUA_00753-RA
14;HQUA_00754-RA
14;HQUA_00755-RA
14;HQUA_00756-RA
14;HQUA_00773-RB
14;HQUA_00779-RA
14;HQUA_00800-RA
14;HQUA_00816-RA
14;HQUA_00818-RA
14;HQUA_00833-RA
14;HQUA_00873-RA
14;HQUA_00874-RA
14;HQUA_00875-RA
14;HQUA_00876-RA
14;HQUA_00885-RA
14;HQUA_00904-RA
14;HQUA_00918-RA
14;HQUA_00930-RA
14;HQUA_00975-RA
14;HQUA_00976-RA
14;HQUA_00977-RA
14;HQUA_00980-RA
14;HQUA_00982-RA
14;HQUA_00984-RA
14;HQUA_00987-RA
14;HQUA_00996-RA
14;HQUA_00998-RA
14;HQUA_01023-RA
14;HQUA_01041-RA
14;HQUA_01061-RA
14;HQUA_01099-RA
14;HQUA_01169-RA
14;HQUA_01175-RA
14;HQUA_01201-RA
14;HQUA_01211-RA
14;HQUA_01241-RA
14;HQUA_01251-RA
14;HQUA_01252-RA
14;HQUA_01291-RA
14;HQUA_01306-RA
14;HQUA_01311-RA
14;HQUA_01325-RA
14;HQUA_01336-RA
14;HQUA_01341-RA
14;HQUA_01343-RA
14;HQUA_01350-RA
14;HQUA_01369-RA
14;HQUA_01381-RA
14;HQUA_01385-RA
14;HQUA_01386-RA
14;HQUA_01402-RA
14;HQUA_01416-RA
14;HQUA_01419-RA
14;HQUA_01444-RA
14;HQUA_01466-RA
14;HQUA_01468-RA
14;HQUA_01469-RA
14;HQUA_01470-RA
14;HQUA_01490-RA
14;HQUA_01495-RA
14;HQUA_01498-RA
14;HQUA_01530-RA
14;HQUA_01543-RA
14;HQUA_01556-RA
14;HQUA_01560-RA
14;HQUA_01561-RA
14;HQUA_01568-RA
14;HQUA_01572-RA
14;HQUA_01578-RA
14;HQUA_01614-RA
14;HQUA_01622-RA
14;HQUA_01640-RA
14;HQUA_01657-RA
14;HQUA_01722-RA
14;HQUA_01729-RA
14;HQUA_01752-RA
14;HQUA_01782-RA
14;HQUA_01788-RA
14;HQUA_01789-RA
14;HQUA_01790-RA
14;HQUA_01803-RA
14;HQUA_01808-RA
14;HQUA_01819-RA
14;HQUA_01829-RA
14;HQUA_01849-RA
14;HQUA_01886-RA
14;HQUA_01893-RA
14;HQUA_01894-RA
14;HQUA_01896-RA
14;HQUA_01898-RA
14;HQUA_01901-RA
14;HQUA_01905-RA
14;HQUA_01909-RA
14;HQUA_01924-RA
14;HQUA_01963-RA
14;HQUA_01968-RA
14;HQUA_01983-RA
14;HQUA_02012-RA
14;HQUA_02017-RA
14;HQUA_02024-RA
14;HQUA_02043-RA
14;HQUA_02049-RA
14;HQUA_02058-RA
14;HQUA_02059-RA
14;HQUA_02065-RA
14;HQUA_02073-RA
14;HQUA_02122-RA
14;HQUA_02126-RA
14;HQUA_02140-RA
14;HQUA_02157-RA
14;HQUA_02158-RA
14;HQUA_02171-RA
14;HQUA_02175-RA
14;HQUA_02178-RA
14;HQUA_02186-RA
14;HQUA_02193-RA
14;HQUA_02210-RA
14;HQUA_02211-RA
14;HQUA_02236-RA
14;HQUA_02243-RA
14;HQUA_02244-RA
14;HQUA_02245-RA
14;HQUA_02249-RA
14;HQUA_02256-RA
14;HQUA_02261-RA
14;HQUA_02262-RA
14;HQUA_02272-RA
14;HQUA_02298-RB
14;HQUA_02299-RA
14;HQUA_02302-RA
14;HQUA_02305-RA
14;HQUA_02317-RA
14;HQUA_02325-RA
14;HQUA_02326-RA
14;HQUA_02327-RA
14;HQUA_02330-RA
14;HQUA_02340-RA
14;HQUA_02362-RA
14;HQUA_02370-RA
14;HQUA_02376-RA
14;HQUA_02390-RA
14;HQUA_02391-RA
14;HQUA_02415-RA
14;HQUA_02421-RA
14;HQUA_02431-RA
14;HQUA_02454-RA
14;HQUA_02457-RA
14;HQUA_02484-RA
14;HQUA_02488-RA
14;HQUA_02492-RA
14;HQUA_02495-RA
14;HQUA_02498-RA
14;HQUA_02499-RA
14;HQUA_02500-RA
14;HQUA_02504-RA
14;HQUA_02509-RA
14;HQUA_02514-RA
14;HQUA_02526-RA
14;HQUA_02528-RA
14;HQUA_02529-RA
14;HQUA_02533-RA
14;HQUA_02534-RA
14;HQUA_02535-RA
14;HQUA_02536-RA
14;HQUA_02540-RA
14;HQUA_02567-RA
14;HQUA_02577-RA
14;HQUA_02578-RA
14;HQUA_02607-RA
14;HQUA_02624-RA
14;HQUA_02626-RA
14;HQUA_02663-RB
14;HQUA_02665-RA
14;HQUA_02678-RA
14;HQUA_02680-RA
14;HQUA_02683-RA
14;HQUA_02684-RA
14;HQUA_02687-RA
14;HQUA_02697-RA
14;HQUA_02698-RA
14;HQUA_02705-RA
14;HQUA_02747-RA
14;HQUA_02751-RA
14;HQUA_02779-RA
14;HQUA_02796-RA
14;HQUA_02851-RA
14;HQUA_02867-RA
14;HQUA_02869-RA
14;HQUA_02903-RA
14;HQUA_02924-RA
14;HQUA_02925-RA
14;HQUA_02926-RA
14;HQUA_02974-RA
14;HQUA_02979-RA
14;HQUA_02980-RA
14;HQUA_02989-RA
14;HQUA_02994-RA
14;HQUA_03020-RA
14;HQUA_03023-RA
14;HQUA_03029-RA
14;HQUA_03046-RA
14;HQUA_03053-RA
14;HQUA_03055-RA
14;HQUA_03057-RA
14;HQUA_03059-RA
14;HQUA_03061-RA
14;HQUA_03067-RA
14;HQUA_03081-RA
14;HQUA_03091-RA
14;HQUA_03092-RA
14;HQUA_03093-RA
14;HQUA_03094-RA
14;HQUA_03134-RA
14;HQUA_03136-RA
14;HQUA_03139-RA
14;HQUA_03146-RA
14;HQUA_03159-RA
14;HQUA_03195-RB
14;HQUA_03207-RA
14;HQUA_03208-RA
14;HQUA_03250-RA
14;HQUA_03290-RA
14;HQUA_03295-RA
14;HQUA_03304-RA
14;HQUA_03313-RA
14;HQUA_03321-RA
14;HQUA_03327-RA
14;HQUA_03328-RA
14;HQUA_03345-RA
14;HQUA_03349-RA
14;HQUA_03375-RA
14;HQUA_03386-RA
14;HQUA_03393-RA
14;HQUA_03405-RA
14;HQUA_03408-RA
14;HQUA_03412-RA
14;HQUA_03413-RA
14;HQUA_03417-RA
14;HQUA_03432-RA
14;HQUA_03440-RA
14;HQUA_03443-RA
14;HQUA_03444-RA
14;HQUA_03446-RA
14;HQUA_03447-RA
14;HQUA_03448-RA
14;HQUA_03449-RA
14;HQUA_03450-RA
14;HQUA_03452-RA
14;HQUA_03453-RA
14;HQUA_03472-RA
14;HQUA_03482-RA
14;HQUA_03490-RA
14;HQUA_03496-RA
14;HQUA_03508-RA
14;HQUA_03511-RA
14;HQUA_03512-RA
14;HQUA_03515-RA
14;HQUA_03546-RA
14;HQUA_03577-RA
14;HQUA_03579-RB
14;HQUA_03617-RA
14;HQUA_03645-RA
14;HQUA_03647-RA
14;HQUA_03702-RA
14;HQUA_03740-RA
14;HQUA_03773-RA
14;HQUA_03776-RA
14;HQUA_03796-RA
14;HQUA_03801-RA
14;HQUA_03808-RA
14;HQUA_03829-RA
14;HQUA_03838-RA
14;HQUA_03859-RA
14;HQUA_03867-RA
14;HQUA_03879-RA
14;HQUA_03882-RA
14;HQUA_03887-RA
14;HQUA_03901-RA
