PS;GeneID
14;rna-XM_054139205.1
14;rna-XM_054139208.1
14;rna-XM_054139258.1
14;rna-XM_054139273.1
14;rna-XM_054139288.1
14;rna-XM_054139300.1
14;rna-XM_054139304.1
14;rna-XM_054139306.1
14;rna-XM_054139308.1
14;rna-XM_054139332.1
14;rna-XM_054139333.1
14;rna-XM_054139358.1
14;rna-XM_054139379.1
14;rna-XM_054139390.1
14;rna-XM_054139429.1
14;rna-XM_054139515.1
14;rna-XM_054139523.1
14;rna-XM_054139532.1
14;rna-XM_054139577.1
14;rna-XM_054139598.1
14;rna-XM_054139617.1
14;rna-XM_054139628.1
14;rna-XM_054139634.1
14;rna-XM_054139655.1
14;rna-XM_054139659.1
14;rna-XM_054139660.1
14;rna-XM_054139687.1
14;rna-XM_054139689.1
14;rna-XM_054139690.1
14;rna-XM_054139691.1
14;rna-XM_054139693.1
14;rna-XM_054139694.1
14;rna-XM_054139698.1
14;rna-XM_054139700.1
14;rna-XM_054139701.1
14;rna-XM_054139702.1
14;rna-XM_054139706.1
14;rna-XM_054139708.1
14;rna-XM_054139751.1
14;rna-XM_054139766.1
14;rna-XM_054139780.1
14;rna-XM_054139794.1
14;rna-XM_054139825.1
14;rna-XM_054139833.1
14;rna-XM_054139866.1
14;rna-XM_054139982.1
14;rna-XM_054139985.1
14;rna-XM_054139990.1
14;rna-XM_054140005.1
14;rna-XM_054140009.1
14;rna-XM_054140026.1
14;rna-XM_054140101.1
14;rna-XM_054140111.1
14;rna-XM_054140116.1
14;rna-XM_054140122.1
14;rna-XM_054140125.1
14;rna-XM_054140130.1
14;rna-XM_054140146.1
14;rna-XM_054140148.1
14;rna-XM_054140173.1
14;rna-XM_054140189.1
14;rna-XM_054140191.1
14;rna-XM_054140192.1
14;rna-XM_054140220.1
14;rna-XM_054140259.1
14;rna-XM_054140261.1
14;rna-XM_054140278.1
14;rna-XM_054140280.1
14;rna-XM_054140303.1
14;rna-XM_054140314.1
14;rna-XM_054140317.1
14;rna-XM_054140338.1
14;rna-XM_054140385.1
14;rna-XM_054140412.1
14;rna-XM_054140487.1
14;rna-XM_054140521.1
14;rna-XM_054140524.1
14;rna-XM_054140525.1
14;rna-XM_054140526.1
14;rna-XM_054140528.1
14;rna-XM_054140529.1
14;rna-XM_054140530.1
14;rna-XM_054140532.1
14;rna-XM_054140534.1
14;rna-XM_054140536.1
14;rna-XM_054140555.1
14;rna-XM_054140570.1
14;rna-XM_054140573.1
14;rna-XM_054140586.1
14;rna-XM_054140604.1
14;rna-XM_054140644.1
14;rna-XM_054140740.1
14;rna-XM_054140809.1
14;rna-XM_054140813.1
14;rna-XM_054140816.1
14;rna-XM_054140817.1
14;rna-XM_054140819.1
14;rna-XM_054140820.1
14;rna-XM_054140855.1
14;rna-XM_054140867.1
14;rna-XM_054140912.1
14;rna-XM_054140922.1
14;rna-XM_054140925.1
14;rna-XM_054140931.1
14;rna-XM_054140932.1
14;rna-XM_054140933.1
14;rna-XM_054140940.1
14;rna-XM_054140941.1
14;rna-XM_054140978.1
14;rna-XM_054140980.1
14;rna-XM_054140981.1
14;rna-XM_054140982.1
14;rna-XM_054140983.1
14;rna-XM_054140984.1
14;rna-XM_054140996.1
14;rna-XM_054140999.1
14;rna-XM_054141002.1
14;rna-XM_054141005.1
14;rna-XM_054141043.1
14;rna-XM_054141057.1
14;rna-XM_054141067.1
14;rna-XM_054141081.1
14;rna-XM_054141153.1
14;rna-XM_054141253.1
14;rna-XM_054141268.1
14;rna-XM_054141346.1
14;rna-XM_054141350.1
14;rna-XM_054141360.1
14;rna-XM_054141378.1
14;rna-XM_054141380.1
14;rna-XM_054141401.1
14;rna-XM_054141406.1
14;rna-XM_054141407.1
14;rna-XM_054141432.1
14;rna-XM_054141525.1
14;rna-XM_054141558.1
14;rna-XM_054141569.1
14;rna-XM_054141593.1
14;rna-XM_054141598.1
14;rna-XM_054141599.1
14;rna-XM_054141608.1
14;rna-XM_054141623.1
14;rna-XM_054141643.1
14;rna-XM_054141645.1
14;rna-XM_054141685.1
14;rna-XM_054141699.1
14;rna-XM_054141716.1
14;rna-XM_054141930.1
14;rna-XM_054141940.1
14;rna-XM_054141941.1
14;rna-XM_054141942.1
14;rna-XM_054141943.1
14;rna-XM_054141944.1
14;rna-XM_054141945.1
14;rna-XM_054141946.1
14;rna-XM_054141959.1
14;rna-XM_054141967.1
14;rna-XM_054141968.1
14;rna-XM_054142001.1
14;rna-XM_054142004.1
14;rna-XM_054142006.1
14;rna-XM_054142009.1
14;rna-XM_054142032.1
14;rna-XM_054142036.1
14;rna-XM_054142037.1
14;rna-XM_054142040.1
14;rna-XM_054142041.1
14;rna-XM_054142042.1
14;rna-XM_054142044.1
14;rna-XM_054142048.1
14;rna-XM_054142069.1
14;rna-XM_054142121.1
14;rna-XM_054142168.1
14;rna-XM_054142170.1
14;rna-XM_054142237.1
14;rna-XM_054142243.1
14;rna-XM_054142269.1
14;rna-XM_054142311.1
14;rna-XM_054142312.1
14;rna-XM_054142331.1
14;rna-XM_054142412.1
14;rna-XM_054142425.1
14;rna-XM_054142431.1
14;rna-XM_054142449.1
14;rna-XM_054142481.1
14;rna-XM_054142495.1
14;rna-XM_054142500.1
14;rna-XM_054142548.1
14;rna-XM_054142565.1
14;rna-XM_054142594.1
14;rna-XM_054142636.1
14;rna-XM_054142755.1
14;rna-XM_054142819.1
14;rna-XM_054142866.1
14;rna-XM_054142885.1
14;rna-XM_054142908.1
14;rna-XM_054142946.1
14;rna-XM_054142950.1
14;rna-XM_054142972.1
14;rna-XM_054143043.1
14;rna-XM_054143047.1
14;rna-XM_054143152.1
14;rna-XM_054143168.1
14;rna-XM_054143173.1
14;rna-XM_054143189.1
14;rna-XM_054143229.1
14;rna-XM_054143248.1
14;rna-XM_054143255.1
14;rna-XM_054143266.1
14;rna-XM_054143277.1
14;rna-XM_054143293.1
14;rna-XM_054143378.1
14;rna-XM_054143421.1
14;rna-XM_054143465.1
14;rna-XM_054143480.1
14;rna-XM_054143483.1
14;rna-XM_054143484.1
14;rna-XM_054143485.1
14;rna-XM_054143488.1
14;rna-XM_054143489.1
14;rna-XM_054143490.1
14;rna-XM_054143492.1
14;rna-XM_054143517.1
14;rna-XM_054143534.1
14;rna-XM_054143536.1
14;rna-XM_054143543.1
14;rna-XM_054143544.1
14;rna-XM_054143627.1
14;rna-XM_054143689.1
14;rna-XM_054143727.1
14;rna-XM_054143753.1
14;rna-XM_054143766.1
14;rna-XM_054143820.1
14;rna-XM_054143836.1
14;rna-XM_054143874.1
14;rna-XM_054143890.1
14;rna-XM_054143894.1
14;rna-XM_054143895.1
14;rna-XM_054143917.1
14;rna-XM_054143921.1
14;rna-XM_054143926.1
14;rna-XM_054143927.1
14;rna-XM_054143928.1
14;rna-XM_054143930.1
14;rna-XM_054144053.1
14;rna-XM_054144126.1
14;rna-XM_054144131.1
14;rna-XM_054144149.1
14;rna-XM_054144193.1
14;rna-XM_054144235.1
14;rna-XM_054144313.1
14;rna-XM_054144364.1
14;rna-XM_054144467.1
14;rna-XM_054144477.1
14;rna-XM_054144481.1
14;rna-XM_054144483.1
14;rna-XM_054144499.1
14;rna-XM_054144543.1
14;rna-XM_054144547.1
14;rna-XM_054144552.1
14;rna-XM_054144595.1
14;rna-XM_054144598.1
14;rna-XM_054144663.1
14;rna-XM_054144677.1
14;rna-XM_054144678.1
14;rna-XM_054144686.1
14;rna-XM_054144699.1
14;rna-XM_054144700.1
14;rna-XM_054144707.1
14;rna-XM_054144713.1
14;rna-XM_054144796.1
14;rna-XM_054144925.1
14;rna-XM_054144926.1
14;rna-XM_054144928.1
14;rna-XM_054144929.1
14;rna-XM_054144931.1
14;rna-XM_054144932.1
14;rna-XM_054144933.1
14;rna-XM_054144938.1
14;rna-XM_054144983.1
14;rna-XM_054144984.1
14;rna-XM_054145048.1
14;rna-XM_054145050.1
14;rna-XM_054145087.1
14;rna-XM_054145093.1
14;rna-XM_054145101.1
14;rna-XM_054145141.1
14;rna-XM_054145153.1
14;rna-XM_054145155.1
14;rna-XM_054145163.1
14;rna-XM_054145208.1
14;rna-XM_054145358.1
14;rna-XM_054145394.1
14;rna-XM_054145627.1
14;rna-XM_054145688.1
14;rna-XM_054145692.1
14;rna-XM_054145713.1
14;rna-XM_054145741.1
14;rna-XM_054145797.1
14;rna-XM_054145834.1
14;rna-XM_054145845.1
14;rna-XM_054145887.1
14;rna-XM_054145888.1
14;rna-XM_054145922.1
14;rna-XM_054145942.1
14;rna-XM_054145964.1
14;rna-XM_054146015.1
14;rna-XM_054146017.1
14;rna-XM_054146031.1
14;rna-XM_054146032.1
14;rna-XM_054146085.1
14;rna-XM_054146092.1
14;rna-XM_054146157.1
14;rna-XM_054146166.1
14;rna-XM_054146172.1
14;rna-XM_054146182.1
14;rna-XM_054146183.1
14;rna-XM_054146184.1
14;rna-XM_054146193.1
14;rna-XM_054146259.1
14;rna-XM_054146261.1
14;rna-XM_054146292.1
14;rna-XM_054146337.1
14;rna-XM_054146346.1
14;rna-XM_054146347.1
14;rna-XM_054146350.1
14;rna-XM_054146357.1
14;rna-XM_054146399.1
14;rna-XM_054146400.1
14;rna-XM_054146413.1
14;rna-XM_054146446.1
14;rna-XM_054146526.1
14;rna-XM_054146535.1
14;rna-XM_054146544.1
14;rna-XM_054146555.1
14;rna-XM_054146558.1
14;rna-XM_054146561.1
14;rna-XM_054146576.1
14;rna-XM_054146590.1
14;rna-XM_054146594.1
14;rna-XM_054146602.1
14;rna-XM_054146614.1
14;rna-XM_054146629.1
14;rna-XM_054146643.1
14;rna-XM_054146657.1
14;rna-XM_054146671.1
14;rna-XM_054146680.1
14;rna-XM_054146699.1
14;rna-XM_054146703.1
14;rna-XM_054146718.1
14;rna-XM_054146748.1
14;rna-XM_054146896.1
14;rna-XM_054146942.1
14;rna-XM_054146952.1
14;rna-XM_054146978.1
14;rna-XM_054147073.1
14;rna-XM_054147165.1
14;rna-XM_054147213.1
14;rna-XM_054147261.1
14;rna-XM_054147289.1
14;rna-XM_054147295.1
14;rna-XM_054147296.1
14;rna-XM_054147303.1
14;rna-XM_054147304.1
14;rna-XM_054147307.1
14;rna-XM_054147312.1
14;rna-XM_054147314.1
14;rna-XM_054147326.1
14;rna-XM_054147336.1
14;rna-XM_054147338.1
14;rna-XM_054147532.1
14;rna-XM_054147662.1
14;rna-XM_054147668.1
14;rna-XM_054147732.1
14;rna-XM_054147736.1
14;rna-XM_054147743.1
14;rna-XM_054147748.1
14;rna-XM_054147792.1
14;rna-XM_054147806.1
14;rna-XM_054147809.1
14;rna-XM_054147830.1
14;rna-XM_054147834.1
14;rna-XM_054147861.1
14;rna-XM_054147867.1
14;rna-XM_054147983.1
14;rna-XM_054147984.1
14;rna-XM_054148009.1
14;rna-XM_054148023.1
14;rna-XM_054148085.1
14;rna-XM_054148179.1
14;rna-XM_054148223.1
14;rna-XM_054148261.1
14;rna-XM_054148271.1
14;rna-XM_054148298.1
14;rna-XM_054148331.1
14;rna-XM_054148341.1
14;rna-XM_054148379.1
14;rna-XM_054148403.1
14;rna-XM_054148406.1
14;rna-XM_054148408.1
14;rna-XM_054148417.1
14;rna-XM_054148467.1
14;rna-XM_054148556.1
14;rna-XM_054148571.1
14;rna-XM_054148583.1
14;rna-XM_054148635.1
14;rna-XM_054148658.1
14;rna-XM_054148662.1
14;rna-XM_054148673.1
14;rna-XM_054148682.1
14;rna-XM_054148742.1
14;rna-XM_054148803.1
14;rna-XM_054148824.1
14;rna-XM_054148902.1
14;rna-XM_054148914.1
14;rna-XM_054148917.1
14;rna-XM_054149003.1
14;rna-XM_054149037.1
14;rna-XM_054149114.1
14;rna-XM_054149142.1
14;rna-XM_054149188.1
14;rna-XM_054149193.1
14;rna-XM_054149207.1
14;rna-XM_054149208.1
14;rna-XM_054149230.1
14;rna-XM_054149231.1
14;rna-XM_054149237.1
14;rna-XM_054149263.1
14;rna-XM_054149291.1
14;rna-XM_054149294.1
14;rna-XM_054149296.1
14;rna-XM_054149298.1
14;rna-XM_054149308.1
14;rna-XM_054149350.1
14;rna-XM_054149427.1
14;rna-XM_054149443.1
14;rna-XM_054149478.1
14;rna-XM_054149597.1
14;rna-XM_054149607.1
14;rna-XM_054149618.1
14;rna-XM_054149642.1
14;rna-XM_054149730.1
14;rna-XM_054149735.1
