PS;GeneID
14;rna-NM_001328477.1
14;rna-NM_001328478.1
14;rna-NM_001328484.1
14;rna-XM_017048252.3
14;rna-XM_017048470.3
14;rna-XM_017048523.3
14;rna-XM_017048537.3
14;rna-XM_017048608.3
14;rna-XM_017048652.3
14;rna-XM_017048680.2
14;rna-XM_017048684.3
14;rna-XM_017048689.2
14;rna-XM_017048693.3
14;rna-XM_017048697.3
14;rna-XM_017048701.3
14;rna-XM_017048712.3
14;rna-XM_017048800.3
14;rna-XM_017048819.3
14;rna-XM_017048839.3
14;rna-XM_017048900.3
14;rna-XM_017048918.3
14;rna-XM_017048970.2
14;rna-XM_017048983.3
14;rna-XM_017049023.3
14;rna-XM_017049079.3
14;rna-XM_017049117.2
14;rna-XM_017049135.3
14;rna-XM_017049137.3
14;rna-XM_017049164.3
14;rna-XM_017049185.3
14;rna-XM_017049219.3
14;rna-XM_017049238.3
14;rna-XM_017049326.3
14;rna-XM_017049426.3
14;rna-XM_017049432.2
14;rna-XM_017049439.3
14;rna-XM_017049459.3
14;rna-XM_017049465.3
14;rna-XM_017049802.3
14;rna-XM_017049808.3
14;rna-XM_017049917.3
14;rna-XM_017049922.2
14;rna-XM_017049935.3
14;rna-XM_017049985.2
14;rna-XM_017049989.3
14;rna-XM_017050075.3
14;rna-XM_017050208.3
14;rna-XM_017050222.3
14;rna-XM_017050254.3
14;rna-XM_017050373.3
14;rna-XM_017050422.2
14;rna-XM_017050425.3
14;rna-XM_017050443.3
14;rna-XM_017050464.3
14;rna-XM_017050486.3
14;rna-XM_017050516.3
14;rna-XM_017050525.3
14;rna-XM_017050531.3
14;rna-XM_017050558.3
14;rna-XM_017050757.3
14;rna-XM_017050861.3
14;rna-XM_017050969.3
14;rna-XM_017051157.3
14;rna-XM_017051272.3
14;rna-XM_017051325.3
14;rna-XM_017051378.3
14;rna-XM_017051385.3
14;rna-XM_017051448.3
14;rna-XM_017051548.3
14;rna-XM_017051558.3
14;rna-XM_017051560.3
14;rna-XM_017051561.3
14;rna-XM_017051563.3
14;rna-XM_017051564.3
14;rna-XM_017051565.3
14;rna-XM_017051566.3
14;rna-XM_017051569.3
14;rna-XM_017051570.3
14;rna-XM_017051571.3
14;rna-XM_017051572.3
14;rna-XM_017051577.3
14;rna-XM_017051582.3
14;rna-XM_017051584.3
14;rna-XM_017051586.3
14;rna-XM_017051588.3
14;rna-XM_017051589.3
14;rna-XM_017051822.2
14;rna-XM_017051936.3
14;rna-XM_017051978.3
14;rna-XM_017052022.3
14;rna-XM_017052033.3
14;rna-XM_017052060.2
14;rna-XM_017052144.3
14;rna-XM_017052150.3
14;rna-XM_017052153.3
14;rna-XM_017052190.3
14;rna-XM_017052283.3
14;rna-XM_017052284.3
14;rna-XM_017052286.3
14;rna-XM_017052309.3
14;rna-XM_017052500.3
14;rna-XM_017052519.3
14;rna-XM_017052560.3
14;rna-XM_017052561.3
14;rna-XM_017052562.3
14;rna-XM_017052603.3
14;rna-XM_017052682.3
14;rna-XM_017052753.3
14;rna-XM_017052815.3
14;rna-XM_017052833.3
14;rna-XM_017052838.3
14;rna-XM_017052842.3
14;rna-XM_017052844.3
14;rna-XM_017052928.3
14;rna-XM_017052970.3
14;rna-XM_017052974.3
14;rna-XM_017053013.3
14;rna-XM_017053113.3
14;rna-XM_017053124.3
14;rna-XM_017053138.2
14;rna-XM_017053143.2
14;rna-XM_017053238.3
14;rna-XM_017053353.3
14;rna-XM_017053425.3
14;rna-XM_017053481.3
14;rna-XM_017053497.3
14;rna-XM_017053617.3
14;rna-XM_017053628.2
14;rna-XM_017053635.3
14;rna-XM_017053636.3
14;rna-XM_017053670.3
14;rna-XM_017053727.3
14;rna-XM_017053788.3
14;rna-XM_017053806.3
14;rna-XM_017053857.3
14;rna-XM_017053869.2
14;rna-XM_017053917.3
14;rna-XM_017053948.3
14;rna-XM_017054123.3
14;rna-XM_017054236.3
14;rna-XM_017054241.3
14;rna-XM_017054301.3
14;rna-XM_017054304.3
14;rna-XM_017054355.3
14;rna-XM_017054410.3
14;rna-XM_017054417.3
14;rna-XM_017054451.3
14;rna-XM_017054461.3
14;rna-XM_017054463.3
14;rna-XM_017054561.3
14;rna-XM_017054562.3
14;rna-XM_017054585.3
14;rna-XM_017054592.3
14;rna-XM_017054685.3
14;rna-XM_017054691.3
14;rna-XM_017054746.2
14;rna-XM_017054818.3
14;rna-XM_017054822.3
14;rna-XM_017054827.3
14;rna-XM_017054831.3
14;rna-XM_017054834.2
14;rna-XM_017054837.3
14;rna-XM_017054840.3
14;rna-XM_017054893.3
14;rna-XM_017054894.3
14;rna-XM_017054928.2
14;rna-XM_017054936.3
